refund_id,transaction_id,currency,refund_amount_minor,status,requested_at,completed_at
RFD-0000025,TXN-00001845,THB,1925,COMPLETED,2026-01-25 19:57:38,2026-01-25 20:07:38
RFD-0000026,TXN-00004258,THB,1618,COMPLETED,2026-03-03 09:32:30,2026-03-03 09:42:30
RFD-0000027,TXN-00001684,THB,627,COMPLETED,2026-02-13 13:38:21,2026-02-13 13:48:21
RFD-0000028,TXN-00003234,THB,874,COMPLETED,2026-01-21 23:25:23,2026-01-21 23:35:23
RFD-0000029,TXN-00003556,SGD,8351,COMPLETED,2026-02-21 01:51:22,2026-02-21 02:01:22
RFD-0000030,TXN-00000051,SGD,2058,COMPLETED,2026-02-10 03:24:30,2026-02-10 03:34:30
RFD-0000031,TXN-00000733,THB,1470,COMPLETED,2026-02-15 13:26:37,2026-02-15 13:36:37
RFD-0000032,TXN-00001797,USD,725,COMPLETED,2026-02-28 10:06:07,2026-02-28 10:16:07
RFD-0000033,TXN-00003494,SGD,1664,COMPLETED,2026-01-22 01:17:04,2026-01-22 01:27:04
RFD-0000034,TXN-00004940,THB,15224,COMPLETED,2026-01-24 23:50:14,2026-01-25 00:00:14
RFD-0000035,TXN-00004309,SGD,5695,COMPLETED,2026-01-21 08:17:52,2026-01-21 08:27:52
RFD-0000036,TXN-00000050,SGD,1746,COMPLETED,2026-03-03 10:05:38,2026-03-03 10:15:38
RFD-0000037,TXN-00004762,THB,16879,COMPLETED,2026-02-27 14:05:22,2026-02-27 14:15:22
RFD-0000038,TXN-00004499,THB,10687,COMPLETED,2026-02-17 20:46:52,2026-02-17 20:56:52
RFD-0000039,TXN-00001791,SGD,1217,COMPLETED,2026-02-06 02:59:22,2026-02-06 03:09:22
RFD-0000040,TXN-00002598,THB,4367,COMPLETED,2026-02-13 03:56:00,2026-02-13 04:06:00
RFD-0000041,TXN-00003834,SGD,248,COMPLETED,2026-01-29 23:36:40,2026-01-29 23:46:40
RFD-0000042,TXN-00000963,SGD,6207,COMPLETED,2026-02-28 15:21:05,2026-02-28 15:31:05
RFD-0000043,TXN-00002399,USD,3534,COMPLETED,2026-02-08 10:02:20,2026-02-08 10:12:20
RFD-0000044,TXN-00004807,SGD,26938,COMPLETED,2026-02-18 06:14:53,2026-02-18 06:24:53
RFD-0000045,TXN-00004230,USD,8170,COMPLETED,2026-01-19 21:12:36,2026-01-19 21:22:36
RFD-0000046,TXN-00003074,USD,843,COMPLETED,2026-01-15 17:44:22,2026-01-15 17:54:22
RFD-0000047,TXN-00002083,THB,1471,COMPLETED,2026-02-10 23:41:54,2026-02-10 23:51:54
RFD-0000048,TXN-00003930,SGD,17886,COMPLETED,2026-01-07 00:14:48,2026-01-07 00:24:48
RFD-0000049,TXN-00002345,USD,611,COMPLETED,2026-01-14 15:50:03,2026-01-14 16:00:03
RFD-0000050,TXN-00002068,THB,9766,COMPLETED,2026-02-22 18:39:56,2026-02-22 18:49:56
RFD-0000051,TXN-00002763,USD,395,COMPLETED,2026-01-11 23:11:22,2026-01-11 23:21:22
RFD-0000052,TXN-00001606,THB,1851,COMPLETED,2026-01-14 12:41:47,2026-01-14 12:51:47
RFD-0000053,TXN-00004766,THB,1022,COMPLETED,2026-01-24 04:09:06,2026-01-24 04:19:06
RFD-0000054,TXN-00000851,SGD,6728,COMPLETED,2026-01-21 14:14:34,2026-01-21 14:24:34
RFD-0000055,TXN-00000456,SGD,3552,COMPLETED,2026-02-02 16:20:46,2026-02-02 16:30:46
RFD-0000056,TXN-00001995,USD,1416,COMPLETED,2026-02-23 06:22:28,2026-02-23 06:32:28
RFD-0000057,TXN-00001796,USD,9662,COMPLETED,2026-02-26 10:20:07,2026-02-26 10:30:07
RFD-0000058,TXN-00003946,USD,450,COMPLETED,2026-03-05 16:53:30,2026-03-05 17:03:30
RFD-0000059,TXN-00004144,SGD,735,COMPLETED,2026-02-18 02:18:44,2026-02-18 02:28:44
RFD-0000060,TXN-00004736,USD,22520,COMPLETED,2026-01-13 14:34:59,2026-01-13 14:44:59
RFD-0000061,TXN-00003199,THB,766,COMPLETED,2026-02-12 15:04:07,2026-02-12 15:14:07
RFD-0000062,TXN-00004770,THB,254,COMPLETED,2026-01-20 21:14:03,2026-01-20 21:24:03
RFD-0000063,TXN-00003434,THB,3722,COMPLETED,2026-01-24 02:06:34,2026-01-24 02:16:34
RFD-0000064,TXN-00004573,THB,1691,COMPLETED,2026-01-10 05:16:06,2026-01-10 05:26:06
RFD-0000065,TXN-00001790,SGD,489,COMPLETED,2026-01-31 14:10:56,2026-01-31 14:20:56
RFD-0000066,TXN-00001913,SGD,10102,COMPLETED,2026-01-25 23:31:08,2026-01-25 23:41:08
RFD-0000067,TXN-00000030,SGD,3960,COMPLETED,2026-01-24 16:58:25,2026-01-24 17:08:25
RFD-0000068,TXN-00003174,THB,299,COMPLETED,2026-01-13 12:44:07,2026-01-13 12:54:07
RFD-0000069,TXN-00000677,USD,1631,COMPLETED,2026-01-29 17:03:27,2026-01-29 17:13:27
RFD-0000070,TXN-00002476,SGD,964,COMPLETED,2026-01-05 02:44:13,2026-01-05 02:54:13
RFD-0000071,TXN-00002816,USD,16408,COMPLETED,2026-02-09 01:05:38,2026-02-09 01:15:38
RFD-0000072,TXN-00000387,THB,3635,COMPLETED,2026-02-05 09:22:39,2026-02-05 09:32:39
RFD-0000073,TXN-00003430,THB,10826,COMPLETED,2026-02-05 07:56:25,2026-02-05 08:06:25
RFD-0000074,TXN-00004482,SGD,10139,COMPLETED,2026-03-02 18:18:42,2026-03-02 18:28:42
RFD-0000075,TXN-00001222,USD,4722,COMPLETED,2026-02-17 10:24:11,2026-02-17 10:34:11
RFD-0000076,TXN-00001418,THB,1993,COMPLETED,2026-02-28 06:44:18,2026-02-28 06:54:18
RFD-0000077,TXN-00004710,THB,4688,COMPLETED,2026-02-21 14:31:51,2026-02-21 14:41:51
RFD-0000078,TXN-00004124,SGD,2222,COMPLETED,2026-02-08 01:59:40,2026-02-08 02:09:40
RFD-0000079,TXN-00002550,SGD,189,COMPLETED,2026-01-18 09:19:37,2026-01-18 09:29:37
RFD-0000080,TXN-00002521,SGD,9689,COMPLETED,2026-02-13 19:33:34,2026-02-13 19:43:34
RFD-0000081,TXN-00003674,THB,3713,COMPLETED,2026-01-14 07:57:16,2026-01-14 08:07:16
RFD-0000082,TXN-00000276,SGD,1494,COMPLETED,2026-01-11 00:31:33,2026-01-11 00:41:33
RFD-0000083,TXN-00004858,SGD,1356,COMPLETED,2026-01-20 05:22:39,2026-01-20 05:32:39
RFD-0000084,TXN-00002261,SGD,7582,COMPLETED,2026-02-07 02:29:28,2026-02-07 02:39:28
RFD-0000085,TXN-00001569,SGD,593,COMPLETED,2026-01-17 03:51:36,2026-01-17 04:01:36
RFD-0000086,TXN-00001489,USD,1423,COMPLETED,2026-01-18 11:37:17,2026-01-18 11:47:17
RFD-0000087,TXN-00004556,USD,615,COMPLETED,2026-01-27 13:12:15,2026-01-27 13:22:15
RFD-0000088,TXN-00004399,THB,1034,COMPLETED,2026-01-25 14:17:02,2026-01-25 14:27:02
RFD-0000089,TXN-00004750,USD,534,COMPLETED,2026-02-15 22:15:49,2026-02-15 22:25:49
RFD-0000090,TXN-00000618,USD,1257,COMPLETED,2026-02-12 20:03:44,2026-02-12 20:13:44
RFD-0000091,TXN-00002396,SGD,5324,COMPLETED,2026-01-31 17:14:11,2026-01-31 17:24:11
RFD-0000092,TXN-00004166,SGD,962,COMPLETED,2026-02-01 14:01:42,2026-02-01 14:11:42
RFD-0000093,TXN-00003090,USD,593,COMPLETED,2026-01-22 08:34:34,2026-01-22 08:44:34
RFD-0000094,TXN-00004868,USD,600,COMPLETED,2026-02-19 06:53:26,2026-02-19 07:03:26
RFD-0000095,TXN-00004979,USD,1531,COMPLETED,2026-02-24 16:44:34,2026-02-24 16:54:34
RFD-0000096,TXN-00003644,USD,713,COMPLETED,2026-01-29 08:54:40,2026-01-29 09:04:40
RFD-0000097,TXN-00003612,SGD,6437,COMPLETED,2026-01-30 19:19:50,2026-01-30 19:29:50
RFD-0000098,TXN-00003829,USD,474,COMPLETED,2026-02-05 05:33:55,2026-02-05 05:43:55
RFD-0000099,TXN-00001064,SGD,1012,COMPLETED,2026-02-05 23:22:43,2026-02-05 23:32:43
RFD-0000100,TXN-00004173,SGD,5451,COMPLETED,2026-02-05 00:34:20,2026-02-05 00:44:20
RFD-0000101,TXN-00003841,USD,1140,COMPLETED,2026-01-31 02:27:39,2026-01-31 02:37:39
RFD-0000102,TXN-00002386,THB,973,COMPLETED,2026-01-07 17:21:36,2026-01-07 17:31:36
RFD-0000103,TXN-00003227,THB,1351,COMPLETED,2026-01-17 19:52:31,2026-01-17 20:02:31
RFD-0000104,TXN-00004147,THB,856,COMPLETED,2026-01-14 07:13:06,2026-01-14 07:23:06
RFD-0000105,TXN-00000722,THB,1825,COMPLETED,2026-01-05 01:58:38,2026-01-05 02:08:38
RFD-0000106,TXN-00002919,USD,3547,COMPLETED,2026-02-01 06:12:40,2026-02-01 06:22:40
RFD-0000107,TXN-00003154,USD,1931,COMPLETED,2026-02-12 22:58:19,2026-02-12 23:08:19
RFD-0000108,TXN-00004208,USD,5284,COMPLETED,2026-02-20 21:18:15,2026-02-20 21:28:15
RFD-0000109,TXN-00001802,USD,3013,COMPLETED,2026-02-23 15:43:04,2026-02-23 15:53:04
RFD-0000110,TXN-00002356,SGD,26584,COMPLETED,2026-01-23 20:01:38,2026-01-23 20:11:38
RFD-0000111,TXN-00002540,SGD,3714,COMPLETED,2026-02-11 10:45:19,2026-02-11 10:55:19
RFD-0000112,TXN-00002005,USD,1234,COMPLETED,2026-03-05 22:36:30,2026-03-05 22:46:30
RFD-0000113,TXN-00003222,USD,3193,COMPLETED,2026-02-11 19:27:37,2026-02-11 19:37:37
RFD-0000114,TXN-00004997,USD,7322,COMPLETED,2026-02-15 17:03:10,2026-02-15 17:13:10
RFD-0000115,TXN-00004522,USD,20463,COMPLETED,2026-02-25 07:29:47,2026-02-25 07:39:47
RFD-0000116,TXN-00003286,THB,4375,COMPLETED,2026-03-04 23:27:27,2026-03-04 23:37:27
RFD-0000117,TXN-00004716,SGD,1247,COMPLETED,2026-02-25 14:12:09,2026-02-25 14:22:09
RFD-0000118,TXN-00002970,THB,5923,COMPLETED,2026-01-18 21:18:45,2026-01-18 21:28:45
RFD-0000119,TXN-00004963,THB,5242,COMPLETED,2026-02-10 15:51:59,2026-02-10 16:01:59
RFD-0000120,TXN-00000182,USD,3416,COMPLETED,2026-01-04 17:28:10,2026-01-04 17:38:10
RFD-0000121,TXN-00002493,USD,135,COMPLETED,2026-01-24 00:37:19,2026-01-24 00:47:19
RFD-0000122,TXN-00001654,SGD,1515,COMPLETED,2026-03-05 19:46:32,2026-03-05 19:56:32
RFD-0000123,TXN-00001653,SGD,13064,COMPLETED,2026-02-25 23:26:47,2026-02-25 23:36:47
RFD-0000124,TXN-00001441,USD,7432,COMPLETED,2026-02-09 14:00:37,2026-02-09 14:10:37
RFD-0000125,TXN-00004948,USD,4656,COMPLETED,2026-02-12 20:55:35,2026-02-12 21:05:35
RFD-0000126,TXN-00002620,SGD,739,COMPLETED,2026-02-23 23:42:36,2026-02-23 23:52:36
RFD-0000127,TXN-00002471,SGD,3489,COMPLETED,2026-02-26 04:21:10,2026-02-26 04:31:10
RFD-0000128,TXN-00000203,USD,2012,COMPLETED,2026-01-21 05:05:22,2026-01-21 05:15:22
RFD-0000129,TXN-00004765,THB,1221,COMPLETED,2026-02-12 01:17:19,2026-02-12 01:27:19
RFD-0000130,TXN-00003847,SGD,5664,COMPLETED,2026-02-17 18:55:22,2026-02-17 19:05:22
RFD-0000131,TXN-00003548,USD,2389,COMPLETED,2026-03-03 15:23:49,2026-03-03 15:33:49
RFD-0000132,TXN-00002751,USD,2246,COMPLETED,2026-02-02 17:10:55,2026-02-02 17:20:55
RFD-0000133,TXN-00004067,THB,2112,COMPLETED,2026-01-24 18:07:49,2026-01-24 18:17:49
RFD-0000134,TXN-00000269,THB,655,COMPLETED,2026-02-23 18:07:17,2026-02-23 18:17:17
RFD-0000135,TXN-00004408,THB,1745,COMPLETED,2026-02-01 15:46:34,2026-02-01 15:56:34
RFD-0000136,TXN-00000439,USD,789,COMPLETED,2026-01-04 03:19:03,2026-01-04 03:29:03
RFD-0000137,TXN-00000682,SGD,12740,COMPLETED,2026-01-15 17:38:02,2026-01-15 17:48:02
RFD-0000138,TXN-00001686,THB,825,COMPLETED,2026-03-04 21:55:36,2026-03-04 22:05:36
RFD-0000139,TXN-00004789,USD,645,COMPLETED,2026-01-24 13:53:20,2026-01-24 14:03:20
RFD-0000140,TXN-00003970,USD,10392,COMPLETED,2026-01-30 12:40:23,2026-01-30 12:50:23
RFD-0000141,TXN-00002155,USD,1884,COMPLETED,2026-02-05 15:03:24,2026-02-05 15:13:24
RFD-0000142,TXN-00004632,THB,1899,COMPLETED,2026-03-06 21:21:28,2026-03-06 21:31:28
RFD-0000143,TXN-00003710,SGD,9068,COMPLETED,2026-01-17 08:00:21,2026-01-17 08:10:21
RFD-0000144,TXN-00003114,SGD,2044,COMPLETED,2026-02-16 09:25:26,2026-02-16 09:35:26
RFD-0000145,TXN-00003313,USD,582,COMPLETED,2026-02-16 23:21:08,2026-02-16 23:31:08
RFD-0000146,TXN-00001901,THB,3387,COMPLETED,2026-01-28 08:02:24,2026-01-28 08:12:24
RFD-0000147,TXN-00001436,THB,3798,COMPLETED,2026-02-13 08:21:30,2026-02-13 08:31:30
RFD-0000148,TXN-00003931,SGD,2000,COMPLETED,2026-01-21 16:07:52,2026-01-21 16:17:52
RFD-0000149,TXN-00000801,SGD,1336,COMPLETED,2026-01-25 07:29:02,2026-01-25 07:39:02
RFD-0000150,TXN-00002796,USD,864,COMPLETED,2026-01-28 12:02:22,2026-01-28 12:12:22
RFD-0000151,TXN-00001337,SGD,4010,COMPLETED,2026-01-14 21:07:05,2026-01-14 21:17:05
RFD-0000152,TXN-00003437,SGD,2673,COMPLETED,2026-02-03 12:29:56,2026-02-03 12:39:56
RFD-0000153,TXN-00001939,THB,678,COMPLETED,2026-02-27 22:21:35,2026-02-27 22:31:35
RFD-0000154,TXN-00003509,USD,610,COMPLETED,2026-02-26 12:50:14,2026-02-26 13:00:14
RFD-0000155,TXN-00004219,USD,4395,COMPLETED,2026-02-28 22:55:15,2026-02-28 23:05:15
RFD-0000156,TXN-00001766,USD,14831,COMPLETED,2026-02-22 22:19:42,2026-02-22 22:29:42
RFD-0000157,TXN-00001341,SGD,1973,COMPLETED,2026-01-18 21:23:13,2026-01-18 21:33:13
RFD-0000158,TXN-00001961,SGD,743,COMPLETED,2026-02-18 05:58:32,2026-02-18 06:08:32
RFD-0000159,TXN-00001002,USD,5474,COMPLETED,2026-02-02 18:45:21,2026-02-02 18:55:21
RFD-0000160,TXN-00004835,THB,3803,COMPLETED,2026-02-12 03:32:46,2026-02-12 03:42:46
RFD-0000161,TXN-00001003,THB,4819,COMPLETED,2026-03-07 03:27:00,2026-03-07 03:37:00
RFD-0000162,TXN-00000515,SGD,12893,COMPLETED,2026-03-06 21:54:39,2026-03-06 22:04:39
RFD-0000163,TXN-00004839,SGD,2026,COMPLETED,2026-02-14 15:26:07,2026-02-14 15:36:07
RFD-0000164,TXN-00000913,SGD,462,COMPLETED,2026-03-02 03:13:11,2026-03-02 03:23:11
RFD-0000165,TXN-00001880,SGD,5193,COMPLETED,2026-01-25 07:46:07,2026-01-25 07:56:07
RFD-0000166,TXN-00003335,USD,1549,COMPLETED,2026-01-13 15:00:40,2026-01-13 15:10:40
RFD-0000167,TXN-00003859,USD,8073,COMPLETED,2026-02-27 23:49:00,2026-02-27 23:59:00
RFD-0000168,TXN-00000319,USD,5663,COMPLETED,2026-02-23 16:16:09,2026-02-23 16:26:09
RFD-0000169,TXN-00003460,SGD,8131,COMPLETED,2026-02-01 02:38:22,2026-02-01 02:48:22
RFD-0000170,TXN-00001509,USD,3826,COMPLETED,2026-01-12 18:32:15,2026-01-12 18:42:15
RFD-0000171,TXN-00003610,SGD,828,COMPLETED,2026-02-03 19:06:42,2026-02-03 19:16:42
RFD-0000172,TXN-00004949,SGD,8996,COMPLETED,2026-02-12 22:02:59,2026-02-12 22:12:59
RFD-0000173,TXN-00003824,SGD,889,COMPLETED,2026-02-11 23:45:36,2026-02-11 23:55:36
RFD-0000174,TXN-00000054,SGD,372,COMPLETED,2026-01-11 15:48:50,2026-01-11 15:58:50
RFD-0000175,TXN-00000928,USD,2460,COMPLETED,2026-01-17 12:16:03,2026-01-17 12:26:03
RFD-0000176,TXN-00002925,SGD,20424,COMPLETED,2026-01-05 16:24:11,2026-01-05 16:34:11
RFD-0000177,TXN-00003212,USD,12839,COMPLETED,2026-01-13 18:01:41,2026-01-13 18:11:41
RFD-0000178,TXN-00002437,THB,2216,COMPLETED,2026-03-03 10:20:30,2026-03-03 10:30:30
RFD-0000179,TXN-00003293,THB,6656,COMPLETED,2026-02-07 16:52:15,2026-02-07 17:02:15
RFD-0000180,TXN-00004363,THB,2370,COMPLETED,2026-02-10 16:01:29,2026-02-10 16:11:29
RFD-0000181,TXN-00001413,USD,1240,COMPLETED,2026-01-07 19:00:07,2026-01-07 19:10:07
RFD-0000182,TXN-00000900,USD,723,COMPLETED,2026-02-22 08:37:03,2026-02-22 08:47:03
RFD-0000183,TXN-00001121,SGD,1996,COMPLETED,2026-02-19 13:56:14,2026-02-19 14:06:14
RFD-0000184,TXN-00003894,THB,2630,COMPLETED,2026-02-15 06:05:16,2026-02-15 06:15:16
RFD-0000185,TXN-00002065,THB,8568,COMPLETED,2026-02-17 18:12:26,2026-02-17 18:22:26
RFD-0000186,TXN-00001457,SGD,5431,COMPLETED,2026-01-25 07:23:08,2026-01-25 07:33:08
RFD-0000187,TXN-00002095,THB,11076,COMPLETED,2026-02-27 18:29:26,2026-02-27 18:39:26
RFD-0000188,TXN-00004881,THB,5014,COMPLETED,2026-02-21 20:36:05,2026-02-21 20:46:05
RFD-0000189,TXN-00004327,SGD,1831,COMPLETED,2026-01-07 16:45:37,2026-01-07 16:55:37
RFD-0000190,TXN-00003519,SGD,619,COMPLETED,2026-01-25 12:47:18,2026-01-25 12:57:18
RFD-0000191,TXN-00000184,THB,867,COMPLETED,2026-01-24 21:39:01,2026-01-24 21:49:01
RFD-0000192,TXN-00002153,SGD,1966,COMPLETED,2026-01-29 18:19:31,2026-01-29 18:29:31
RFD-0000193,TXN-00004564,THB,5840,COMPLETED,2026-01-31 15:53:21,2026-01-31 16:03:21
RFD-0000194,TXN-00001071,USD,1877,COMPLETED,2026-01-17 23:13:49,2026-01-17 23:23:49
RFD-0000195,TXN-00001230,SGD,696,COMPLETED,2026-02-01 18:03:52,2026-02-01 18:13:52
RFD-0000196,TXN-00002091,THB,639,COMPLETED,2026-01-08 09:00:35,2026-01-08 09:10:35
RFD-0000197,TXN-00000072,USD,4326,COMPLETED,2026-02-25 20:35:04,2026-02-25 20:45:04
RFD-0000198,TXN-00003145,THB,2327,COMPLETED,2026-02-23 11:19:39,2026-02-23 11:29:39
RFD-0000199,TXN-00002315,THB,2967,COMPLETED,2026-02-26 04:03:24,2026-02-26 04:13:24
RFD-0000200,TXN-00002840,THB,2799,COMPLETED,2026-02-15 23:14:51,2026-02-15 23:24:51
RFD-0000201,TXN-00003492,USD,6937,COMPLETED,2026-02-18 13:32:55,2026-02-18 13:42:55
RFD-0000202,TXN-00002322,USD,4510,COMPLETED,2026-01-28 22:48:59,2026-01-28 22:58:59
RFD-0000203,TXN-00001759,SGD,10939,COMPLETED,2026-01-28 02:22:23,2026-01-28 02:32:23
RFD-0000204,TXN-00002764,USD,504,COMPLETED,2026-02-19 05:10:13,2026-02-19 05:20:13
RFD-0000205,TXN-00001553,USD,1505,COMPLETED,2026-01-21 06:59:57,2026-01-21 07:09:57
RFD-0000206,TXN-00002058,THB,4232,COMPLETED,2026-02-25 15:56:23,2026-02-25 16:06:23
RFD-0000207,TXN-00000516,SGD,19761,COMPLETED,2026-02-24 23:17:45,2026-02-24 23:27:45
RFD-0000208,TXN-00003551,THB,1114,COMPLETED,2026-02-14 16:33:43,2026-02-14 16:43:43
RFD-0000209,TXN-00003776,SGD,4279,COMPLETED,2026-01-22 07:15:02,2026-01-22 07:25:02
RFD-0000210,TXN-00003770,USD,2218,COMPLETED,2026-01-23 02:10:49,2026-01-23 02:20:49
RFD-0000211,TXN-00003444,USD,1107,COMPLETED,2026-02-03 01:22:40,2026-02-03 01:32:40
RFD-0000212,TXN-00000098,THB,1850,COMPLETED,2026-01-18 10:35:06,2026-01-18 10:45:06
RFD-0000213,TXN-00002484,THB,2567,COMPLETED,2026-01-22 10:59:09,2026-01-22 11:09:09
RFD-0000214,TXN-00000651,THB,3241,COMPLETED,2026-03-04 05:52:51,2026-03-04 06:02:51
RFD-0000215,TXN-00002998,SGD,1946,COMPLETED,2026-03-07 06:32:15,2026-03-07 06:42:15
RFD-0000216,TXN-00003230,USD,3737,COMPLETED,2026-01-21 18:06:59,2026-01-21 18:16:59
RFD-0000217,TXN-00003377,THB,548,COMPLETED,2026-02-25 22:10:09,2026-02-25 22:20:09
RFD-0000218,TXN-00004831,USD,919,COMPLETED,2026-02-10 23:45:12,2026-02-10 23:55:12
RFD-0000219,TXN-00003517,USD,1805,COMPLETED,2026-02-23 12:39:12,2026-02-23 12:49:12
RFD-0000220,TXN-00004043,SGD,323,COMPLETED,2026-02-07 07:57:43,2026-02-07 08:07:43
RFD-0000221,TXN-00003912,USD,2023,COMPLETED,2026-03-01 10:24:12,2026-03-01 10:34:12
RFD-0000222,TXN-00004711,THB,2281,COMPLETED,2026-01-29 01:44:43,2026-01-29 01:54:43
RFD-0000223,TXN-00004159,SGD,8839,COMPLETED,2026-02-28 20:35:40,2026-02-28 20:45:40
RFD-0000224,TXN-00000080,THB,902,COMPLETED,2026-02-16 19:33:38,2026-02-16 19:43:38
RFD-0000225,TXN-00000172,THB,1608,COMPLETED,2026-02-12 02:18:51,2026-02-12 02:28:51
RFD-0000226,TXN-00000933,THB,6792,COMPLETED,2026-02-04 15:09:09,2026-02-04 15:19:09
RFD-0000227,TXN-00000742,SGD,2671,COMPLETED,2026-01-24 05:36:25,2026-01-24 05:46:25
RFD-0000228,TXN-00003006,USD,9540,COMPLETED,2026-02-05 19:21:36,2026-02-05 19:31:36
RFD-0000229,TXN-00003983,THB,2578,COMPLETED,2026-02-18 09:23:58,2026-02-18 09:33:58
RFD-0000230,TXN-00001890,USD,1309,COMPLETED,2026-02-24 02:36:49,2026-02-24 02:46:49
RFD-0000231,TXN-00001930,USD,11422,COMPLETED,2026-02-01 14:13:40,2026-02-01 14:23:40
RFD-0000232,TXN-00003594,SGD,3809,COMPLETED,2026-01-29 13:30:07,2026-01-29 13:40:07
RFD-0000233,TXN-00003581,THB,2925,COMPLETED,2026-02-27 12:17:24,2026-02-27 12:27:24
RFD-0000234,TXN-00002259,THB,4546,COMPLETED,2026-01-09 07:54:38,2026-01-09 08:04:38
RFD-0000235,TXN-00004168,USD,1386,COMPLETED,2026-02-04 15:05:26,2026-02-04 15:15:26
RFD-0000236,TXN-00000692,THB,2388,COMPLETED,2026-01-08 05:35:21,2026-01-08 05:45:21
RFD-0000237,TXN-00000024,THB,7237,COMPLETED,2026-01-08 05:25:16,2026-01-08 05:35:16
RFD-0000238,TXN-00002910,SGD,6297,COMPLETED,2026-01-23 11:56:42,2026-01-23 12:06:42
RFD-0000239,TXN-00003998,SGD,3650,COMPLETED,2026-02-16 21:31:02,2026-02-16 21:41:02
RFD-0000240,TXN-00004847,SGD,730,COMPLETED,2026-03-03 07:37:24,2026-03-03 07:47:24
RFD-0000241,TXN-00002804,SGD,2135,COMPLETED,2026-01-22 04:55:03,2026-01-22 05:05:03
RFD-0000242,TXN-00001206,SGD,282,COMPLETED,2026-01-04 17:05:51,2026-01-04 17:15:51
RFD-0000243,TXN-00003855,SGD,557,COMPLETED,2026-02-26 09:58:13,2026-02-26 10:08:13
RFD-0000244,TXN-00002516,SGD,1240,COMPLETED,2026-01-07 11:25:39,2026-01-07 11:35:39
RFD-0000245,TXN-00003337,SGD,7228,COMPLETED,2026-02-19 21:13:58,2026-02-19 21:23:58
RFD-0000246,TXN-00002942,SGD,827,COMPLETED,2026-01-09 08:49:44,2026-01-09 08:59:44
RFD-0000247,TXN-00002224,SGD,20621,COMPLETED,2026-02-08 11:45:02,2026-02-08 11:55:02
RFD-0000248,TXN-00002721,SGD,1320,COMPLETED,2026-01-07 22:35:54,2026-01-07 22:45:54
RFD-0000249,TXN-00002272,USD,435,COMPLETED,2026-02-24 00:12:37,2026-02-24 00:22:37
RFD-0000250,TXN-00002204,THB,3437,COMPLETED,2026-01-14 11:23:20,2026-01-14 11:33:20
RFD-0000251,TXN-00003985,USD,1383,COMPLETED,2026-01-17 22:54:28,2026-01-17 23:04:28
RFD-0000252,TXN-00002137,SGD,2400,COMPLETED,2026-01-27 08:07:20,2026-01-27 08:17:20
