payment_event_id,transaction_id,event_sequence,event_type,status,currency,event_amount_minor,event_time
PEV-000000081,TXN-00000029,2,AUTHORIZED,RECORDED,USD,9647,2026-01-01 12:33:05
PEV-000000082,TXN-00000029,3,CAPTURED,RECORDED,USD,9647,2026-01-01 12:33:50
PEV-000000083,TXN-00000030,1,INITIATED,RECORDED,SGD,6655,2026-01-19 16:58:25
PEV-000000084,TXN-00000030,2,AUTHORIZED,RECORDED,SGD,6655,2026-01-19 16:59:10
PEV-000000085,TXN-00000030,3,CAPTURED,RECORDED,SGD,6655,2026-01-19 16:59:55
PEV-000000086,TXN-00000031,1,INITIATED,RECORDED,USD,6876,2026-01-11 05:46:40
PEV-000000087,TXN-00000031,2,AUTHORIZED,RECORDED,USD,6876,2026-01-11 05:47:25
PEV-000000088,TXN-00000031,3,CAPTURED,RECORDED,USD,6876,2026-01-11 05:48:10
PEV-000000089,TXN-00000032,1,INITIATED,RECORDED,SGD,3410,2026-02-10 21:37:44
PEV-000000090,TXN-00000032,2,AUTHORIZED,RECORDED,SGD,3410,2026-02-10 21:38:29
PEV-000000091,TXN-00000032,3,CANCELLED,RECORDED,SGD,3410,2026-02-10 21:39:14
PEV-000000092,TXN-00000033,1,INITIATED,RECORDED,SGD,2249,2026-01-12 13:55:33
PEV-000000093,TXN-00000033,2,AUTHORIZED,RECORDED,SGD,2249,2026-01-12 13:56:18
PEV-000000094,TXN-00000033,3,CANCELLED,RECORDED,SGD,2249,2026-01-12 13:57:03
PEV-000000095,TXN-00000034,1,INITIATED,RECORDED,THB,12590,2026-02-10 22:15:07
PEV-000000096,TXN-00000034,2,AUTHORIZED,RECORDED,THB,12590,2026-02-10 22:15:52
PEV-000000097,TXN-00000034,3,CAPTURED,RECORDED,THB,12590,2026-02-10 22:16:37
PEV-000000098,TXN-00000035,1,INITIATED,RECORDED,SGD,11817,2026-02-10 18:54:12
PEV-000000099,TXN-00000035,2,AUTHORIZED,RECORDED,SGD,11817,2026-02-10 18:54:57
PEV-000000100,TXN-00000035,3,CAPTURED,RECORDED,SGD,11817,2026-02-10 18:55:42
PEV-000000101,TXN-00000036,1,INITIATED,RECORDED,SGD,2635,2026-01-07 13:21:30
PEV-000000102,TXN-00000036,2,AUTHORIZED,RECORDED,SGD,2635,2026-01-07 13:22:15
PEV-000000103,TXN-00000036,3,CAPTURED,RECORDED,SGD,2635,2026-01-07 13:23:00
PEV-000000104,TXN-00000037,1,INITIATED,RECORDED,SGD,806,2026-02-13 12:40:06
PEV-000000105,TXN-00000037,2,AUTHORIZED,RECORDED,SGD,806,2026-02-13 12:40:51
PEV-000000106,TXN-00000037,3,CAPTURED,RECORDED,SGD,806,2026-02-13 12:41:36
PEV-000000107,TXN-00000038,1,INITIATED,RECORDED,SGD,6248,2026-02-25 12:00:41
PEV-000000108,TXN-00000038,2,AUTHORIZED,RECORDED,SGD,6248,2026-02-25 12:01:26
PEV-000000109,TXN-00000038,3,CAPTURED,RECORDED,SGD,6248,2026-02-25 12:02:11
PEV-000000110,TXN-00000039,1,INITIATED,RECORDED,THB,2742,2026-02-10 13:39:24
PEV-000000111,TXN-00000039,2,AUTHORIZED,RECORDED,THB,2742,2026-02-10 13:40:09
PEV-000000112,TXN-00000040,1,INITIATED,RECORDED,THB,4716,2026-02-01 06:15:47
PEV-000000113,TXN-00000040,2,AUTHORIZED,RECORDED,THB,4716,2026-02-01 06:16:32
PEV-000000114,TXN-00000040,3,CAPTURED,RECORDED,THB,4716,2026-02-01 06:17:17
PEV-000000115,TXN-00000041,1,INITIATED,RECORDED,USD,1773,2026-02-15 02:47:24
PEV-000000116,TXN-00000041,2,AUTHORIZED,RECORDED,USD,1773,2026-02-15 02:48:09
PEV-000000117,TXN-00000041,3,CAPTURED,RECORDED,USD,1773,2026-02-15 02:48:54
PEV-000000118,TXN-00000042,1,INITIATED,RECORDED,SGD,14645,2026-01-18 00:31:07
PEV-000000119,TXN-00000042,2,AUTHORIZED,RECORDED,SGD,14645,2026-01-18 00:31:52
PEV-000000120,TXN-00000042,3,CAPTURED,RECORDED,SGD,14645,2026-01-18 00:32:37
PEV-000000121,TXN-00000043,1,INITIATED,RECORDED,THB,3180,2026-01-06 02:10:36
PEV-000000122,TXN-00000043,2,AUTHORIZED,RECORDED,THB,3180,2026-01-06 02:11:21
PEV-000000123,TXN-00000043,3,CAPTURED,RECORDED,THB,3180,2026-01-06 02:12:06
PEV-000000124,TXN-00000044,1,INITIATED,RECORDED,USD,13464,2026-01-02 19:22:02
PEV-000000125,TXN-00000044,2,AUTHORIZED,RECORDED,USD,13464,2026-01-02 19:22:47
PEV-000000126,TXN-00000044,3,CAPTURED,RECORDED,USD,13464,2026-01-02 19:23:32
PEV-000000127,TXN-00000045,1,INITIATED,RECORDED,USD,2346,2026-02-26 21:33:09
PEV-000000128,TXN-00000045,2,AUTHORIZED,RECORDED,USD,2346,2026-02-26 21:33:54
PEV-000000129,TXN-00000045,3,CAPTURED,RECORDED,USD,2346,2026-02-26 21:34:39
PEV-000000130,TXN-00000046,1,INITIATED,RECORDED,SGD,2739,2026-01-15 22:19:24
PEV-000000131,TXN-00000046,2,AUTHORIZED,RECORDED,SGD,2739,2026-01-15 22:20:09
PEV-000000132,TXN-00000046,3,CANCELLED,RECORDED,SGD,2739,2026-01-15 22:20:54
PEV-000000133,TXN-00000047,1,INITIATED,RECORDED,SGD,1572,2026-01-28 16:01:28
PEV-000000134,TXN-00000047,2,AUTHORIZED,RECORDED,SGD,1572,2026-01-28 16:02:13
PEV-000000135,TXN-00000047,3,CAPTURED,RECORDED,SGD,1572,2026-01-28 16:02:58
PEV-000000136,TXN-00000048,1,INITIATED,RECORDED,USD,5937,2026-02-07 06:26:41
PEV-000000137,TXN-00000048,2,AUTHORIZED,RECORDED,USD,5937,2026-02-07 06:27:26
PEV-000000138,TXN-00000048,3,CAPTURED,RECORDED,USD,5937,2026-02-07 06:28:11
PEV-000000139,TXN-00000049,1,INITIATED,RECORDED,USD,11463,2026-02-01 15:37:36
PEV-000000140,TXN-00000049,2,AUTHORIZED,RECORDED,USD,11463,2026-02-01 15:38:21
PEV-000000141,TXN-00000049,3,CAPTURED,RECORDED,USD,11463,2026-02-01 15:39:06
PEV-000000142,TXN-00000050,1,INITIATED,RECORDED,SGD,2600,2026-02-24 10:05:38
PEV-000000143,TXN-00000050,2,AUTHORIZED,RECORDED,SGD,2600,2026-02-24 10:06:23
PEV-000000144,TXN-00000050,3,CAPTURED,RECORDED,SGD,2600,2026-02-24 10:07:08
PEV-000000145,TXN-00000051,1,INITIATED,RECORDED,SGD,4507,2026-02-05 03:24:30
PEV-000000146,TXN-00000051,2,AUTHORIZED,RECORDED,SGD,4507,2026-02-05 03:25:15
PEV-000000147,TXN-00000051,3,CAPTURED,RECORDED,SGD,4507,2026-02-05 03:26:00
PEV-000000148,TXN-00000052,1,INITIATED,RECORDED,THB,5923,2026-02-20 13:03:01
PEV-000000149,TXN-00000052,2,AUTHORIZED,RECORDED,THB,5923,2026-02-20 13:03:46
PEV-000000150,TXN-00000052,3,CAPTURED,RECORDED,THB,5923,2026-02-20 13:04:31
PEV-000000151,TXN-00000053,1,INITIATED,RECORDED,USD,10262,2026-01-03 08:02:30
PEV-000000152,TXN-00000053,2,AUTHORIZED,RECORDED,USD,10262,2026-01-03 08:03:15
PEV-000000153,TXN-00000053,3,CAPTURED,RECORDED,USD,10262,2026-01-03 08:04:00
PEV-000000154,TXN-00000054,1,INITIATED,RECORDED,SGD,960,2026-01-09 15:48:50
PEV-000000155,TXN-00000054,2,AUTHORIZED,RECORDED,SGD,960,2026-01-09 15:49:35
PEV-000000156,TXN-00000054,3,CAPTURED,RECORDED,SGD,960,2026-01-09 15:50:20
PEV-000000157,TXN-00000055,1,INITIATED,RECORDED,USD,1853,2026-01-21 13:04:21
PEV-000000158,TXN-00000055,2,AUTHORIZED,RECORDED,USD,1853,2026-01-21 13:05:06
PEV-000000159,TXN-00000055,3,CAPTURED,RECORDED,USD,1853,2026-01-21 13:05:51
PEV-000000160,TXN-00000056,1,INITIATED,RECORDED,THB,6906,2026-02-02 17:37:17
PEV-000000161,TXN-00000056,2,AUTHORIZED,RECORDED,THB,6906,2026-02-02 17:38:02
PEV-000000162,TXN-00000056,3,CAPTURED,RECORDED,THB,6906,2026-02-02 17:38:47
PEV-000000163,TXN-00000057,1,INITIATED,RECORDED,USD,1761,2026-02-03 22:42:25
PEV-000000164,TXN-00000057,2,AUTHORIZED,RECORDED,USD,1761,2026-02-03 22:43:10
PEV-000000165,TXN-00000057,3,CAPTURED,RECORDED,USD,1761,2026-02-03 22:43:55
PEV-000000166,TXN-00000058,1,INITIATED,RECORDED,USD,4627,2026-01-03 14:23:16
PEV-000000167,TXN-00000058,2,AUTHORIZED,RECORDED,USD,4627,2026-01-03 14:24:01
PEV-000000168,TXN-00000058,3,CAPTURED,RECORDED,USD,4627,2026-01-03 14:24:46
PEV-000000169,TXN-00000059,1,INITIATED,RECORDED,USD,22571,2026-01-11 17:46:36
PEV-000000170,TXN-00000059,2,AUTHORIZED,RECORDED,USD,22571,2026-01-11 17:47:21
PEV-000000171,TXN-00000060,1,INITIATED,RECORDED,THB,3264,2026-01-19 14:58:46
PEV-000000172,TXN-00000060,2,AUTHORIZED,RECORDED,THB,3264,2026-01-19 14:59:31
PEV-000000173,TXN-00000060,3,CAPTURED,RECORDED,THB,3264,2026-01-19 15:00:16
PEV-000000174,TXN-00000061,1,INITIATED,RECORDED,USD,5062,2026-01-18 06:17:54
PEV-000000175,TXN-00000061,2,AUTHORIZED,RECORDED,USD,5062,2026-01-18 06:18:39
PEV-000000176,TXN-00000061,3,CAPTURED,RECORDED,USD,5062,2026-01-18 06:19:24
PEV-000000177,TXN-00000062,1,INITIATED,RECORDED,USD,6966,2026-02-01 18:08:07
PEV-000000178,TXN-00000062,2,AUTHORIZED,RECORDED,USD,6966,2026-02-01 18:08:52
PEV-000000179,TXN-00000062,3,CAPTURED,RECORDED,USD,6966,2026-02-01 18:09:37
PEV-000000180,TXN-00000063,1,INITIATED,RECORDED,USD,4212,2026-01-13 11:41:43
PEV-000000181,TXN-00000063,2,AUTHORIZED,RECORDED,USD,4212,2026-01-13 11:42:28
PEV-000000182,TXN-00000063,3,CAPTURED,RECORDED,USD,4212,2026-01-13 11:43:13
PEV-000000183,TXN-00000064,1,INITIATED,RECORDED,THB,444,2026-01-31 17:12:26
PEV-000000184,TXN-00000064,2,AUTHORIZED,RECORDED,THB,444,2026-01-31 17:13:11
PEV-000000185,TXN-00000064,3,CAPTURED,RECORDED,THB,444,2026-01-31 17:13:56
PEV-000000186,TXN-00000065,1,INITIATED,RECORDED,SGD,22667,2026-01-09 20:15:16
PEV-000000187,TXN-00000065,2,AUTHORIZED,RECORDED,SGD,22667,2026-01-09 20:16:01
PEV-000000188,TXN-00000065,3,CAPTURED,RECORDED,SGD,22667,2026-01-09 20:16:46
PEV-000000189,TXN-00000066,1,INITIATED,RECORDED,USD,1402,2026-02-17 08:30:51
PEV-000000190,TXN-00000066,2,AUTHORIZED,RECORDED,USD,1402,2026-02-17 08:31:36
PEV-000000191,TXN-00000066,3,CAPTURED,RECORDED,USD,1402,2026-02-17 08:32:21
PEV-000000192,TXN-00000067,1,INITIATED,RECORDED,SGD,1613,2026-02-26 06:49:05
PEV-000000193,TXN-00000067,2,AUTHORIZED,RECORDED,SGD,1613,2026-02-26 06:49:50
PEV-000000194,TXN-00000067,3,CAPTURED,RECORDED,SGD,1613,2026-02-26 06:50:35
PEV-000000195,TXN-00000068,1,INITIATED,RECORDED,THB,4250,2026-01-20 03:15:24
PEV-000000196,TXN-00000068,2,DECLINED,RECORDED,THB,4250,2026-01-20 03:16:09
PEV-000000197,TXN-00000069,1,INITIATED,RECORDED,THB,15440,2026-02-08 08:39:16
PEV-000000198,TXN-00000069,2,AUTHORIZED,RECORDED,THB,15440,2026-02-08 08:40:01
PEV-000000199,TXN-00000069,3,CAPTURED,RECORDED,THB,15440,2026-02-08 08:40:46
PEV-000000200,TXN-00000070,1,INITIATED,RECORDED,THB,2155,2026-02-22 08:47:43
PEV-000000201,TXN-00000070,2,AUTHORIZED,RECORDED,THB,2155,2026-02-22 08:48:28
PEV-000000202,TXN-00000070,3,CAPTURED,RECORDED,THB,2155,2026-02-22 08:49:13
PEV-000000203,TXN-00000071,1,INITIATED,RECORDED,USD,22074,2026-03-01 13:28:26
PEV-000000204,TXN-00000071,2,AUTHORIZED,RECORDED,USD,22074,2026-03-01 13:29:11
PEV-000000205,TXN-00000071,3,CAPTURED,RECORDED,USD,22074,2026-03-01 13:29:56
PEV-000000206,TXN-00000072,1,INITIATED,RECORDED,USD,4655,2026-02-18 20:35:04
PEV-000000207,TXN-00000072,2,AUTHORIZED,RECORDED,USD,4655,2026-02-18 20:35:49
PEV-000000208,TXN-00000072,3,CAPTURED,RECORDED,USD,4655,2026-02-18 20:36:34
PEV-000000209,TXN-00000073,1,INITIATED,RECORDED,THB,4118,2026-02-03 16:42:01
PEV-000000210,TXN-00000073,2,AUTHORIZED,RECORDED,THB,4118,2026-02-03 16:42:46
PEV-000000211,TXN-00000073,3,CAPTURED,RECORDED,THB,4118,2026-02-03 16:43:31
PEV-000000212,TXN-00000074,1,INITIATED,RECORDED,SGD,3788,2026-02-08 03:14:19
PEV-000000213,TXN-00000074,2,AUTHORIZED,RECORDED,SGD,3788,2026-02-08 03:15:04
PEV-000000214,TXN-00000074,3,CAPTURED,RECORDED,SGD,3788,2026-02-08 03:15:49
PEV-000000215,TXN-00000075,1,INITIATED,RECORDED,USD,4641,2026-02-12 20:26:10
PEV-000000216,TXN-00000075,2,AUTHORIZED,RECORDED,USD,4641,2026-02-12 20:26:55
PEV-000000217,TXN-00000075,3,CAPTURED,RECORDED,USD,4641,2026-02-12 20:27:40
PEV-000000218,TXN-00000076,1,INITIATED,RECORDED,SGD,776,2026-02-17 14:52:18
PEV-000000219,TXN-00000076,2,AUTHORIZED,RECORDED,SGD,776,2026-02-17 14:53:03
PEV-000000220,TXN-00000076,3,CAPTURED,RECORDED,SGD,776,2026-02-17 14:53:48
PEV-000000221,TXN-00000077,1,INITIATED,RECORDED,USD,12339,2026-02-07 01:13:35
PEV-000000222,TXN-00000077,2,AUTHORIZED,RECORDED,USD,12339,2026-02-07 01:14:20
PEV-000000223,TXN-00000077,3,CAPTURED,RECORDED,USD,12339,2026-02-07 01:15:05
PEV-000000224,TXN-00000078,1,INITIATED,RECORDED,USD,15075,2026-01-06 20:19:46
PEV-000000225,TXN-00000078,2,AUTHORIZED,RECORDED,USD,15075,2026-01-06 20:20:31
PEV-000000226,TXN-00000078,3,CAPTURED,RECORDED,USD,15075,2026-01-06 20:21:16
PEV-000000227,TXN-00000079,1,INITIATED,RECORDED,SGD,2927,2026-01-12 19:58:59
PEV-000000228,TXN-00000079,2,AUTHORIZED,RECORDED,SGD,2927,2026-01-12 19:59:44
PEV-000000229,TXN-00000079,3,CAPTURED,RECORDED,SGD,2927,2026-01-12 20:00:29
PEV-000000230,TXN-00000080,1,INITIATED,RECORDED,THB,3371,2026-02-14 19:33:38
PEV-000000231,TXN-00000080,2,AUTHORIZED,RECORDED,THB,3371,2026-02-14 19:34:23
PEV-000000232,TXN-00000080,3,CAPTURED,RECORDED,THB,3371,2026-02-14 19:35:08
PEV-000000233,TXN-00000081,1,INITIATED,RECORDED,THB,1902,2026-01-16 07:10:14
PEV-000000234,TXN-00000081,2,AUTHORIZED,RECORDED,THB,1902,2026-01-16 07:10:59
PEV-000000235,TXN-00000081,3,CANCELLED,RECORDED,THB,1902,2026-01-16 07:11:44
PEV-000000236,TXN-00000082,1,INITIATED,RECORDED,SGD,10843,2026-02-06 05:34:36
PEV-000000237,TXN-00000082,2,DECLINED,RECORDED,SGD,10843,2026-02-06 05:35:21
PEV-000000238,TXN-00000083,1,INITIATED,RECORDED,THB,2634,2026-02-11 01:53:06
PEV-000000239,TXN-00000083,2,AUTHORIZED,RECORDED,THB,2634,2026-02-11 01:53:51
PEV-000000240,TXN-00000083,3,CAPTURED,RECORDED,THB,2634,2026-02-11 01:54:36
PEV-000000241,TXN-00000084,1,INITIATED,RECORDED,THB,1022,2026-01-31 02:28:01
PEV-000000242,TXN-00000084,2,AUTHORIZED,RECORDED,THB,1022,2026-01-31 02:28:46
PEV-000000243,TXN-00000084,3,CAPTURED,RECORDED,THB,1022,2026-01-31 02:29:31
PEV-000000244,TXN-00000085,1,INITIATED,RECORDED,SGD,408,2026-03-01 11:02:41
PEV-000000245,TXN-00000085,2,AUTHORIZED,RECORDED,SGD,408,2026-03-01 11:03:26
PEV-000000246,TXN-00000085,3,CANCELLED,RECORDED,SGD,408,2026-03-01 11:04:11
PEV-000000247,TXN-00000086,1,INITIATED,RECORDED,USD,1152,2026-01-19 23:31:35
PEV-000000248,TXN-00000086,2,AUTHORIZED,RECORDED,USD,1152,2026-01-19 23:32:20
PEV-000000249,TXN-00000086,3,CAPTURED,RECORDED,USD,1152,2026-01-19 23:33:05
PEV-000000250,TXN-00000087,1,INITIATED,RECORDED,SGD,9834,2026-02-21 18:58:20
PEV-000000251,TXN-00000087,2,AUTHORIZED,RECORDED,SGD,9834,2026-02-21 18:59:05
PEV-000000252,TXN-00000087,3,CAPTURED,RECORDED,SGD,9834,2026-02-21 18:59:50
PEV-000000253,TXN-00000088,1,INITIATED,RECORDED,THB,7067,2026-01-04 20:59:27
PEV-000000254,TXN-00000088,2,AUTHORIZED,RECORDED,THB,7067,2026-01-04 21:00:12
PEV-000000255,TXN-00000088,3,CANCELLED,RECORDED,THB,7067,2026-01-04 21:00:57
PEV-000000256,TXN-00000089,1,INITIATED,RECORDED,USD,4456,2026-01-15 22:04:52
PEV-000000257,TXN-00000089,2,AUTHORIZED,RECORDED,USD,4456,2026-01-15 22:05:37
PEV-000000258,TXN-00000090,1,INITIATED,RECORDED,SGD,3193,2026-02-10 15:52:17
PEV-000000259,TXN-00000090,2,AUTHORIZED,RECORDED,SGD,3193,2026-02-10 15:53:02
PEV-000000260,TXN-00000090,3,CAPTURED,RECORDED,SGD,3193,2026-02-10 15:53:47
PEV-000000261,TXN-00000091,1,INITIATED,RECORDED,USD,5742,2026-03-01 01:11:47
PEV-000000262,TXN-00000091,2,AUTHORIZED,RECORDED,USD,5742,2026-03-01 01:12:32
PEV-000000263,TXN-00000091,3,CAPTURED,RECORDED,USD,5742,2026-03-01 01:13:17
PEV-000000264,TXN-00000092,1,INITIATED,RECORDED,THB,3596,2026-01-05 01:07:01
PEV-000000265,TXN-00000092,2,AUTHORIZED,RECORDED,THB,3596,2026-01-05 01:07:46
PEV-000000266,TXN-00000092,3,CAPTURED,RECORDED,THB,3596,2026-01-05 01:08:31
PEV-000000267,TXN-00000093,1,INITIATED,RECORDED,SGD,4811,2026-01-26 20:28:57
PEV-000000268,TXN-00000093,2,AUTHORIZED,RECORDED,SGD,4811,2026-01-26 20:29:42
PEV-000000269,TXN-00000094,1,INITIATED,RECORDED,THB,4619,2026-02-27 16:53:09
PEV-000000270,TXN-00000094,2,AUTHORIZED,RECORDED,THB,4619,2026-02-27 16:53:54
PEV-000000271,TXN-00000094,3,CAPTURED,RECORDED,THB,4619,2026-02-27 16:54:39
PEV-000000272,TXN-00000095,1,INITIATED,RECORDED,SGD,12339,2026-02-19 17:50:11
PEV-000000273,TXN-00000095,2,AUTHORIZED,RECORDED,SGD,12339,2026-02-19 17:50:56
PEV-000000274,TXN-00000095,3,CAPTURED,RECORDED,SGD,12339,2026-02-19 17:51:41
PEV-000000275,TXN-00000096,1,INITIATED,RECORDED,THB,2600,2026-02-09 10:14:10
