customer_id,customer_token,risk_tier,segment,country_code,created_at
CUS-000065,SYN-CUSTOMER-000065,LOW,RETAIL,SG,2025-06-28 00:00:00
CUS-000066,SYN-CUSTOMER-000066,MEDIUM,RETAIL,TH,2025-08-22 00:00:00
CUS-000067,SYN-CUSTOMER-000067,MEDIUM,SME_OWNER,SG,2025-06-15 00:00:00
CUS-000068,SYN-CUSTOMER-000068,LOW,RETAIL,TH,2025-06-28 00:00:00
CUS-000069,SYN-CUSTOMER-000069,LOW,PREMIUM,US,2025-10-02 00:00:00
CUS-000070,SYN-CUSTOMER-000070,LOW,SME_OWNER,TH,2025-08-30 00:00:00
CUS-000071,SYN-CUSTOMER-000071,LOW,RETAIL,TH,2025-09-05 00:00:00
CUS-000072,SYN-CUSTOMER-000072,MEDIUM,RETAIL,SG,2025-06-18 00:00:00
CUS-000073,SYN-CUSTOMER-000073,LOW,RETAIL,TH,2025-04-19 00:00:00
CUS-000074,SYN-CUSTOMER-000074,LOW,RETAIL,TH,2025-07-09 00:00:00
CUS-000075,SYN-CUSTOMER-000075,MEDIUM,PREMIUM,TH,2025-03-06 00:00:00
CUS-000076,SYN-CUSTOMER-000076,LOW,RETAIL,SG,2025-07-08 00:00:00
CUS-000077,SYN-CUSTOMER-000077,LOW,PREMIUM,US,2025-05-02 00:00:00
CUS-000078,SYN-CUSTOMER-000078,LOW,RETAIL,US,2025-01-05 00:00:00
CUS-000079,SYN-CUSTOMER-000079,LOW,RETAIL,SG,2025-09-18 00:00:00
CUS-000080,SYN-CUSTOMER-000080,LOW,RETAIL,TH,2025-11-24 00:00:00
CUS-000081,SYN-CUSTOMER-000081,HIGH,RETAIL,TH,2025-04-27 00:00:00
CUS-000082,SYN-CUSTOMER-000082,LOW,RETAIL,TH,2025-08-15 00:00:00
CUS-000083,SYN-CUSTOMER-000083,LOW,PREMIUM,SG,2025-05-04 00:00:00
CUS-000084,SYN-CUSTOMER-000084,LOW,SME_OWNER,SG,2025-11-15 00:00:00
CUS-000085,SYN-CUSTOMER-000085,LOW,RETAIL,TH,2025-03-30 00:00:00
CUS-000086,SYN-CUSTOMER-000086,MEDIUM,RETAIL,TH,2025-11-14 00:00:00
CUS-000087,SYN-CUSTOMER-000087,HIGH,RETAIL,TH,2025-05-09 00:00:00
CUS-000088,SYN-CUSTOMER-000088,MEDIUM,RETAIL,TH,2025-04-23 00:00:00
CUS-000089,SYN-CUSTOMER-000089,LOW,RETAIL,SG,2025-04-10 00:00:00
CUS-000090,SYN-CUSTOMER-000090,MEDIUM,RETAIL,US,2025-02-16 00:00:00
CUS-000091,SYN-CUSTOMER-000091,MEDIUM,SME_OWNER,TH,2025-01-15 00:00:00
CUS-000092,SYN-CUSTOMER-000092,LOW,RETAIL,TH,2025-01-30 00:00:00
CUS-000093,SYN-CUSTOMER-000093,LOW,RETAIL,US,2025-05-30 00:00:00
CUS-000094,SYN-CUSTOMER-000094,HIGH,RETAIL,US,2025-10-18 00:00:00
CUS-000095,SYN-CUSTOMER-000095,LOW,PREMIUM,TH,2025-08-28 00:00:00
CUS-000096,SYN-CUSTOMER-000096,MEDIUM,RETAIL,TH,2025-07-14 00:00:00
CUS-000097,SYN-CUSTOMER-000097,LOW,SME_OWNER,US,2025-08-18 00:00:00
CUS-000098,SYN-CUSTOMER-000098,MEDIUM,RETAIL,TH,2025-06-26 00:00:00
CUS-000099,SYN-CUSTOMER-000099,LOW,RETAIL,SG,2025-04-22 00:00:00
CUS-000100,SYN-CUSTOMER-000100,LOW,RETAIL,US,2025-07-04 00:00:00
CUS-000101,SYN-CUSTOMER-000101,LOW,SME_OWNER,TH,2025-05-14 00:00:00
CUS-000102,SYN-CUSTOMER-000102,MEDIUM,RETAIL,TH,2025-01-06 00:00:00
CUS-000103,SYN-CUSTOMER-000103,LOW,RETAIL,US,2025-07-19 00:00:00
CUS-000104,SYN-CUSTOMER-000104,MEDIUM,RETAIL,TH,2025-04-09 00:00:00
CUS-000105,SYN-CUSTOMER-000105,MEDIUM,RETAIL,SG,2025-08-30 00:00:00
CUS-000106,SYN-CUSTOMER-000106,LOW,RETAIL,SG,2025-03-08 00:00:00
CUS-000107,SYN-CUSTOMER-000107,LOW,RETAIL,TH,2025-02-02 00:00:00
CUS-000108,SYN-CUSTOMER-000108,LOW,SME_OWNER,SG,2025-07-07 00:00:00
CUS-000109,SYN-CUSTOMER-000109,LOW,PREMIUM,SG,2025-03-26 00:00:00
CUS-000110,SYN-CUSTOMER-000110,LOW,RETAIL,SG,2025-08-10 00:00:00
CUS-000111,SYN-CUSTOMER-000111,LOW,RETAIL,TH,2025-06-29 00:00:00
CUS-000112,SYN-CUSTOMER-000112,LOW,RETAIL,TH,2025-01-14 00:00:00
CUS-000113,SYN-CUSTOMER-000113,LOW,PREMIUM,TH,2025-04-16 00:00:00
CUS-000114,SYN-CUSTOMER-000114,MEDIUM,RETAIL,TH,2025-06-22 00:00:00
CUS-000115,SYN-CUSTOMER-000115,MEDIUM,RETAIL,TH,2025-06-27 00:00:00
CUS-000116,SYN-CUSTOMER-000116,LOW,RETAIL,TH,2025-06-30 00:00:00
CUS-000117,SYN-CUSTOMER-000117,LOW,PREMIUM,TH,2025-01-21 00:00:00
CUS-000118,SYN-CUSTOMER-000118,LOW,RETAIL,TH,2025-06-21 00:00:00
CUS-000119,SYN-CUSTOMER-000119,LOW,SME_OWNER,TH,2025-02-09 00:00:00
CUS-000120,SYN-CUSTOMER-000120,MEDIUM,RETAIL,US,2025-06-24 00:00:00
CUS-000121,SYN-CUSTOMER-000121,LOW,PREMIUM,SG,2025-11-22 00:00:00
CUS-000122,SYN-CUSTOMER-000122,LOW,RETAIL,TH,2025-06-11 00:00:00
CUS-000123,SYN-CUSTOMER-000123,LOW,SME_OWNER,TH,2025-09-22 00:00:00
CUS-000124,SYN-CUSTOMER-000124,LOW,RETAIL,TH,2025-11-28 00:00:00
CUS-000125,SYN-CUSTOMER-000125,LOW,SME_OWNER,US,2025-07-11 00:00:00
CUS-000126,SYN-CUSTOMER-000126,LOW,PREMIUM,TH,2025-01-15 00:00:00
CUS-000127,SYN-CUSTOMER-000127,LOW,RETAIL,TH,2025-01-23 00:00:00
CUS-000128,SYN-CUSTOMER-000128,LOW,SME_OWNER,TH,2025-06-21 00:00:00
CUS-000129,SYN-CUSTOMER-000129,LOW,RETAIL,TH,2025-09-21 00:00:00
CUS-000130,SYN-CUSTOMER-000130,LOW,RETAIL,SG,2025-02-17 00:00:00
CUS-000131,SYN-CUSTOMER-000131,MEDIUM,RETAIL,TH,2025-03-05 00:00:00
CUS-000132,SYN-CUSTOMER-000132,HIGH,RETAIL,SG,2025-07-03 00:00:00
CUS-000133,SYN-CUSTOMER-000133,LOW,RETAIL,SG,2025-10-22 00:00:00
CUS-000134,SYN-CUSTOMER-000134,LOW,RETAIL,US,2025-02-28 00:00:00
CUS-000135,SYN-CUSTOMER-000135,LOW,RETAIL,TH,2025-03-08 00:00:00
CUS-000136,SYN-CUSTOMER-000136,MEDIUM,RETAIL,TH,2025-03-29 00:00:00
CUS-000137,SYN-CUSTOMER-000137,LOW,SME_OWNER,TH,2025-02-01 00:00:00
CUS-000138,SYN-CUSTOMER-000138,MEDIUM,RETAIL,TH,2025-05-17 00:00:00
CUS-000139,SYN-CUSTOMER-000139,LOW,RETAIL,TH,2025-01-12 00:00:00
CUS-000140,SYN-CUSTOMER-000140,LOW,RETAIL,TH,2025-11-04 00:00:00
CUS-000141,SYN-CUSTOMER-000141,LOW,RETAIL,TH,2025-05-03 00:00:00
CUS-000142,SYN-CUSTOMER-000142,LOW,RETAIL,TH,2025-01-18 00:00:00
CUS-000143,SYN-CUSTOMER-000143,LOW,RETAIL,US,2025-11-13 00:00:00
CUS-000144,SYN-CUSTOMER-000144,LOW,RETAIL,TH,2025-07-11 00:00:00
CUS-000145,SYN-CUSTOMER-000145,LOW,RETAIL,US,2025-06-20 00:00:00
CUS-000146,SYN-CUSTOMER-000146,MEDIUM,RETAIL,SG,2025-09-10 00:00:00
CUS-000147,SYN-CUSTOMER-000147,LOW,RETAIL,US,2025-01-19 00:00:00
CUS-000148,SYN-CUSTOMER-000148,LOW,RETAIL,TH,2025-11-08 00:00:00
CUS-000149,SYN-CUSTOMER-000149,LOW,RETAIL,TH,2025-08-02 00:00:00
CUS-000150,SYN-CUSTOMER-000150,LOW,RETAIL,TH,2025-08-01 00:00:00
CUS-000151,SYN-CUSTOMER-000151,LOW,RETAIL,TH,2025-10-30 00:00:00
CUS-000152,SYN-CUSTOMER-000152,LOW,RETAIL,SG,2025-10-09 00:00:00
CUS-000153,SYN-CUSTOMER-000153,LOW,SME_OWNER,SG,2025-07-23 00:00:00
CUS-000154,SYN-CUSTOMER-000154,LOW,RETAIL,TH,2025-10-17 00:00:00
CUS-000155,SYN-CUSTOMER-000155,LOW,PREMIUM,TH,2025-07-24 00:00:00
CUS-000156,SYN-CUSTOMER-000156,MEDIUM,SME_OWNER,TH,2025-10-08 00:00:00
CUS-000157,SYN-CUSTOMER-000157,LOW,SME_OWNER,TH,2025-05-25 00:00:00
CUS-000158,SYN-CUSTOMER-000158,MEDIUM,RETAIL,TH,2025-03-14 00:00:00
CUS-000159,SYN-CUSTOMER-000159,MEDIUM,RETAIL,TH,2025-10-01 00:00:00
CUS-000160,SYN-CUSTOMER-000160,LOW,RETAIL,TH,2025-06-29 00:00:00
CUS-000161,SYN-CUSTOMER-000161,MEDIUM,RETAIL,US,2025-06-13 00:00:00
CUS-000162,SYN-CUSTOMER-000162,LOW,RETAIL,TH,2025-01-03 00:00:00
CUS-000163,SYN-CUSTOMER-000163,MEDIUM,RETAIL,SG,2025-05-17 00:00:00
CUS-000164,SYN-CUSTOMER-000164,MEDIUM,RETAIL,TH,2025-06-11 00:00:00
CUS-000165,SYN-CUSTOMER-000165,LOW,RETAIL,TH,2025-07-02 00:00:00
CUS-000166,SYN-CUSTOMER-000166,LOW,PREMIUM,TH,2025-01-22 00:00:00
CUS-000167,SYN-CUSTOMER-000167,LOW,RETAIL,TH,2025-08-13 00:00:00
CUS-000168,SYN-CUSTOMER-000168,LOW,SME_OWNER,TH,2025-10-03 00:00:00
CUS-000169,SYN-CUSTOMER-000169,LOW,RETAIL,TH,2025-08-27 00:00:00
CUS-000170,SYN-CUSTOMER-000170,MEDIUM,RETAIL,TH,2025-08-26 00:00:00
CUS-000171,SYN-CUSTOMER-000171,LOW,RETAIL,TH,2025-02-18 00:00:00
CUS-000172,SYN-CUSTOMER-000172,MEDIUM,RETAIL,TH,2025-03-02 00:00:00
CUS-000173,SYN-CUSTOMER-000173,LOW,RETAIL,TH,2025-08-05 00:00:00
CUS-000174,SYN-CUSTOMER-000174,LOW,RETAIL,TH,2025-02-04 00:00:00
CUS-000175,SYN-CUSTOMER-000175,LOW,RETAIL,SG,2025-08-09 00:00:00
CUS-000176,SYN-CUSTOMER-000176,MEDIUM,RETAIL,TH,2025-09-07 00:00:00
CUS-000177,SYN-CUSTOMER-000177,MEDIUM,RETAIL,TH,2025-11-09 00:00:00
CUS-000178,SYN-CUSTOMER-000178,LOW,RETAIL,US,2025-05-19 00:00:00
CUS-000179,SYN-CUSTOMER-000179,MEDIUM,RETAIL,SG,2025-05-18 00:00:00
CUS-000180,SYN-CUSTOMER-000180,LOW,RETAIL,SG,2025-06-04 00:00:00
CUS-000181,SYN-CUSTOMER-000181,LOW,RETAIL,TH,2025-08-11 00:00:00
CUS-000182,SYN-CUSTOMER-000182,LOW,RETAIL,TH,2025-02-17 00:00:00
CUS-000183,SYN-CUSTOMER-000183,LOW,RETAIL,TH,2025-06-12 00:00:00
CUS-000184,SYN-CUSTOMER-000184,LOW,PREMIUM,TH,2025-03-22 00:00:00
CUS-000185,SYN-CUSTOMER-000185,LOW,RETAIL,TH,2025-01-15 00:00:00
CUS-000186,SYN-CUSTOMER-000186,MEDIUM,RETAIL,TH,2025-05-03 00:00:00
CUS-000187,SYN-CUSTOMER-000187,LOW,RETAIL,US,2025-11-29 00:00:00
CUS-000188,SYN-CUSTOMER-000188,LOW,RETAIL,TH,2025-09-03 00:00:00
CUS-000189,SYN-CUSTOMER-000189,LOW,RETAIL,US,2025-06-22 00:00:00
CUS-000190,SYN-CUSTOMER-000190,LOW,RETAIL,TH,2025-05-29 00:00:00
CUS-000191,SYN-CUSTOMER-000191,LOW,SME_OWNER,TH,2025-08-15 00:00:00
CUS-000192,SYN-CUSTOMER-000192,LOW,RETAIL,TH,2025-06-30 00:00:00
CUS-000193,SYN-CUSTOMER-000193,LOW,RETAIL,TH,2025-09-03 00:00:00
CUS-000194,SYN-CUSTOMER-000194,LOW,RETAIL,US,2025-04-09 00:00:00
CUS-000195,SYN-CUSTOMER-000195,MEDIUM,RETAIL,TH,2025-08-17 00:00:00
CUS-000196,SYN-CUSTOMER-000196,LOW,RETAIL,TH,2025-05-11 00:00:00
CUS-000197,SYN-CUSTOMER-000197,MEDIUM,RETAIL,TH,2025-10-02 00:00:00
CUS-000198,SYN-CUSTOMER-000198,LOW,RETAIL,TH,2025-03-07 00:00:00
CUS-000199,SYN-CUSTOMER-000199,LOW,SME_OWNER,TH,2025-09-08 00:00:00
CUS-000200,SYN-CUSTOMER-000200,LOW,RETAIL,TH,2025-01-26 00:00:00
CUS-000201,SYN-CUSTOMER-000201,MEDIUM,RETAIL,TH,2025-08-18 00:00:00
CUS-000202,SYN-CUSTOMER-000202,MEDIUM,RETAIL,SG,2025-05-27 00:00:00
CUS-000203,SYN-CUSTOMER-000203,LOW,RETAIL,TH,2025-04-28 00:00:00
CUS-000204,SYN-CUSTOMER-000204,LOW,RETAIL,TH,2025-06-11 00:00:00
CUS-000205,SYN-CUSTOMER-000205,LOW,RETAIL,US,2025-09-08 00:00:00
CUS-000206,SYN-CUSTOMER-000206,MEDIUM,RETAIL,TH,2025-10-17 00:00:00
CUS-000207,SYN-CUSTOMER-000207,LOW,RETAIL,TH,2025-02-06 00:00:00
CUS-000208,SYN-CUSTOMER-000208,LOW,RETAIL,TH,2025-06-10 00:00:00
CUS-000209,SYN-CUSTOMER-000209,MEDIUM,RETAIL,TH,2025-09-25 00:00:00
CUS-000210,SYN-CUSTOMER-000210,MEDIUM,RETAIL,TH,2025-06-19 00:00:00
CUS-000211,SYN-CUSTOMER-000211,MEDIUM,RETAIL,TH,2025-02-27 00:00:00
CUS-000212,SYN-CUSTOMER-000212,MEDIUM,RETAIL,TH,2025-06-04 00:00:00
CUS-000213,SYN-CUSTOMER-000213,LOW,RETAIL,TH,2025-07-12 00:00:00
CUS-000214,SYN-CUSTOMER-000214,LOW,RETAIL,TH,2025-11-25 00:00:00
CUS-000215,SYN-CUSTOMER-000215,LOW,RETAIL,SG,2025-11-03 00:00:00
CUS-000216,SYN-CUSTOMER-000216,LOW,RETAIL,SG,2025-09-12 00:00:00
CUS-000217,SYN-CUSTOMER-000217,LOW,PREMIUM,US,2025-09-22 00:00:00
CUS-000218,SYN-CUSTOMER-000218,LOW,PREMIUM,TH,2025-05-03 00:00:00
CUS-000219,SYN-CUSTOMER-000219,LOW,RETAIL,SG,2025-11-05 00:00:00
CUS-000220,SYN-CUSTOMER-000220,LOW,SME_OWNER,TH,2025-08-10 00:00:00
CUS-000221,SYN-CUSTOMER-000221,LOW,RETAIL,TH,2025-08-12 00:00:00
CUS-000222,SYN-CUSTOMER-000222,LOW,PREMIUM,TH,2025-09-24 00:00:00
CUS-000223,SYN-CUSTOMER-000223,MEDIUM,PREMIUM,TH,2025-07-29 00:00:00
CUS-000224,SYN-CUSTOMER-000224,LOW,RETAIL,SG,2025-11-17 00:00:00
CUS-000225,SYN-CUSTOMER-000225,LOW,RETAIL,TH,2025-10-31 00:00:00
CUS-000226,SYN-CUSTOMER-000226,LOW,PREMIUM,TH,2025-09-30 00:00:00
CUS-000227,SYN-CUSTOMER-000227,LOW,RETAIL,TH,2025-02-26 00:00:00
CUS-000228,SYN-CUSTOMER-000228,LOW,RETAIL,TH,2025-08-25 00:00:00
CUS-000229,SYN-CUSTOMER-000229,LOW,RETAIL,SG,2025-09-03 00:00:00
CUS-000230,SYN-CUSTOMER-000230,MEDIUM,SME_OWNER,SG,2025-09-28 00:00:00
CUS-000231,SYN-CUSTOMER-000231,LOW,RETAIL,TH,2025-08-01 00:00:00
CUS-000232,SYN-CUSTOMER-000232,LOW,SME_OWNER,TH,2025-12-01 00:00:00
CUS-000233,SYN-CUSTOMER-000233,LOW,RETAIL,TH,2025-10-03 00:00:00
CUS-000234,SYN-CUSTOMER-000234,LOW,RETAIL,TH,2025-03-28 00:00:00
CUS-000235,SYN-CUSTOMER-000235,MEDIUM,PREMIUM,TH,2025-01-02 00:00:00
CUS-000236,SYN-CUSTOMER-000236,LOW,RETAIL,TH,2025-03-07 00:00:00
CUS-000237,SYN-CUSTOMER-000237,LOW,RETAIL,TH,2025-08-31 00:00:00
CUS-000238,SYN-CUSTOMER-000238,LOW,PREMIUM,TH,2025-05-16 00:00:00
CUS-000239,SYN-CUSTOMER-000239,LOW,RETAIL,TH,2025-07-01 00:00:00
CUS-000240,SYN-CUSTOMER-000240,LOW,SME_OWNER,TH,2025-05-11 00:00:00
CUS-000241,SYN-CUSTOMER-000241,LOW,RETAIL,TH,2025-02-08 00:00:00
CUS-000242,SYN-CUSTOMER-000242,MEDIUM,PREMIUM,TH,2025-04-10 00:00:00
CUS-000243,SYN-CUSTOMER-000243,LOW,RETAIL,TH,2025-05-22 00:00:00
CUS-000244,SYN-CUSTOMER-000244,MEDIUM,RETAIL,TH,2025-03-14 00:00:00
CUS-000245,SYN-CUSTOMER-000245,LOW,RETAIL,TH,2025-04-22 00:00:00
CUS-000246,SYN-CUSTOMER-000246,MEDIUM,RETAIL,SG,2025-11-01 00:00:00
CUS-000247,SYN-CUSTOMER-000247,LOW,RETAIL,TH,2025-03-24 00:00:00
CUS-000248,SYN-CUSTOMER-000248,LOW,SME_OWNER,SG,2025-03-02 00:00:00
CUS-000249,SYN-CUSTOMER-000249,LOW,RETAIL,TH,2025-09-11 00:00:00
CUS-000250,SYN-CUSTOMER-000250,MEDIUM,PREMIUM,US,2025-01-24 00:00:00
CUS-000251,SYN-CUSTOMER-000251,MEDIUM,RETAIL,TH,2025-02-22 00:00:00
CUS-000252,SYN-CUSTOMER-000252,HIGH,RETAIL,SG,2025-03-25 00:00:00
CUS-000253,SYN-CUSTOMER-000253,LOW,RETAIL,SG,2025-08-11 00:00:00
CUS-000254,SYN-CUSTOMER-000254,LOW,PREMIUM,SG,2025-04-03 00:00:00
CUS-000255,SYN-CUSTOMER-000255,LOW,RETAIL,SG,2025-09-02 00:00:00
CUS-000256,SYN-CUSTOMER-000256,HIGH,RETAIL,TH,2025-07-12 00:00:00
CUS-000257,SYN-CUSTOMER-000257,LOW,RETAIL,TH,2025-09-14 00:00:00
CUS-000258,SYN-CUSTOMER-000258,LOW,RETAIL,SG,2025-01-19 00:00:00
CUS-000259,SYN-CUSTOMER-000259,LOW,RETAIL,TH,2025-05-06 00:00:00
CUS-000260,SYN-CUSTOMER-000260,MEDIUM,RETAIL,TH,2025-06-18 00:00:00
CUS-000261,SYN-CUSTOMER-000261,LOW,RETAIL,TH,2025-09-16 00:00:00
CUS-000262,SYN-CUSTOMER-000262,MEDIUM,RETAIL,TH,2025-05-21 00:00:00
CUS-000263,SYN-CUSTOMER-000263,HIGH,RETAIL,TH,2025-02-18 00:00:00
CUS-000264,SYN-CUSTOMER-000264,LOW,SME_OWNER,TH,2025-09-27 00:00:00
CUS-000265,SYN-CUSTOMER-000265,LOW,PREMIUM,TH,2025-01-28 00:00:00
CUS-000266,SYN-CUSTOMER-000266,MEDIUM,RETAIL,TH,2025-04-18 00:00:00
CUS-000267,SYN-CUSTOMER-000267,MEDIUM,RETAIL,SG,2025-06-02 00:00:00
CUS-000268,SYN-CUSTOMER-000268,LOW,SME_OWNER,TH,2025-03-05 00:00:00
CUS-000269,SYN-CUSTOMER-000269,LOW,RETAIL,SG,2025-06-29 00:00:00
CUS-000270,SYN-CUSTOMER-000270,MEDIUM,RETAIL,TH,2025-01-05 00:00:00
CUS-000271,SYN-CUSTOMER-000271,LOW,RETAIL,TH,2025-05-18 00:00:00
CUS-000272,SYN-CUSTOMER-000272,LOW,RETAIL,TH,2025-03-12 00:00:00
CUS-000273,SYN-CUSTOMER-000273,MEDIUM,RETAIL,TH,2025-09-28 00:00:00
CUS-000274,SYN-CUSTOMER-000274,MEDIUM,RETAIL,SG,2025-03-13 00:00:00
CUS-000275,SYN-CUSTOMER-000275,MEDIUM,RETAIL,TH,2025-01-14 00:00:00
CUS-000276,SYN-CUSTOMER-000276,LOW,RETAIL,TH,2025-02-04 00:00:00
CUS-000277,SYN-CUSTOMER-000277,HIGH,SME_OWNER,TH,2025-09-12 00:00:00
CUS-000278,SYN-CUSTOMER-000278,LOW,RETAIL,TH,2025-06-28 00:00:00
CUS-000279,SYN-CUSTOMER-000279,MEDIUM,SME_OWNER,TH,2025-01-03 00:00:00
CUS-000280,SYN-CUSTOMER-000280,MEDIUM,RETAIL,US,2025-03-05 00:00:00
CUS-000281,SYN-CUSTOMER-000281,MEDIUM,RETAIL,TH,2025-08-14 00:00:00
CUS-000282,SYN-CUSTOMER-000282,MEDIUM,SME_OWNER,US,2025-10-23 00:00:00
CUS-000283,SYN-CUSTOMER-000283,LOW,RETAIL,TH,2025-07-04 00:00:00
