reversal_id,transaction_id,currency,reversal_amount_minor,reason_code,status,created_at
REV-0000023,TXN-00004758,SGD,1010,POST_AUTH_REVERSAL,COMPLETED,2026-01-30 00:03:29
REV-0000024,TXN-00002463,SGD,6851,NETWORK_RECOVERY,COMPLETED,2026-02-20 01:07:05
REV-0000025,TXN-00004840,USD,2025,NETWORK_RECOVERY,COMPLETED,2026-02-15 22:14:08
REV-0000026,TXN-00000605,SGD,16030,DUPLICATE_RECOVERY,COMPLETED,2026-02-09 11:59:03
REV-0000027,TXN-00000919,USD,5753,DUPLICATE_RECOVERY,COMPLETED,2026-02-20 19:15:10
REV-0000028,TXN-00001412,USD,3733,POST_AUTH_REVERSAL,COMPLETED,2026-01-23 18:34:31
REV-0000029,TXN-00003240,THB,6313,NETWORK_RECOVERY,COMPLETED,2026-01-20 07:19:46
REV-0000030,TXN-00004474,THB,1646,POST_AUTH_REVERSAL,COMPLETED,2026-01-31 00:07:08
REV-0000031,TXN-00004431,USD,969,NETWORK_RECOVERY,COMPLETED,2026-02-19 06:04:51
REV-0000032,TXN-00001937,THB,10605,POST_AUTH_REVERSAL,COMPLETED,2026-02-12 20:11:54
REV-0000033,TXN-00003137,USD,8291,DUPLICATE_RECOVERY,COMPLETED,2026-01-07 14:03:44
REV-0000034,TXN-00003324,USD,2909,NETWORK_RECOVERY,COMPLETED,2026-02-19 16:58:51
REV-0000035,TXN-00000408,THB,1852,NETWORK_RECOVERY,COMPLETED,2026-02-16 07:47:29
REV-0000036,TXN-00003065,SGD,658,DUPLICATE_RECOVERY,COMPLETED,2026-02-05 00:53:54
REV-0000037,TXN-00003640,USD,2600,POST_AUTH_REVERSAL,COMPLETED,2026-01-28 16:40:01
REV-0000038,TXN-00001870,SGD,5458,DUPLICATE_RECOVERY,COMPLETED,2026-02-22 06:39:05
REV-0000039,TXN-00002715,THB,3532,DUPLICATE_RECOVERY,COMPLETED,2026-01-09 13:42:48
REV-0000040,TXN-00000638,THB,11565,POST_AUTH_REVERSAL,COMPLETED,2026-01-11 17:38:35
REV-0000041,TXN-00004756,USD,2607,NETWORK_RECOVERY,COMPLETED,2026-02-08 06:04:36
REV-0000042,TXN-00001301,SGD,3002,DUPLICATE_RECOVERY,COMPLETED,2026-01-29 20:11:13
REV-0000043,TXN-00004129,SGD,1526,NETWORK_RECOVERY,COMPLETED,2026-02-17 16:46:57
REV-0000044,TXN-00002148,THB,2900,POST_AUTH_REVERSAL,COMPLETED,2026-02-22 14:52:33
REV-0000045,TXN-00003472,SGD,17593,NETWORK_RECOVERY,COMPLETED,2026-02-07 22:43:01
REV-0000046,TXN-00003123,USD,17099,NETWORK_RECOVERY,COMPLETED,2026-02-22 19:57:13
REV-0000047,TXN-00001244,SGD,8713,DUPLICATE_RECOVERY,COMPLETED,2026-02-22 07:35:04
REV-0000048,TXN-00002360,THB,4502,POST_AUTH_REVERSAL,COMPLETED,2026-02-09 01:33:40
REV-0000049,TXN-00000013,SGD,2227,DUPLICATE_RECOVERY,COMPLETED,2026-02-12 10:47:38
REV-0000050,TXN-00000953,THB,5567,DUPLICATE_RECOVERY,COMPLETED,2026-01-13 16:56:20
REV-0000051,TXN-00002117,THB,1431,POST_AUTH_REVERSAL,COMPLETED,2026-02-16 22:25:18
REV-0000052,TXN-00004909,THB,2638,POST_AUTH_REVERSAL,COMPLETED,2026-02-04 06:33:28
REV-0000053,TXN-00003314,USD,9315,POST_AUTH_REVERSAL,COMPLETED,2026-02-16 18:31:01
REV-0000054,TXN-00000814,USD,5610,POST_AUTH_REVERSAL,COMPLETED,2026-01-12 15:02:35
REV-0000055,TXN-00004305,SGD,2811,POST_AUTH_REVERSAL,COMPLETED,2026-01-18 23:22:45
REV-0000056,TXN-00004576,SGD,10528,DUPLICATE_RECOVERY,COMPLETED,2026-01-13 04:50:49
REV-0000057,TXN-00000547,USD,11576,POST_AUTH_REVERSAL,COMPLETED,2026-01-11 08:33:46
REV-0000058,TXN-00000467,SGD,10500,NETWORK_RECOVERY,COMPLETED,2026-01-03 08:53:24
REV-0000059,TXN-00001197,THB,4868,POST_AUTH_REVERSAL,COMPLETED,2026-01-16 18:29:01
REV-0000060,TXN-00001685,USD,5905,NETWORK_RECOVERY,COMPLETED,2026-02-14 21:38:38
REV-0000061,TXN-00002605,THB,935,POST_AUTH_REVERSAL,COMPLETED,2026-01-12 22:16:11
REV-0000062,TXN-00004320,THB,1570,NETWORK_RECOVERY,COMPLETED,2026-01-20 23:18:45
REV-0000063,TXN-00003486,SGD,2120,NETWORK_RECOVERY,COMPLETED,2026-01-12 16:44:06
REV-0000064,TXN-00001220,SGD,16354,DUPLICATE_RECOVERY,COMPLETED,2026-02-02 11:23:26
REV-0000065,TXN-00002221,USD,7814,DUPLICATE_RECOVERY,COMPLETED,2026-01-27 15:52:29
REV-0000066,TXN-00003501,SGD,16266,DUPLICATE_RECOVERY,COMPLETED,2026-01-29 22:23:50
REV-0000067,TXN-00001211,USD,9806,POST_AUTH_REVERSAL,COMPLETED,2026-01-28 17:21:16
REV-0000068,TXN-00000770,SGD,3172,NETWORK_RECOVERY,COMPLETED,2026-01-23 12:46:02
REV-0000069,TXN-00000223,THB,7313,POST_AUTH_REVERSAL,COMPLETED,2026-01-27 16:42:47
REV-0000070,TXN-00002719,SGD,4654,NETWORK_RECOVERY,COMPLETED,2026-02-11 10:04:52
REV-0000071,TXN-00003439,SGD,7698,DUPLICATE_RECOVERY,COMPLETED,2026-01-20 04:38:56
REV-0000072,TXN-00003851,SGD,624,DUPLICATE_RECOVERY,COMPLETED,2026-01-31 14:30:16
REV-0000073,TXN-00003626,THB,1141,POST_AUTH_REVERSAL,COMPLETED,2026-01-12 17:50:12
REV-0000074,TXN-00002210,USD,5389,NETWORK_RECOVERY,COMPLETED,2026-02-17 11:35:59
REV-0000075,TXN-00002759,THB,7948,NETWORK_RECOVERY,COMPLETED,2026-02-08 11:36:53
REV-0000076,TXN-00000482,SGD,2545,DUPLICATE_RECOVERY,COMPLETED,2026-02-15 00:14:18
REV-0000077,TXN-00000776,THB,38011,NETWORK_RECOVERY,COMPLETED,2026-02-01 00:26:28
REV-0000078,TXN-00000197,SGD,7507,NETWORK_RECOVERY,COMPLETED,2026-01-27 15:37:49
REV-0000079,TXN-00001970,SGD,11266,POST_AUTH_REVERSAL,COMPLETED,2026-02-13 19:54:56
REV-0000080,TXN-00004436,SGD,1547,POST_AUTH_REVERSAL,COMPLETED,2026-01-14 09:42:17
REV-0000081,TXN-00004477,USD,5006,NETWORK_RECOVERY,COMPLETED,2026-02-18 22:23:24
REV-0000082,TXN-00004455,SGD,2446,POST_AUTH_REVERSAL,COMPLETED,2026-01-15 01:17:27
REV-0000083,TXN-00001047,USD,5178,NETWORK_RECOVERY,COMPLETED,2026-02-14 07:06:11
REV-0000084,TXN-00002645,SGD,4006,NETWORK_RECOVERY,COMPLETED,2026-02-16 14:12:18
REV-0000085,TXN-00002228,SGD,5442,DUPLICATE_RECOVERY,COMPLETED,2026-01-12 08:18:02
REV-0000086,TXN-00002323,THB,2578,POST_AUTH_REVERSAL,COMPLETED,2026-03-03 15:08:14
REV-0000087,TXN-00002285,THB,5453,DUPLICATE_RECOVERY,COMPLETED,2026-01-15 08:23:34
REV-0000088,TXN-00004526,USD,5204,POST_AUTH_REVERSAL,COMPLETED,2026-01-15 22:22:06
REV-0000089,TXN-00002055,USD,1457,NETWORK_RECOVERY,COMPLETED,2026-02-23 22:50:06
REV-0000090,TXN-00004933,USD,7389,POST_AUTH_REVERSAL,COMPLETED,2026-02-28 13:31:26
REV-0000091,TXN-00001214,THB,1312,DUPLICATE_RECOVERY,COMPLETED,2026-02-07 09:14:11
REV-0000092,TXN-00004473,USD,2087,POST_AUTH_REVERSAL,COMPLETED,2026-01-21 01:39:27
REV-0000093,TXN-00000663,USD,3694,DUPLICATE_RECOVERY,COMPLETED,2026-02-20 00:30:15
REV-0000094,TXN-00004223,THB,3503,POST_AUTH_REVERSAL,COMPLETED,2026-01-10 23:01:41
REV-0000095,TXN-00001873,THB,1950,NETWORK_RECOVERY,COMPLETED,2026-01-29 09:55:14
REV-0000096,TXN-00000109,THB,6981,POST_AUTH_REVERSAL,COMPLETED,2026-01-22 21:32:07
REV-0000097,TXN-00001539,SGD,8876,DUPLICATE_RECOVERY,COMPLETED,2026-01-27 22:13:25
REV-0000098,TXN-00003424,THB,5437,DUPLICATE_RECOVERY,COMPLETED,2026-02-24 00:05:56
REV-0000099,TXN-00002666,THB,2308,DUPLICATE_RECOVERY,COMPLETED,2026-01-21 05:06:40
REV-0000100,TXN-00000816,THB,1377,POST_AUTH_REVERSAL,COMPLETED,2026-03-01 19:21:33
REV-0000101,TXN-00003589,THB,694,POST_AUTH_REVERSAL,COMPLETED,2026-02-15 13:53:12
REV-0000102,TXN-00002109,SGD,1753,NETWORK_RECOVERY,COMPLETED,2026-02-13 22:08:30
REV-0000103,TXN-00000384,SGD,1519,POST_AUTH_REVERSAL,COMPLETED,2026-01-23 07:21:46
REV-0000104,TXN-00003978,THB,7010,NETWORK_RECOVERY,COMPLETED,2026-02-05 20:18:23
REV-0000105,TXN-00000703,USD,2629,POST_AUTH_REVERSAL,COMPLETED,2026-01-24 03:34:56
REV-0000106,TXN-00000057,USD,1761,POST_AUTH_REVERSAL,COMPLETED,2026-02-07 22:42:25
REV-0000107,TXN-00000266,SGD,26222,DUPLICATE_RECOVERY,COMPLETED,2026-01-10 16:24:45
REV-0000108,TXN-00001323,THB,8616,POST_AUTH_REVERSAL,COMPLETED,2026-01-16 02:20:34
REV-0000109,TXN-00004527,THB,1883,NETWORK_RECOVERY,COMPLETED,2026-03-02 03:09:36
REV-0000110,TXN-00002181,USD,2849,NETWORK_RECOVERY,COMPLETED,2026-01-28 18:48:02
REV-0000111,TXN-00000575,THB,1555,NETWORK_RECOVERY,COMPLETED,2026-01-07 00:02:46
REV-0000112,TXN-00003854,SGD,6482,DUPLICATE_RECOVERY,COMPLETED,2026-01-06 18:06:11
REV-0000113,TXN-00003848,SGD,19766,DUPLICATE_RECOVERY,COMPLETED,2026-01-29 21:59:16
REV-0000114,TXN-00001968,USD,3318,POST_AUTH_REVERSAL,COMPLETED,2026-01-31 14:40:12
REV-0000115,TXN-00002545,SGD,8388,POST_AUTH_REVERSAL,COMPLETED,2026-02-08 03:01:54
REV-0000116,TXN-00001842,THB,1994,NETWORK_RECOVERY,COMPLETED,2026-02-05 23:31:04
REV-0000117,TXN-00001431,SGD,3668,NETWORK_RECOVERY,COMPLETED,2026-01-09 01:18:51
REV-0000118,TXN-00000624,SGD,9948,NETWORK_RECOVERY,COMPLETED,2026-02-02 05:51:39
REV-0000119,TXN-00002126,THB,3857,NETWORK_RECOVERY,COMPLETED,2026-02-28 19:20:31
REV-0000120,TXN-00000640,USD,2155,NETWORK_RECOVERY,COMPLETED,2026-02-20 16:08:51
