transaction_id,account_id,merchant_id,idempotency_key,currency,transaction_amount_minor,status,initiated_at,completed_at
TXN-00000083,ACC-000427,MER-00061,IDEMP-00000083,THB,2634,COMPLETED,2026-02-11 01:53:06,2026-02-11 01:53:58
TXN-00000084,ACC-000321,MER-00044,IDEMP-00000084,THB,1022,COMPLETED,2026-01-31 02:28:01,2026-01-31 02:31:40
TXN-00000085,ACC-000284,MER-00038,IDEMP-00000085,SGD,408,CANCELLED,2026-03-01 11:02:41,2026-03-01 11:04:40
TXN-00000086,ACC-000025,MER-00010,IDEMP-00000086,USD,1152,COMPLETED,2026-01-19 23:31:35,2026-01-19 23:40:54
TXN-00000087,ACC-000415,MER-00011,IDEMP-00000087,SGD,9834,COMPLETED,2026-02-21 18:58:20,2026-02-21 19:07:45
TXN-00000088,ACC-000090,MER-00049,IDEMP-00000088,THB,7067,CANCELLED,2026-01-04 20:59:27,2026-01-04 21:05:43
TXN-00000089,ACC-000418,MER-00017,IDEMP-00000089,USD,4456,PENDING,2026-01-15 22:04:52,
TXN-00000090,ACC-000075,MER-00015,IDEMP-00000090,SGD,3193,COMPLETED,2026-02-10 15:52:17,2026-02-10 15:58:36
TXN-00000091,ACC-000361,MER-00008,IDEMP-00000091,USD,5742,COMPLETED,2026-03-01 01:11:47,2026-03-01 01:17:58
TXN-00000092,ACC-000035,MER-00047,IDEMP-00000092,THB,3596,COMPLETED,2026-01-05 01:07:01,2026-01-05 01:09:41
TXN-00000093,ACC-000306,MER-00028,IDEMP-00000093,SGD,4811,PENDING,2026-01-26 20:28:57,
TXN-00000094,ACC-000397,MER-00032,IDEMP-00000094,THB,4619,COMPLETED,2026-02-27 16:53:09,2026-02-27 16:54:53
TXN-00000095,ACC-000060,MER-00002,IDEMP-00000095,SGD,12339,COMPLETED,2026-02-19 17:50:11,2026-02-19 17:59:05
TXN-00000096,ACC-000047,MER-00032,IDEMP-00000096,THB,2600,COMPLETED,2026-02-09 10:14:10,2026-02-09 10:22:23
TXN-00000097,ACC-000241,MER-00011,IDEMP-00000097,THB,14750,PENDING,2026-01-28 01:35:09,
TXN-00000098,ACC-000376,MER-00006,IDEMP-00000098,THB,3438,COMPLETED,2026-01-13 10:35:06,2026-01-13 10:40:00
TXN-00000099,ACC-000312,MER-00013,IDEMP-00000099,SGD,2407,DECLINED,2026-02-25 03:34:56,2026-02-25 03:41:32
TXN-00000100,ACC-000089,MER-00077,IDEMP-00000100,USD,2756,COMPLETED,2026-01-09 21:37:04,2026-01-09 21:42:04
TXN-00000101,ACC-000301,MER-00006,IDEMP-00000101,THB,4312,COMPLETED,2026-02-04 19:03:41,2026-02-04 19:04:06
TXN-00000102,ACC-000417,MER-00001,IDEMP-00000102,USD,4636,COMPLETED,2026-02-08 22:20:25,2026-02-08 22:25:09
TXN-00000103,ACC-000088,MER-00078,IDEMP-00000103,SGD,5921,PENDING,2026-01-13 02:58:46,
TXN-00000104,ACC-000214,MER-00037,IDEMP-00000104,THB,8343,COMPLETED,2026-02-04 07:59:50,2026-02-04 08:05:29
TXN-00000105,ACC-000080,MER-00033,IDEMP-00000105,USD,3583,COMPLETED,2026-01-25 07:49:41,2026-01-25 07:58:21
TXN-00000106,ACC-000055,MER-00034,IDEMP-00000106,THB,3021,COMPLETED,2026-01-16 21:49:14,2026-01-16 21:51:25
TXN-00000107,ACC-000164,MER-00030,IDEMP-00000107,USD,4855,COMPLETED,2026-01-29 19:30:29,2026-01-29 19:31:23
TXN-00000108,ACC-000216,MER-00074,IDEMP-00000108,USD,18036,COMPLETED,2026-01-17 17:54:10,2026-01-17 17:58:12
TXN-00000109,ACC-000152,MER-00033,IDEMP-00000109,THB,6981,COMPLETED,2026-01-21 21:32:07,2026-01-21 21:38:33
TXN-00000110,ACC-000429,MER-00026,IDEMP-00000110,USD,8144,COMPLETED,2026-01-26 04:37:41,2026-01-26 04:47:06
TXN-00000111,ACC-000337,MER-00060,IDEMP-00000111,THB,1694,COMPLETED,2026-01-25 04:38:20,2026-01-25 04:45:54
TXN-00000112,ACC-000317,MER-00025,IDEMP-00000112,USD,11017,PENDING,2026-02-05 22:35:17,
TXN-00000113,ACC-000179,MER-00039,IDEMP-00000113,THB,16034,COMPLETED,2026-01-08 14:15:21,2026-01-08 14:24:10
TXN-00000114,ACC-000288,MER-00024,IDEMP-00000114,USD,13328,COMPLETED,2026-01-02 22:48:11,2026-01-02 22:54:43
TXN-00000115,ACC-000079,MER-00012,IDEMP-00000115,SGD,2748,COMPLETED,2026-01-24 23:08:19,2026-01-24 23:15:31
TXN-00000116,ACC-000320,MER-00061,IDEMP-00000116,USD,1168,COMPLETED,2026-01-01 02:49:44,2026-01-01 02:58:15
TXN-00000117,ACC-000017,MER-00014,IDEMP-00000117,USD,7414,COMPLETED,2026-01-14 08:12:26,2026-01-14 08:13:43
TXN-00000118,ACC-000401,MER-00050,IDEMP-00000118,THB,41826,COMPLETED,2026-01-18 17:23:40,2026-01-18 17:27:21
TXN-00000119,ACC-000004,MER-00049,IDEMP-00000119,THB,2346,COMPLETED,2026-01-11 14:31:06,2026-01-11 14:33:30
TXN-00000120,ACC-000065,MER-00065,IDEMP-00000120,THB,2132,COMPLETED,2026-02-11 03:14:05,2026-02-11 03:14:41
TXN-00000121,ACC-000342,MER-00055,IDEMP-00000121,USD,1144,COMPLETED,2026-02-08 20:18:21,2026-02-08 20:23:45
TXN-00000122,ACC-000226,MER-00037,IDEMP-00000122,THB,2998,COMPLETED,2026-01-02 16:01:40,2026-01-02 16:02:13
TXN-00000123,ACC-000400,MER-00029,IDEMP-00000123,SGD,1048,COMPLETED,2026-02-22 21:47:09,2026-02-22 21:50:04
TXN-00000124,ACC-000294,MER-00011,IDEMP-00000124,SGD,1632,COMPLETED,2026-02-24 23:24:56,2026-02-24 23:26:45
TXN-00000125,ACC-000257,MER-00038,IDEMP-00000125,USD,6669,COMPLETED,2026-02-01 16:07:32,2026-02-01 16:09:00
TXN-00000126,ACC-000213,MER-00048,IDEMP-00000126,THB,14149,PENDING,2026-02-18 22:21:53,
TXN-00000127,ACC-000416,MER-00032,IDEMP-00000127,THB,1499,DECLINED,2026-01-08 10:03:13,2026-01-08 10:08:24
TXN-00000128,ACC-000072,MER-00071,IDEMP-00000128,THB,2894,COMPLETED,2026-01-04 09:57:36,2026-01-04 09:58:27
TXN-00000129,ACC-000358,MER-00073,IDEMP-00000129,THB,7532,COMPLETED,2026-02-22 15:34:35,2026-02-22 15:38:15
TXN-00000130,ACC-000398,MER-00033,IDEMP-00000130,THB,8310,COMPLETED,2026-01-02 12:45:07,2026-01-02 12:54:12
TXN-00000131,ACC-000186,MER-00026,IDEMP-00000131,THB,9752,COMPLETED,2026-01-27 02:23:06,2026-01-27 02:24:47
TXN-00000132,ACC-000297,MER-00017,IDEMP-00000132,SGD,14886,COMPLETED,2026-02-21 16:12:02,2026-02-21 16:13:24
TXN-00000133,ACC-000095,MER-00018,IDEMP-00000133,USD,1034,PENDING,2026-02-09 05:11:35,
TXN-00000134,ACC-000352,MER-00038,IDEMP-00000134,SGD,8997,DECLINED,2026-02-11 06:07:32,2026-02-11 06:13:47
TXN-00000135,ACC-000058,MER-00026,IDEMP-00000135,SGD,4507,COMPLETED,2026-02-26 11:39:09,2026-02-26 11:41:53
TXN-00000136,ACC-000239,MER-00001,IDEMP-00000136,USD,6644,COMPLETED,2026-02-16 01:32:34,2026-02-16 01:39:00
TXN-00000137,ACC-000193,MER-00004,IDEMP-00000137,USD,1932,COMPLETED,2026-01-19 09:31:39,2026-01-19 09:40:28
TXN-00000138,ACC-000309,MER-00043,IDEMP-00000138,SGD,5484,COMPLETED,2026-01-30 08:10:05,2026-01-30 08:13:46
TXN-00000139,ACC-000421,MER-00042,IDEMP-00000139,SGD,660,DECLINED,2026-02-02 21:20:36,2026-02-02 21:26:00
TXN-00000140,ACC-000250,MER-00073,IDEMP-00000140,SGD,18796,COMPLETED,2026-01-13 17:20:16,2026-01-13 17:23:38
TXN-00000141,ACC-000396,MER-00023,IDEMP-00000141,THB,31601,COMPLETED,2026-01-08 01:13:11,2026-01-08 01:14:12
TXN-00000142,ACC-000301,MER-00064,IDEMP-00000142,THB,3068,COMPLETED,2026-01-30 13:19:04,2026-01-30 13:24:43
TXN-00000143,ACC-000110,MER-00023,IDEMP-00000143,USD,9430,COMPLETED,2026-01-23 03:07:17,2026-01-23 03:15:45
TXN-00000144,ACC-000323,MER-00029,IDEMP-00000144,USD,2999,COMPLETED,2026-02-16 13:02:00,2026-02-16 13:05:05
TXN-00000145,ACC-000167,MER-00006,IDEMP-00000145,THB,10702,DECLINED,2026-02-21 11:46:03,2026-02-21 11:48:54
TXN-00000146,ACC-000235,MER-00064,IDEMP-00000146,THB,10556,CANCELLED,2026-01-14 18:50:12,2026-01-14 18:51:49
TXN-00000147,ACC-000189,MER-00031,IDEMP-00000147,SGD,4487,CANCELLED,2026-02-15 17:43:32,2026-02-15 17:43:56
TXN-00000148,ACC-000022,MER-00012,IDEMP-00000148,SGD,7083,COMPLETED,2026-01-06 04:11:49,2026-01-06 04:12:29
TXN-00000149,ACC-000035,MER-00065,IDEMP-00000149,THB,5986,COMPLETED,2026-02-08 02:14:24,2026-02-08 02:18:00
TXN-00000150,ACC-000323,MER-00027,IDEMP-00000150,USD,20607,COMPLETED,2026-01-16 07:42:02,2026-01-16 07:51:13
TXN-00000151,ACC-000374,MER-00006,IDEMP-00000151,USD,8349,COMPLETED,2026-01-21 10:26:37,2026-01-21 10:32:25
TXN-00000152,ACC-000129,MER-00028,IDEMP-00000152,SGD,2836,COMPLETED,2026-01-31 03:20:17,2026-01-31 03:26:28
TXN-00000153,ACC-000299,MER-00048,IDEMP-00000153,THB,3075,COMPLETED,2026-03-01 11:58:41,2026-03-01 12:03:38
TXN-00000154,ACC-000441,MER-00025,IDEMP-00000154,SGD,585,COMPLETED,2026-02-28 09:58:49,2026-02-28 10:01:03
TXN-00000155,ACC-000412,MER-00039,IDEMP-00000155,THB,4069,COMPLETED,2026-01-16 17:14:51,2026-01-16 17:19:48
TXN-00000156,ACC-000174,MER-00023,IDEMP-00000156,SGD,3088,DECLINED,2026-02-06 19:29:11,2026-02-06 19:33:25
TXN-00000157,ACC-000065,MER-00067,IDEMP-00000157,THB,1955,COMPLETED,2026-02-05 09:54:27,2026-02-05 10:03:42
TXN-00000158,ACC-000112,MER-00035,IDEMP-00000158,SGD,2434,COMPLETED,2026-02-05 22:24:19,2026-02-05 22:26:47
TXN-00000159,ACC-000154,MER-00048,IDEMP-00000159,THB,10220,CANCELLED,2026-01-05 10:15:41,2026-01-05 10:21:24
TXN-00000160,ACC-000371,MER-00043,IDEMP-00000160,USD,13651,COMPLETED,2026-01-14 17:56:57,2026-01-14 18:06:40
TXN-00000161,ACC-000192,MER-00016,IDEMP-00000161,SGD,5705,COMPLETED,2026-01-16 18:23:06,2026-01-16 18:24:41
TXN-00000162,ACC-000001,MER-00004,IDEMP-00000162,THB,2784,COMPLETED,2026-03-01 04:14:56,2026-03-01 04:16:18
TXN-00000163,ACC-000343,MER-00067,IDEMP-00000163,THB,30805,COMPLETED,2026-02-08 19:50:59,2026-02-08 20:00:15
TXN-00000164,ACC-000229,MER-00070,IDEMP-00000164,SGD,16661,DECLINED,2026-01-11 02:38:01,2026-01-11 02:42:03
TXN-00000165,ACC-000103,MER-00077,IDEMP-00000165,USD,3100,COMPLETED,2026-01-02 02:34:14,2026-01-02 02:35:30
TXN-00000166,ACC-000252,MER-00022,IDEMP-00000166,SGD,1234,COMPLETED,2026-01-04 21:12:25,2026-01-04 21:16:29
TXN-00000167,ACC-000060,MER-00061,IDEMP-00000167,SGD,7665,COMPLETED,2026-01-21 23:50:14,2026-01-21 23:53:47
TXN-00000168,ACC-000005,MER-00023,IDEMP-00000168,THB,3598,COMPLETED,2026-02-24 14:06:24,2026-02-24 14:08:18
TXN-00000169,ACC-000337,MER-00070,IDEMP-00000169,THB,27890,PENDING,2026-02-02 06:42:52,
TXN-00000170,ACC-000046,MER-00068,IDEMP-00000170,SGD,6586,COMPLETED,2026-02-24 14:34:51,2026-02-24 14:44:42
TXN-00000171,ACC-000418,MER-00012,IDEMP-00000171,USD,3853,CANCELLED,2026-02-22 16:40:42,2026-02-22 16:48:59
TXN-00000172,ACC-000329,MER-00050,IDEMP-00000172,THB,1997,COMPLETED,2026-02-07 02:18:51,2026-02-07 02:25:37
TXN-00000173,ACC-000395,MER-00013,IDEMP-00000173,USD,3081,COMPLETED,2026-01-25 01:00:15,2026-01-25 01:04:55
TXN-00000174,ACC-000200,MER-00073,IDEMP-00000174,USD,30946,COMPLETED,2026-01-21 00:29:55,2026-01-21 00:38:53
TXN-00000175,ACC-000163,MER-00003,IDEMP-00000175,SGD,3658,COMPLETED,2026-01-27 22:50:37,2026-01-27 22:53:28
TXN-00000176,ACC-000119,MER-00018,IDEMP-00000176,USD,1491,DECLINED,2026-01-06 18:23:31,2026-01-06 18:32:42
TXN-00000177,ACC-000074,MER-00039,IDEMP-00000177,THB,2276,COMPLETED,2026-01-26 13:37:27,2026-01-26 13:39:36
TXN-00000178,ACC-000425,MER-00024,IDEMP-00000178,THB,4449,COMPLETED,2026-01-29 10:53:25,2026-01-29 11:00:06
TXN-00000179,ACC-000374,MER-00077,IDEMP-00000179,USD,3360,COMPLETED,2026-02-17 04:43:02,2026-02-17 04:51:22
TXN-00000180,ACC-000203,MER-00044,IDEMP-00000180,THB,1931,COMPLETED,2026-01-19 09:47:05,2026-01-19 09:48:46
TXN-00000181,ACC-000123,MER-00009,IDEMP-00000181,USD,3190,COMPLETED,2026-02-13 09:01:46,2026-02-13 09:08:30
TXN-00000182,ACC-000054,MER-00033,IDEMP-00000182,USD,5915,COMPLETED,2026-01-02 17:28:10,2026-01-02 17:37:47
TXN-00000183,ACC-000373,MER-00080,IDEMP-00000183,SGD,15413,COMPLETED,2026-02-28 15:13:03,2026-02-28 15:15:00
TXN-00000184,ACC-000307,MER-00047,IDEMP-00000184,THB,1983,COMPLETED,2026-01-22 21:39:01,2026-01-22 21:42:51
TXN-00000185,ACC-000059,MER-00056,IDEMP-00000185,SGD,4017,COMPLETED,2026-02-10 04:13:16,2026-02-10 04:22:02
TXN-00000186,ACC-000261,MER-00006,IDEMP-00000186,THB,1340,COMPLETED,2026-01-20 23:42:44,2026-01-20 23:45:05
TXN-00000187,ACC-000270,MER-00053,IDEMP-00000187,SGD,2717,COMPLETED,2026-02-25 15:29:10,2026-02-25 15:30:01
TXN-00000188,ACC-000203,MER-00006,IDEMP-00000188,THB,2644,COMPLETED,2026-01-21 16:15:15,2026-01-21 16:17:26
TXN-00000189,ACC-000093,MER-00017,IDEMP-00000189,SGD,12029,DECLINED,2026-02-19 23:25:08,2026-02-19 23:27:00
TXN-00000190,ACC-000304,MER-00039,IDEMP-00000190,SGD,8678,COMPLETED,2026-01-19 04:42:44,2026-01-19 04:49:47
TXN-00000191,ACC-000114,MER-00065,IDEMP-00000191,THB,1398,COMPLETED,2026-01-31 17:36:08,2026-01-31 17:42:34
TXN-00000192,ACC-000343,MER-00060,IDEMP-00000192,THB,17374,CANCELLED,2026-01-18 08:48:57,2026-01-18 08:52:34
TXN-00000193,ACC-000113,MER-00070,IDEMP-00000193,THB,6523,COMPLETED,2026-02-24 18:47:20,2026-02-24 18:50:15
TXN-00000194,ACC-000304,MER-00002,IDEMP-00000194,SGD,12770,COMPLETED,2026-02-16 10:34:57,2026-02-16 10:38:23
TXN-00000195,ACC-000126,MER-00064,IDEMP-00000195,SGD,1651,COMPLETED,2026-01-07 03:07:17,2026-01-07 03:07:19
TXN-00000196,ACC-000009,MER-00023,IDEMP-00000196,SGD,21723,COMPLETED,2026-02-02 03:45:43,2026-02-02 03:53:55
TXN-00000197,ACC-000136,MER-00073,IDEMP-00000197,SGD,7507,COMPLETED,2026-01-24 15:37:49,2026-01-24 15:47:37
TXN-00000198,ACC-000360,MER-00074,IDEMP-00000198,THB,11619,DECLINED,2026-02-27 13:54:37,2026-02-27 14:03:32
TXN-00000199,ACC-000296,MER-00029,IDEMP-00000199,USD,7800,COMPLETED,2026-01-26 06:10:18,2026-01-26 06:17:03
TXN-00000200,ACC-000313,MER-00068,IDEMP-00000200,THB,3167,DECLINED,2026-01-31 23:23:36,2026-01-31 23:26:08
