merchant_id,merchant_token,merchant_category,country_code,settlement_currency,merchant_status
MER-00057,SYN-MERCHANT-00057,RETAIL,TH,SGD,ACTIVE
MER-00058,SYN-MERCHANT-00058,RETAIL,TH,USD,ACTIVE
MER-00059,SYN-MERCHANT-00059,SERVICES,US,THB,ACTIVE
MER-00060,SYN-MERCHANT-00060,FOOD,TH,SGD,ACTIVE
MER-00061,SYN-MERCHANT-00061,FOOD,SG,SGD,ACTIVE
MER-00062,SYN-MERCHANT-00062,RETAIL,TH,SGD,ACTIVE
MER-00063,SYN-MERCHANT-00063,FOOD,TH,SGD,ACTIVE
MER-00064,SYN-MERCHANT-00064,RETAIL,SG,THB,ACTIVE
MER-00065,SYN-MERCHANT-00065,DIGITAL,TH,SGD,ACTIVE
MER-00066,SYN-MERCHANT-00066,DIGITAL,SG,SGD,ACTIVE
MER-00067,SYN-MERCHANT-00067,FOOD,TH,USD,ACTIVE
MER-00068,SYN-MERCHANT-00068,RETAIL,TH,USD,ACTIVE
MER-00069,SYN-MERCHANT-00069,TRAVEL,US,THB,ACTIVE
MER-00070,SYN-MERCHANT-00070,RETAIL,TH,THB,ACTIVE
MER-00071,SYN-MERCHANT-00071,DIGITAL,TH,USD,ACTIVE
MER-00072,SYN-MERCHANT-00072,RETAIL,SG,SGD,ACTIVE
MER-00073,SYN-MERCHANT-00073,TRAVEL,TH,SGD,ACTIVE
MER-00074,SYN-MERCHANT-00074,DIGITAL,US,THB,ACTIVE
MER-00075,SYN-MERCHANT-00075,SERVICES,TH,THB,REVIEW
MER-00076,SYN-MERCHANT-00076,DIGITAL,TH,THB,ACTIVE
MER-00077,SYN-MERCHANT-00077,FOOD,TH,THB,ACTIVE
MER-00078,SYN-MERCHANT-00078,RETAIL,US,USD,ACTIVE
MER-00079,SYN-MERCHANT-00079,TRAVEL,TH,SGD,ACTIVE
MER-00080,SYN-MERCHANT-00080,RETAIL,TH,THB,ACTIVE
