settlement_item_id,settlement_batch_id,transaction_id,settlement_date,currency,gross_amount_minor,refund_amount_minor,reversal_amount_minor,net_amount_minor,status
STI-000000148,STB-000121,TXN-00000185,2026-02-12,SGD,4017,0,0,4017,SETTLED
STI-000000149,STB-000059,TXN-00000186,2026-01-22,THB,1340,0,0,1340,SETTLED
STI-000000150,STB-000166,TXN-00000187,2026-02-27,SGD,2717,0,0,2717,SETTLED
STI-000000151,STB-000062,TXN-00000188,2026-01-23,THB,2644,0,0,2644,SETTLED
STI-000000152,STB-000055,TXN-00000190,2026-01-21,SGD,8678,0,0,8678,SETTLED
STI-000000153,STB-000092,TXN-00000191,2026-02-02,THB,1398,0,0,1398,SETTLED
STI-000000154,STB-000164,TXN-00000193,2026-02-26,THB,6523,0,0,6523,SETTLED
STI-000000155,STB-000139,TXN-00000194,2026-02-18,SGD,12770,0,0,12770,SETTLED
STI-000000156,STB-000019,TXN-00000195,2026-01-09,SGD,1651,0,0,1651,SETTLED
STI-000000157,STB-000097,TXN-00000196,2026-02-04,SGD,21723,0,0,21723,SETTLED
STI-000000158,STB-000070,TXN-00000197,2026-01-26,SGD,7507,0,7507,0,SETTLED
STI-000000159,STB-000078,TXN-00000199,2026-01-28,USD,7800,0,0,7800,SETTLED
STI-000000160,STB-000071,TXN-00000201,2026-01-26,THB,454,0,0,454,SETTLED
STI-000000161,STB-000174,TXN-00000202,2026-03-01,USD,15112,0,0,15112,SETTLED
STI-000000162,STB-000042,TXN-00000203,2026-01-16,USD,2682,2012,0,670,SETTLED
STI-000000163,STB-000131,TXN-00000204,2026-02-15,THB,3532,0,0,3532,SETTLED
STI-000000164,STB-000141,TXN-00000205,2026-02-18,USD,2632,0,0,2632,SETTLED
STI-000000165,STB-000007,TXN-00000206,2026-01-05,SGD,17559,0,0,17559,SETTLED
STI-000000166,STB-000017,TXN-00000207,2026-01-08,THB,5326,0,0,5326,SETTLED
STI-000000167,STB-000046,TXN-00000208,2026-01-18,SGD,10282,0,0,10282,SETTLED
STI-000000168,STB-000097,TXN-00000210,2026-02-04,SGD,10833,0,0,10833,SETTLED
STI-000000169,STB-000084,TXN-00000212,2026-01-30,USD,8497,0,0,8497,SETTLED
STI-000000170,STB-000120,TXN-00000213,2026-02-11,USD,1615,0,0,1615,SETTLED
STI-000000171,STB-000139,TXN-00000214,2026-02-18,SGD,1131,0,0,1131,SETTLED
STI-000000172,STB-000173,TXN-00000215,2026-03-01,THB,4820,0,0,4820,SETTLED
STI-000000173,STB-000073,TXN-00000217,2026-01-27,SGD,8721,0,0,8721,SETTLED
STI-000000174,STB-000009,TXN-00000218,2026-01-05,USD,30085,0,0,30085,SETTLED
STI-000000175,STB-000004,TXN-00000219,2026-01-04,SGD,12201,0,0,12201,SETTLED
STI-000000176,STB-000102,TXN-00000220,2026-02-05,USD,3823,0,0,3823,SETTLED
STI-000000177,STB-000122,TXN-00000221,2026-02-12,THB,6514,0,0,6514,SETTLED
STI-000000178,STB-000081,TXN-00000222,2026-01-29,USD,5760,0,0,5760,SETTLED
STI-000000179,STB-000074,TXN-00000223,2026-01-27,THB,7313,0,7313,0,SETTLED
STI-000000180,STB-000167,TXN-00000224,2026-02-27,THB,10719,0,0,10719,SETTLED
STI-000000181,STB-000085,TXN-00000225,2026-01-31,SGD,2879,0,0,2879,SETTLED
STI-000000182,STB-000026,TXN-00000226,2026-01-11,THB,2407,0,0,2407,SETTLED
STI-000000183,STB-000124,TXN-00000227,2026-02-13,SGD,2551,0,0,2551,SETTLED
STI-000000184,STB-000018,TXN-00000228,2026-01-08,USD,17514,0,0,17514,SETTLED
STI-000000185,STB-000127,TXN-00000230,2026-02-14,SGD,5594,0,0,5594,SETTLED
STI-000000186,STB-000064,TXN-00000231,2026-01-24,SGD,3824,0,0,3824,SETTLED
STI-000000187,STB-000003,TXN-00000232,2026-01-03,USD,5867,0,0,5867,SETTLED
STI-000000188,STB-000156,TXN-00000233,2026-02-23,USD,3922,0,0,3922,SETTLED
STI-000000189,STB-000172,TXN-00000234,2026-03-01,SGD,1508,0,0,1508,SETTLED
STI-000000190,STB-000175,TXN-00000235,2026-03-02,SGD,12825,0,0,12825,SETTLED
STI-000000191,STB-000099,TXN-00000237,2026-02-04,USD,6064,0,0,6064,SETTLED
STI-000000192,STB-000096,TXN-00000238,2026-02-03,USD,6013,0,0,6013,SETTLED
STI-000000193,STB-000086,TXN-00000239,2026-01-31,THB,5775,0,0,5775,SETTLED
STI-000000194,STB-000169,TXN-00000240,2026-02-28,SGD,4082,0,0,4082,SETTLED
STI-000000195,STB-000075,TXN-00000241,2026-01-27,USD,4067,0,0,4067,SETTLED
STI-000000196,STB-000135,TXN-00000242,2026-02-16,USD,11250,0,0,11250,SETTLED
STI-000000197,STB-000147,TXN-00000243,2026-02-20,USD,31244,0,0,31244,SETTLED
STI-000000198,STB-000047,TXN-00000244,2026-01-18,THB,3222,0,0,3222,SETTLED
STI-000000199,STB-000059,TXN-00000245,2026-01-22,THB,4024,0,0,4024,SETTLED
STI-000000200,STB-000133,TXN-00000246,2026-02-16,SGD,3271,0,0,3271,SETTLED
STI-000000201,STB-000152,TXN-00000247,2026-02-22,THB,4783,0,0,4783,SETTLED
STI-000000202,STB-000073,TXN-00000248,2026-01-27,SGD,6295,0,0,6295,SETTLED
STI-000000203,STB-000020,TXN-00000249,2026-01-09,THB,16589,0,0,16589,SETTLED
STI-000000204,STB-000025,TXN-00000250,2026-01-11,SGD,10930,0,0,10930,SETTLED
STI-000000205,STB-000005,TXN-00000251,2026-01-04,THB,13557,0,0,13557,SETTLED
STI-000000206,STB-000076,TXN-00000252,2026-01-28,SGD,4207,0,0,4207,SETTLED
STI-000000207,STB-000128,TXN-00000253,2026-02-14,THB,4441,0,0,4441,SETTLED
STI-000000208,STB-000136,TXN-00000254,2026-02-17,SGD,4492,0,0,4492,SETTLED
STI-000000209,STB-000171,TXN-00000255,2026-02-28,USD,1805,0,0,1805,SETTLED
STI-000000210,STB-000139,TXN-00000257,2026-02-18,SGD,3723,0,0,3723,SETTLED
STI-000000211,STB-000167,TXN-00000258,2026-02-27,THB,12068,0,0,12068,SETTLED
STI-000000212,STB-000097,TXN-00000261,2026-02-04,SGD,9890,0,0,9890,SETTLED
STI-000000213,STB-000120,TXN-00000263,2026-02-11,USD,1036,0,0,1036,SETTLED
STI-000000214,STB-000091,TXN-00000264,2026-02-02,SGD,4371,0,0,4371,SETTLED
STI-000000215,STB-000025,TXN-00000266,2026-01-11,SGD,26222,0,26222,0,SETTLED
STI-000000216,STB-000034,TXN-00000267,2026-01-14,SGD,22487,10204,0,12283,SETTLED
STI-000000217,STB-000137,TXN-00000268,2026-02-17,THB,9148,0,0,9148,SETTLED
STI-000000218,STB-000146,TXN-00000269,2026-02-20,THB,3337,655,0,2682,SETTLED
STI-000000219,STB-000138,TXN-00000271,2026-02-17,USD,13474,0,0,13474,SETTLED
STI-000000220,STB-000130,TXN-00000272,2026-02-15,SGD,6627,0,0,6627,SETTLED
STI-000000221,STB-000004,TXN-00000273,2026-01-04,SGD,11402,0,0,11402,SETTLED
STI-000000222,STB-000080,TXN-00000274,2026-01-29,THB,4588,0,0,4588,SETTLED
STI-000000223,STB-000132,TXN-00000275,2026-02-15,USD,3740,0,0,3740,SETTLED
STI-000000224,STB-000025,TXN-00000276,2026-01-11,SGD,1853,1494,0,359,SETTLED
STI-000000225,STB-000015,TXN-00000277,2026-01-07,USD,3642,0,0,3642,SETTLED
STI-000000226,STB-000107,TXN-00000278,2026-02-07,THB,11037,0,0,11037,SETTLED
STI-000000227,STB-000092,TXN-00000280,2026-02-02,THB,6955,0,0,6955,SETTLED
STI-000000228,STB-000112,TXN-00000281,2026-02-09,SGD,3238,0,0,3238,SETTLED
STI-000000229,STB-000053,TXN-00000283,2026-01-20,THB,10645,0,0,10645,SETTLED
STI-000000230,STB-000010,TXN-00000284,2026-01-06,SGD,11933,0,0,11933,SETTLED
STI-000000231,STB-000113,TXN-00000285,2026-02-09,THB,9675,0,0,9675,SETTLED
STI-000000232,STB-000011,TXN-00000286,2026-01-06,THB,8071,0,0,8071,SETTLED
STI-000000233,STB-000087,TXN-00000287,2026-01-31,USD,16874,0,0,16874,SETTLED
STI-000000234,STB-000129,TXN-00000288,2026-02-14,USD,7773,0,0,7773,SETTLED
STI-000000235,STB-000163,TXN-00000289,2026-02-26,SGD,2668,0,0,2668,SETTLED
STI-000000236,STB-000158,TXN-00000290,2026-02-24,THB,3673,0,0,3673,SETTLED
STI-000000237,STB-000016,TXN-00000291,2026-01-08,SGD,8688,0,0,8688,SETTLED
STI-000000238,STB-000116,TXN-00000292,2026-02-10,THB,33897,0,0,33897,SETTLED
STI-000000239,STB-000069,TXN-00000293,2026-01-25,USD,28076,0,0,28076,SETTLED
STI-000000240,STB-000106,TXN-00000294,2026-02-07,SGD,4312,0,0,4312,SETTLED
STI-000000241,STB-000091,TXN-00000295,2026-02-02,SGD,2798,0,0,2798,SETTLED
STI-000000242,STB-000106,TXN-00000296,2026-02-07,SGD,14938,0,0,14938,SETTLED
STI-000000243,STB-000113,TXN-00000299,2026-02-09,THB,16267,0,0,16267,SETTLED
STI-000000244,STB-000057,TXN-00000300,2026-01-21,USD,11394,0,0,11394,SETTLED
STI-000000245,STB-000167,TXN-00000301,2026-02-27,THB,3694,0,0,3694,SETTLED
STI-000000246,STB-000123,TXN-00000302,2026-02-12,USD,8416,0,0,8416,SETTLED
STI-000000247,STB-000172,TXN-00000303,2026-03-01,SGD,2912,0,0,2912,SETTLED
STI-000000248,STB-000082,TXN-00000304,2026-01-30,SGD,7916,0,0,7916,SETTLED
STI-000000249,STB-000092,TXN-00000305,2026-02-02,THB,2344,0,0,2344,SETTLED
STI-000000250,STB-000136,TXN-00000306,2026-02-17,SGD,3091,0,0,3091,SETTLED
STI-000000251,STB-000131,TXN-00000307,2026-02-15,THB,3505,0,0,3505,SETTLED
STI-000000252,STB-000163,TXN-00000308,2026-02-26,SGD,5723,0,0,5723,SETTLED
STI-000000253,STB-000035,TXN-00000309,2026-01-14,THB,10443,0,0,10443,SETTLED
STI-000000254,STB-000134,TXN-00000310,2026-02-16,THB,4155,0,0,4155,SETTLED
STI-000000255,STB-000155,TXN-00000311,2026-02-23,THB,17825,0,0,17825,SETTLED
STI-000000256,STB-000155,TXN-00000312,2026-02-23,THB,30222,0,0,30222,SETTLED
STI-000000257,STB-000083,TXN-00000313,2026-01-30,THB,38195,0,0,38195,SETTLED
STI-000000258,STB-000117,TXN-00000314,2026-02-10,USD,2271,0,0,2271,SETTLED
STI-000000259,STB-000172,TXN-00000316,2026-03-01,SGD,7879,0,0,7879,SETTLED
STI-000000260,STB-000174,TXN-00000318,2026-03-01,USD,5277,0,0,5277,SETTLED
STI-000000261,STB-000147,TXN-00000319,2026-02-20,USD,6971,5663,0,1308,SETTLED
STI-000000262,STB-000008,TXN-00000321,2026-01-05,THB,4989,0,0,4989,SETTLED
STI-000000263,STB-000059,TXN-00000322,2026-01-22,THB,18582,0,0,18582,SETTLED
STI-000000264,STB-000065,TXN-00000323,2026-01-24,THB,2745,0,0,2745,SETTLED
STI-000000265,STB-000061,TXN-00000324,2026-01-23,SGD,13445,0,0,13445,SETTLED
STI-000000266,STB-000066,TXN-00000325,2026-01-24,USD,29024,0,0,29024,SETTLED
STI-000000267,STB-000165,TXN-00000326,2026-02-26,USD,11660,0,0,11660,SETTLED
STI-000000268,STB-000133,TXN-00000327,2026-02-16,SGD,3905,0,0,3905,SETTLED
STI-000000269,STB-000102,TXN-00000328,2026-02-05,USD,1911,0,0,1911,SETTLED
STI-000000270,STB-000120,TXN-00000329,2026-02-11,USD,3281,0,0,3281,SETTLED
STI-000000271,STB-000159,TXN-00000330,2026-02-24,USD,3783,0,0,3783,SETTLED
STI-000000272,STB-000160,TXN-00000331,2026-02-25,SGD,1640,0,0,1640,SETTLED
STI-000000273,STB-000161,TXN-00000332,2026-02-25,THB,5362,0,0,5362,SETTLED
STI-000000274,STB-000092,TXN-00000333,2026-02-02,THB,2689,0,0,2689,SETTLED
STI-000000275,STB-000142,TXN-00000334,2026-02-19,SGD,13256,0,0,13256,SETTLED
STI-000000276,STB-000062,TXN-00000335,2026-01-23,THB,4950,0,0,4950,SETTLED
STI-000000277,STB-000115,TXN-00000338,2026-02-10,SGD,7765,0,0,7765,SETTLED
STI-000000278,STB-000176,TXN-00000339,2026-03-02,THB,7055,0,0,7055,SETTLED
STI-000000279,STB-000170,TXN-00000340,2026-02-28,THB,1797,0,0,1797,SETTLED
STI-000000280,STB-000023,TXN-00000341,2026-01-10,THB,2634,0,0,2634,SETTLED
STI-000000281,STB-000026,TXN-00000342,2026-01-11,THB,2175,0,0,2175,SETTLED
STI-000000282,STB-000055,TXN-00000344,2026-01-21,SGD,1275,0,0,1275,SETTLED
STI-000000283,STB-000136,TXN-00000345,2026-02-17,SGD,10641,0,0,10641,SETTLED
STI-000000284,STB-000005,TXN-00000346,2026-01-04,THB,5512,0,0,5512,SETTLED
STI-000000285,STB-000168,TXN-00000348,2026-02-27,USD,4125,0,0,4125,SETTLED
STI-000000286,STB-000089,TXN-00000349,2026-02-01,THB,2368,0,0,2368,SETTLED
STI-000000287,STB-000174,TXN-00000350,2026-03-01,USD,1673,0,0,1673,SETTLED
STI-000000288,STB-000175,TXN-00000351,2026-03-02,SGD,2405,0,0,2405,SETTLED
STI-000000289,STB-000048,TXN-00000352,2026-01-18,USD,3263,0,0,3263,SETTLED
STI-000000290,STB-000053,TXN-00000355,2026-01-20,THB,21711,0,0,21711,SETTLED
STI-000000291,STB-000161,TXN-00000356,2026-02-25,THB,14376,0,0,14376,SETTLED
STI-000000292,STB-000037,TXN-00000357,2026-01-15,SGD,21447,0,0,21447,SETTLED
STI-000000293,STB-000154,TXN-00000359,2026-02-23,SGD,19124,0,0,19124,SETTLED
