business_date,currency,transaction_count,transaction_amount_minor,refund_count,refund_amount_minor,reversal_count,reversal_amount_minor,settlement_item_count,settlement_net_amount_minor,control_status
2026-01-30,SGD,18,125188,1,6437,1,1010,24,112914,MATCHED
2026-01-30,THB,18,163769,1,5099,0,0,24,199316,MATCHED
2026-01-30,USD,27,357407,1,10392,0,0,17,55727,MATCHED
2026-01-31,SGD,21,153437,3,6191,1,624,23,135987,MATCHED
2026-01-31,THB,32,269269,3,9926,1,1646,25,243025,MATCHED
2026-01-31,USD,26,207177,1,1140,1,3318,26,205862,MATCHED
2026-02-01,SGD,20,173981,3,9789,0,0,18,110718,MATCHED
2026-02-01,THB,27,162117,1,1745,1,38011,18,162123,MATCHED
2026-02-01,USD,20,131696,2,14969,0,0,27,335059,MATCHED
2026-02-02,SGD,26,221462,1,3552,3,32315,21,150125,MATCHED
2026-02-02,THB,13,159442,0,0,0,0,32,262613,MATCHED
2026-02-02,USD,23,164912,2,7720,0,0,26,206264,MATCHED
2026-02-03,SGD,22,124610,3,5276,0,0,20,166751,MATCHED
2026-02-03,THB,13,102835,0,0,0,0,27,139879,MATCHED
2026-02-03,USD,19,154947,1,1107,0,0,20,119922,MATCHED
2026-02-04,SGD,20,166481,1,1150,0,0,26,217612,MATCHED
2026-02-04,THB,22,199793,1,6792,1,2638,13,150012,MATCHED
2026-02-04,USD,22,177811,3,11353,0,0,23,161826,MATCHED
2026-02-05,SGD,28,200022,3,8813,1,658,22,84176,MATCHED
2026-02-05,THB,11,82015,3,15228,2,9004,13,102835,MATCHED
2026-02-05,USD,22,187916,3,11898,0,0,19,149652,MATCHED
2026-02-06,SGD,29,244620,1,1217,0,0,20,152515,MATCHED
2026-02-06,THB,19,131666,0,0,0,0,22,184228,MATCHED
2026-02-06,USD,13,144148,0,0,0,0,22,177811,MATCHED
2026-02-07,SGD,25,120560,5,23347,4,37923,28,197964,MATCHED
2026-02-07,THB,18,237271,1,6656,1,1312,11,74067,MATCHED
2026-02-07,USD,16,95156,0,0,1,1761,22,187916,MATCHED
2026-02-08,SGD,23,274668,3,25370,1,8388,29,184814,MATCHED
2026-02-08,THB,25,208061,0,0,1,7948,19,129296,MATCHED
2026-02-08,USD,24,243438,1,3534,2,11418,13,144148,MATCHED
2026-02-09,SGD,18,164836,0,0,1,16030,25,110871,MATCHED
2026-02-09,THB,20,153780,0,0,1,4502,18,228924,MATCHED
2026-02-09,USD,26,179399,3,25042,0,0,16,81807,MATCHED
2026-02-10,SGD,22,147630,1,2058,0,0,23,270014,MATCHED
2026-02-10,THB,24,210353,4,16100,0,0,25,204804,MATCHED
2026-02-10,USD,23,190726,1,919,0,0,24,219598,MATCHED
2026-02-11,SGD,19,116552,2,4603,1,4654,18,151287,MATCHED
2026-02-11,THB,12,83777,0,0,0,0,20,139372,MATCHED
2026-02-11,USD,18,141064,1,3193,0,0,26,175287,MATCHED
2026-02-12,SGD,20,119041,2,11322,1,2227,22,143916,MATCHED
2026-02-12,THB,24,231283,4,7398,1,10605,24,195188,MATCHED
2026-02-12,USD,24,202902,3,7844,0,0,23,184813,MATCHED
2026-02-13,SGD,25,209654,1,9689,2,13019,19,105286,MATCHED
2026-02-13,THB,19,193070,3,8792,0,0,12,82556,MATCHED
2026-02-13,USD,24,115370,0,0,0,0,18,128865,MATCHED
2026-02-14,SGD,24,316589,1,2026,0,0,20,110673,MATCHED
2026-02-14,THB,24,194418,1,1114,0,0,24,223638,MATCHED
2026-02-14,USD,24,194532,0,0,2,11083,24,202398,MATCHED
2026-02-15,SGD,25,149665,0,0,1,2545,25,204905,MATCHED
2026-02-15,THB,31,188507,3,6899,1,694,19,193070,MATCHED
2026-02-15,USD,26,196524,2,7856,2,19243,24,87738,MATCHED
2026-02-16,SGD,22,205346,2,5694,1,4006,24,282461,MATCHED
2026-02-16,THB,19,180538,1,902,2,3283,24,177605,MATCHED
2026-02-16,USD,19,82923,2,1451,1,9315,24,167967,MATCHED
2026-02-17,SGD,16,108574,1,5664,1,1526,25,145280,MATCHED
2026-02-17,THB,16,85445,2,19255,0,0,31,159195,MATCHED
2026-02-17,USD,31,169889,1,4722,2,20095,26,170881,MATCHED
2026-02-18,SGD,21,162632,3,28416,0,0,22,197379,MATCHED
2026-02-18,THB,22,117933,1,2578,0,0,19,177256,MATCHED
2026-02-18,USD,22,232902,1,6937,1,5006,19,82923,MATCHED
2026-02-19,SGD,26,193031,2,9224,0,0,16,106578,MATCHED
2026-02-19,THB,14,77217,1,13935,0,0,16,85445,MATCHED
2026-02-19,USD,28,135539,2,1104,2,3878,31,161163,MATCHED
2026-02-20,SGD,20,145291,0,0,1,6851,21,152855,MATCHED
2026-02-20,THB,23,135058,1,11886,2,5377,22,98132,MATCHED
2026-02-20,USD,19,162905,1,5284,4,14645,22,213466,MATCHED
2026-02-21,SGD,39,445033,3,20919,0,0,26,167695,MATCHED
2026-02-21,THB,24,224908,3,14926,0,0,14,72529,MATCHED
2026-02-21,USD,34,285593,0,0,0,0,28,128209,MATCHED
2026-02-22,SGD,15,101053,1,718,2,14171,20,125530,MATCHED
2026-02-22,THB,23,259444,2,9974,1,2900,23,132091,MATCHED
2026-02-22,USD,21,111568,3,16001,1,17099,19,154832,MATCHED
2026-02-23,SGD,26,150032,1,739,0,0,39,430866,MATCHED
2026-02-23,THB,17,100937,2,2982,0,0,24,213916,MATCHED
2026-02-23,USD,17,88359,4,11897,1,1457,34,226139,MATCHED
2026-02-24,SGD,24,197369,1,19761,0,0,15,78530,MATCHED
2026-02-24,THB,25,204165,0,0,1,5437,23,254007,MATCHED
2026-02-24,USD,29,165525,5,3940,0,0,21,103550,MATCHED
2026-02-25,SGD,16,95096,2,14311,0,0,26,149570,MATCHED
2026-02-25,THB,22,253970,2,4780,0,0,17,100937,MATCHED
2026-02-25,USD,25,169251,4,29924,0,0,17,77537,MATCHED
2026-02-26,SGD,19,68031,4,6637,1,1438,24,192922,MATCHED
2026-02-26,THB,25,147441,1,2967,0,0,25,199622,MATCHED
2026-02-26,USD,24,159854,2,10272,0,0,29,163318,MATCHED
2026-02-27,SGD,22,176147,0,0,0,0,16,95096,MATCHED
2026-02-27,THB,20,123083,4,31558,0,0,22,238685,MATCHED
2026-02-27,USD,23,240949,1,8073,0,0,25,169251,MATCHED
2026-02-28,SGD,32,240688,2,15046,0,0,19,59579,MATCHED
2026-02-28,THB,19,128935,1,1993,1,3857,25,117725,MATCHED
2026-02-28,USD,14,163274,2,5120,1,7389,24,139989,MATCHED
2026-03-01,SGD,19,146359,1,620,0,0,22,163254,MATCHED
2026-03-01,THB,23,111284,0,0,1,1377,20,113265,MATCHED
2026-03-01,USD,19,181472,2,12110,1,13486,23,231432,MATCHED
2026-03-02,SGD,0,0,2,10601,0,0,32,238742,MATCHED
2026-03-02,THB,0,0,0,0,1,1883,19,128049,MATCHED
2026-03-02,USD,0,0,3,7761,0,0,14,149788,MATCHED
2026-03-03,SGD,0,0,2,2476,0,0,19,136220,MATCHED
2026-03-03,THB,0,0,3,12814,1,2578,23,100105,MATCHED
2026-03-03,USD,0,0,2,6410,0,0,19,171447,MATCHED
2026-03-04,THB,0,0,3,8441,1,886,0,0,MATCHED
2026-03-04,USD,0,0,1,6260,0,0,0,0,MATCHED
2026-03-05,SGD,0,0,1,1515,0,0,0,0,MATCHED
2026-03-05,USD,0,0,2,1684,0,0,0,0,MATCHED
2026-03-06,SGD,0,0,1,12893,0,0,0,0,MATCHED
2026-03-06,THB,0,0,1,1899,0,0,0,0,MATCHED
2026-03-07,SGD,0,0,1,1946,0,0,0,0,MATCHED
2026-03-07,THB,0,0,1,4819,0,0,0,0,MATCHED
