settlement_batch_id,settlement_date,currency,batch_status,item_count,gross_amount_minor,refund_amount_minor,reversal_amount_minor,net_amount_minor
STB-000054,2026-01-20,USD,SETTLED,24,159910,593,0,159317
STB-000055,2026-01-21,SGD,SETTLED,28,210406,54004,0,156402
STB-000056,2026-01-21,THB,SETTLED,26,119967,3601,949,115417
STB-000057,2026-01-21,USD,SETTLED,20,149826,13679,0,136147
STB-000058,2026-01-22,SGD,SETTLED,24,179010,2619,3172,173219
STB-000059,2026-01-22,THB,SETTLED,24,212205,3722,2115,206368
STB-000060,2026-01-22,USD,SETTLED,19,149102,5955,5820,137327
STB-000061,2026-01-23,SGD,SETTLED,21,181409,4007,0,177402
STB-000062,2026-01-23,THB,SETTLED,26,158809,21013,6981,130815
STB-000063,2026-01-23,USD,SETTLED,24,138976,6880,0,132096
STB-000064,2026-01-24,SGD,SETTLED,22,124089,248,1519,122322
STB-000065,2026-01-24,THB,SETTLED,18,261116,6296,0,254820
STB-000066,2026-01-24,USD,SETTLED,23,288975,135,0,288840
STB-000067,2026-01-25,SGD,SETTLED,21,201027,9002,0,192025
STB-000068,2026-01-25,THB,SETTLED,13,180742,3303,0,177439
STB-000069,2026-01-25,USD,SETTLED,20,125416,645,2629,122142
STB-000070,2026-01-26,SGD,SETTLED,21,181684,24263,7507,149914
STB-000071,2026-01-26,THB,SETTLED,29,300845,5840,0,295005
STB-000072,2026-01-26,USD,SETTLED,21,158768,1419,10663,146686
STB-000073,2026-01-27,SGD,SETTLED,21,143092,0,16266,126826
STB-000074,2026-01-27,THB,SETTLED,23,158185,1745,7313,149127
STB-000075,2026-01-27,USD,SETTLED,21,175153,4250,8059,162844
STB-000076,2026-01-28,SGD,SETTLED,28,271364,0,29652,241712
STB-000077,2026-01-28,THB,SETTLED,15,128700,5099,1950,121651
STB-000078,2026-01-28,USD,SETTLED,19,99220,1249,0,97971
STB-000079,2026-01-29,SGD,SETTLED,31,274111,14414,624,259073
STB-000080,2026-01-29,THB,SETTLED,27,253913,0,0,253913
STB-000081,2026-01-29,USD,SETTLED,22,119456,5474,12406,101576
STB-000082,2026-01-30,SGD,SETTLED,24,120606,4690,3002,112914
STB-000083,2026-01-30,THB,SETTLED,24,200064,748,0,199316
STB-000084,2026-01-30,USD,SETTLED,17,72984,13939,3318,55727
STB-000085,2026-01-31,SGD,SETTLED,23,162985,696,26302,135987
STB-000086,2026-01-31,THB,SETTLED,25,284374,3338,38011,243025
STB-000087,2026-01-31,USD,SETTLED,26,206969,1107,0,205862
STB-000088,2026-02-01,SGD,SETTLED,18,125188,14470,0,110718
STB-000089,2026-02-01,THB,SETTLED,18,163769,0,1646,162123
STB-000090,2026-02-01,USD,SETTLED,27,357407,22348,0,335059
STB-000091,2026-02-02,SGD,SETTLED,21,153437,3312,0,150125
STB-000092,2026-02-02,THB,SETTLED,32,269269,6656,0,262613
STB-000093,2026-02-02,USD,SETTLED,26,207177,913,0,206264
STB-000094,2026-02-03,SGD,SETTLED,20,173981,1217,6013,166751
STB-000095,2026-02-03,THB,SETTLED,27,162117,15228,7010,139879
STB-000096,2026-02-03,USD,SETTLED,20,131696,11774,0,119922
STB-000097,2026-02-04,SGD,SETTLED,26,221462,3850,0,217612
STB-000098,2026-02-04,THB,SETTLED,13,159442,6792,2638,150012
STB-000099,2026-02-04,USD,SETTLED,23,164912,3086,0,161826
STB-000100,2026-02-05,SGD,SETTLED,22,124610,16321,24113,84176
STB-000101,2026-02-05,THB,SETTLED,13,102835,0,0,102835
STB-000102,2026-02-05,USD,SETTLED,19,154947,3534,1761,149652
STB-000103,2026-02-06,SGD,SETTLED,20,166481,2222,11744,152515
STB-000104,2026-02-06,THB,SETTLED,22,199793,12259,3306,184228
STB-000105,2026-02-06,USD,SETTLED,22,177811,0,0,177811
STB-000106,2026-02-07,SGD,SETTLED,28,200022,2058,0,197964
STB-000107,2026-02-07,THB,SETTLED,11,82015,0,7948,74067
STB-000108,2026-02-07,USD,SETTLED,22,187916,0,0,187916
STB-000109,2026-02-08,SGD,SETTLED,29,244620,32664,27142,184814
STB-000110,2026-02-08,THB,SETTLED,19,131666,2370,0,129296
STB-000111,2026-02-08,USD,SETTLED,13,144148,0,0,144148
STB-000112,2026-02-09,SGD,SETTLED,25,120560,9689,0,110871
STB-000113,2026-02-09,THB,SETTLED,18,237271,3845,4502,228924
STB-000114,2026-02-09,USD,SETTLED,16,95156,1931,11418,81807
STB-000115,2026-02-10,SGD,SETTLED,23,274668,0,4654,270014
STB-000116,2026-02-10,THB,SETTLED,25,208061,3257,0,204804
STB-000117,2026-02-10,USD,SETTLED,24,243438,23840,0,219598
STB-000118,2026-02-11,SGD,SETTLED,18,164836,11322,2227,151287
STB-000119,2026-02-11,THB,SETTLED,20,153780,3803,10605,139372
STB-000120,2026-02-11,USD,SETTLED,26,179399,4112,0,175287
STB-000121,2026-02-12,SGD,SETTLED,22,147630,3714,0,143916
STB-000122,2026-02-12,THB,SETTLED,24,210353,15165,0,195188
STB-000123,2026-02-12,USD,SETTLED,23,190726,5913,0,184813
STB-000124,2026-02-13,SGD,SETTLED,19,116552,0,11266,105286
STB-000125,2026-02-13,THB,SETTLED,12,83777,1221,0,82556
STB-000126,2026-02-13,USD,SETTLED,18,141064,1116,11083,128865
STB-000127,2026-02-14,SGD,SETTLED,20,119041,4070,4298,110673
STB-000128,2026-02-14,THB,SETTLED,24,231283,6951,694,223638
STB-000129,2026-02-14,USD,SETTLED,24,202902,504,0,202398
STB-000130,2026-02-15,SGD,SETTLED,25,209654,743,4006,204905
STB-000131,2026-02-15,THB,SETTLED,19,193070,0,0,193070
STB-000132,2026-02-15,USD,SETTLED,24,115370,7537,20095,87738
STB-000133,2026-02-16,SGD,SETTLED,24,316589,32602,1526,282461
STB-000134,2026-02-16,THB,SETTLED,24,194418,16813,0,177605
STB-000135,2026-02-16,USD,SETTLED,24,194532,7322,19243,167967
STB-000136,2026-02-17,SGD,SETTLED,25,149665,4385,0,145280
STB-000137,2026-02-17,THB,SETTLED,31,188507,26029,3283,159195
STB-000138,2026-02-17,USD,SETTLED,26,196524,11322,14321,170881
STB-000139,2026-02-18,SGD,SETTLED,22,205346,7967,0,197379
STB-000140,2026-02-18,THB,SETTLED,19,180538,2578,704,177256
STB-000141,2026-02-18,USD,SETTLED,19,82923,0,0,82923
STB-000142,2026-02-19,SGD,SETTLED,16,108574,1996,0,106578
STB-000143,2026-02-19,THB,SETTLED,16,85445,0,0,85445
STB-000144,2026-02-19,USD,SETTLED,31,169889,1805,6921,161163
STB-000145,2026-02-20,SGD,SETTLED,21,162632,9777,0,152855
STB-000146,2026-02-20,THB,SETTLED,22,117933,12228,7573,98132
STB-000147,2026-02-20,USD,SETTLED,22,232902,9989,9447,213466
STB-000148,2026-02-21,SGD,SETTLED,26,193031,13027,12309,167695
STB-000149,2026-02-21,THB,SETTLED,14,77217,4688,0,72529
STB-000150,2026-02-21,USD,SETTLED,28,135539,3718,3612,128209
STB-000151,2026-02-22,SGD,SETTLED,20,145291,19761,0,125530
STB-000152,2026-02-22,THB,SETTLED,23,135058,2967,0,132091
STB-000153,2026-02-22,USD,SETTLED,19,162905,8073,0,154832
STB-000154,2026-02-23,SGD,SETTLED,39,445033,5454,8713,430866
STB-000155,2026-02-23,THB,SETTLED,24,224908,10992,0,213916
STB-000156,2026-02-23,USD,SETTLED,34,285593,42355,17099,226139
STB-000157,2026-02-24,SGD,SETTLED,15,101053,22523,0,78530
STB-000158,2026-02-24,THB,SETTLED,23,259444,0,5437,254007
STB-000159,2026-02-24,USD,SETTLED,21,111568,8018,0,103550
STB-000160,2026-02-25,SGD,SETTLED,26,150032,462,0,149570
STB-000161,2026-02-25,THB,SETTLED,17,100937,0,0,100937
STB-000162,2026-02-25,USD,SETTLED,17,88359,10822,0,77537
STB-000163,2026-02-26,SGD,SETTLED,24,197369,3009,1438,192922
STB-000164,2026-02-26,THB,SETTLED,25,204165,4543,0,199622
STB-000165,2026-02-26,USD,SETTLED,29,165525,2207,0,163318
STB-000166,2026-02-27,SGD,SETTLED,16,95096,0,0,95096
STB-000167,2026-02-27,THB,SETTLED,22,253970,15285,0,238685
STB-000168,2026-02-27,USD,SETTLED,25,169251,0,0,169251
STB-000169,2026-02-28,SGD,SETTLED,19,68031,8452,0,59579
STB-000170,2026-02-28,THB,SETTLED,25,147441,25859,3857,117725
STB-000171,2026-02-28,USD,SETTLED,24,159854,12476,7389,139989
STB-000172,2026-03-01,SGD,SETTLED,22,176147,12893,0,163254
STB-000173,2026-03-01,THB,SETTLED,20,123083,8441,1377,113265
STB-000174,2026-03-01,USD,SETTLED,23,240949,9517,0,231432
STB-000175,2026-03-02,SGD,SETTLED,32,240688,1946,0,238742
STB-000176,2026-03-02,THB,SETTLED,19,128935,0,886,128049
STB-000177,2026-03-02,USD,SETTLED,14,163274,0,13486,149788
STB-000178,2026-03-03,SGD,SETTLED,19,146359,10139,0,136220
STB-000179,2026-03-03,THB,SETTLED,23,111284,6718,4461,100105
STB-000180,2026-03-03,USD,SETTLED,19,181472,10025,0,171447
