date,live_gmv,direct_live_gmv,indirect_live_gmv,display_gpm,live_streams,gmv_live_streams,attributed_units,direct_units,indirect_units,attributed_sku_orders,direct_sku_orders,indirect_sku_orders,customers,live_ctr,live_ctor,live_views,avg_watch_duration
2026-04-11,0.0,0.0,0.0,0.0,14,0,0,0,0,0,0,0,0,0.039548,0.039548,7676,40.57
2026-04-12,0.0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,0.013269,0.013269,2598,21.31
2026-04-13,0.0,0.0,0.0,83.33,18,0,19,0,0,14,0,0,0,0.134907,0.134907,11343,51.02
2026-04-14,0.0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,0.094612,0.094612,3890,27.13
2026-04-15,0.0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,0.025891,0.025891,4041,27.76
2026-04-16,0.0,0.0,0.0,0.0,14,0,0,0,0,0,0,0,0,0.013474,0.013474,8239,42.29
2026-04-17,0.0,0.0,0.0,18.16,10,0,4,0,0,3,0,0,0,0.135206,0.135206,5335,32.73
2026-04-18,226.93,137.13,89.8,0.84,4,1,1,1,1,1,1,1,1,0.185264,0.185264,1596,15.87
2026-04-19,226.93,137.13,89.8,0.84,4,1,1,1,1,1,1,1,1,0.177079,0.177079,1618,16.0
2026-04-20,0.0,0.0,0.0,0.0,16,0,0,0,0,0,0,0,0,0.023854,0.023854,9707,46.57
2026-04-21,865.52,676.68,188.84,10.56,8,1,2,3,1,2,2,1,2,0.174622,0.174622,4126,28.1
2026-04-22,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,0.072922,0.072922,1796,17.05
2026-04-23,0.0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,0.019473,0.019473,3516,25.55
2026-04-24,4332.67,3776.08,556.59,71.42,17,2,17,12,2,13,16,2,13,0.198836,0.198836,10498,48.75
2026-04-25,0.0,0.0,0.0,20.79,11,0,5,0,0,4,0,0,0,0.127571,0.127571,5697,34.02
2026-04-26,1378.9,1119.65,259.25,18.79,10,1,5,4,1,3,4,1,3,0.195955,0.195955,5423,33.05
2026-04-27,0.0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,0,0.068371,0.068371,6480,36.71
2026-04-28,137.13,137.13,0.0,0.84,4,1,1,1,0,1,1,0,1,0.154258,0.154258,1561,15.66
2026-04-29,0.0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,0.044005,0.044005,3902,27.18
2026-04-30,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,0.122795,0.122795,2040,18.42
2026-05-01,0.0,0.0,0.0,0.0,19,0,0,0,0,0,0,0,0,0.085322,0.085322,11844,52.32
2026-05-02,1087.46,866.77,220.69,14.06,9,1,3,3,1,2,3,1,2,0.170355,0.170355,4719,30.43
2026-05-03,801.66,801.66,0.0,12.85,9,1,3,3,0,2,3,0,2,0.147982,0.147982,4523,29.68
2026-05-04,0.0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,0.035199,0.035199,2571,21.18
2026-05-05,1635.34,1344.47,290.87,23.05,11,1,6,5,1,4,5,1,4,0.178388,0.178388,5990,35.05
2026-05-06,925.78,728.04,197.74,11.5,9,1,3,3,1,2,3,1,2,0.16963,0.16963,4293,28.77
2026-05-07,0.0,0.0,0.0,0.0,14,0,0,0,0,0,0,0,0,0.036443,0.036443,7853,41.11
2026-05-08,0.0,0.0,0.0,0.0,19,0,0,0,0,0,0,0,0,0.109742,0.109742,14118,57.98
2026-05-09,0.0,0.0,0.0,0.0,15,0,0,0,0,0,0,0,0,0.049209,0.049209,9077,44.77
2026-05-10,0.0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,0.072614,0.072614,4240,28.56
2026-05-11,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,0.073272,0.073272,1760,16.84
2026-05-12,0.0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,0.084856,0.084856,4931,31.24
2026-05-13,0.0,0.0,0.0,0.0,19,0,0,0,0,0,0,0,0,0.101282,0.101282,15788,61.9
2026-05-14,0.0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,0.058371,0.058371,4613,30.03
2026-05-15,180.09,180.09,0.0,1.83,5,1,1,1,0,1,1,0,1,0.148629,0.148629,2013,18.27
2026-05-16,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,0.077129,0.077129,2115,18.83
2026-05-17,0.0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,0.053452,0.053452,2713,21.87
2026-05-18,4182.56,3638.77,543.79,68.61,17,2,16,12,2,12,15,2,12,0.171699,0.171699,10288,48.18
2026-05-19,226.93,137.13,89.8,0.84,3,1,1,1,1,1,1,1,1,0.167165,0.167165,993,15.0
2026-05-20,226.93,137.13,89.8,1.02,4,1,1,1,1,1,1,1,1,0.19409,0.19409,1696,16.46
2026-05-21,0.0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,0.021194,0.021194,5237,32.37
2026-05-22,481.98,355.98,126.0,4.83,6,1,1,1,1,1,1,1,1,0.175127,0.175127,2912,22.82
2026-05-23,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,0.027106,0.027106,1486,15.19
2026-05-24,0.0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,0.082341,0.082341,5174,32.14
2026-05-25,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0.125103,0.125103,7011,38.46
2026-05-26,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0.126001,0.126001,7543,40.15
2026-05-27,0.0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,0.033949,0.033949,3341,24.78
2026-05-28,0.0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,0.040186,0.040186,3766,26.61
2026-05-29,1302.05,1052.67,249.38,17.53,10,1,4,4,1,3,4,1,3,0.184268,0.184268,5244,32.4
2026-05-30,0.0,0.0,0.0,1.97,5,0,1,0,0,1,0,0,0,0.141248,0.141248,2066,18.56
2026-05-31,238.54,148.74,89.8,1.31,4,1,1,1,1,1,1,1,1,0.18518,0.18518,1816,17.16
2026-06-01,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.01082,0.01082,0,0.0
2026-06-02,0.0,0.0,0.0,0.0,16,0,0,0,0,0,0,0,0,0.055253,0.055253,9763,46.72
2026-06-03,0.0,0.0,0.0,0.0,14,0,0,0,0,0,0,0,0,0.057379,0.057379,7976,41.49
2026-06-04,0.0,0.0,0.0,0.0,16,0,0,0,0,0,0,0,0,0.056718,0.056718,9469,45.89
2026-06-05,1797.62,1487.64,309.98,25.79,12,1,6,6,1,5,6,1,5,0.162709,0.162709,6328,36.2
2026-06-06,1712.26,1412.26,300.0,24.35,11,1,6,5,1,4,6,1,4,0.1978,0.1978,6152,35.6
2026-06-07,0.0,0.0,0.0,10.44,8,0,2,0,0,2,0,0,0,0.137733,0.137733,4103,28.01
2026-06-08,536.12,536.12,0.0,8.02,8,1,2,2,0,1,2,0,1,0.157735,0.157735,3636,26.06
2026-06-09,0.0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,0.01555,0.01555,4524,29.68
2026-06-10,0.0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,0.01408,0.01408,4126,28.1
2026-06-11,0.0,0.0,0.0,0.0,11,0,0,0,0,0,0,0,0,0.018439,0.018439,6060,35.29
2026-06-12,0.0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,0.012845,0.012845,2541,21.03
2026-06-13,0.0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,0.037586,0.037586,5322,32.68
2026-06-14,0.0,0.0,0.0,64.15,16,0,15,0,0,11,0,0,0,0.130936,0.130936,9947,47.24
2026-06-15,0.0,0.0,0.0,0.0,19,0,0,0,0,0,0,0,0,0.047483,0.047483,15547,61.34
2026-06-16,654.17,654.17,0.0,10.15,8,1,2,3,0,2,2,0,2,0.153228,0.153228,4051,27.79
2026-06-17,0.0,0.0,0.0,0.0,19,0,0,0,0,0,0,0,0,0.027021,0.027021,14488,58.87
2026-06-18,606.65,458.8,147.85,6.64,7,1,1,2,1,1,1,1,1,0.173822,0.173822,3341,24.78
2026-06-19,0.0,0.0,0.0,3.34,6,0,1,0,0,1,0,0,0,0.137273,0.137273,2504,20.85
2026-06-20,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,0.099014,0.099014,2219,19.38
2026-06-21,0.0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,0.096581,0.096581,5265,32.47
2026-06-22,0.0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,0.078167,0.078167,4541,29.75
2026-06-23,0.0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,0.091744,0.091744,2622,21.43
2026-06-24,3154.55,3154.55,0.0,58.77,16,2,14,10,0,10,13,0,10,0.153542,0.153542,9520,46.04
2026-06-25,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0.014616,0.014616,7655,40.5
2026-06-26,0.0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,0.067462,0.067462,3227,24.27
2026-06-27,0.0,0.0,0.0,0.0,14,0,0,0,0,0,0,0,0,0.069766,0.069766,7740,40.76
2026-06-28,408.74,296.46,112.28,3.8,6,1,1,1,1,1,1,1,1,0.193342,0.193342,2637,21.5
2026-06-29,0.0,0.0,0.0,28.37,12,0,7,0,0,5,0,0,0,0.138961,0.138961,6632,37.22
2026-06-30,5807.75,5132.82,674.93,99.5,19,2,23,15,2,17,21,2,17,0.194164,0.194164,12403,53.76
2026-07-01,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,0.026359,0.026359,2302,19.81
2026-07-02,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0.067292,0.067292,7543,40.15
2026-07-03,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,0.080003,0.080003,2059,18.52
2026-07-04,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0.029274,0.029274,1275,15.0
2026-07-05,1784.01,1475.61,308.4,25.56,12,1,6,6,1,5,6,1,5,0.183615,0.183615,6300,36.11
2026-07-06,0.0,0.0,0.0,0.0,19,0,0,0,0,0,0,0,0,0.124233,0.124233,13958,57.6
2026-07-07,0.0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,0.079169,0.079169,4911,31.16
2026-07-08,0.0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,0.024645,0.024645,3386,24.98
2026-07-09,572.77,572.77,0.0,8.68,8,0,2,2,0,1,2,0,1,0.141961,0.141961,3769,26.63
2026-07-10,0.0,0.0,0.0,0.0,18,0,0,0,0,0,0,0,0,0.058309,0.058309,11409,51.19
2026-07-11,0.0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,0.02143,0.02143,4801,30.74
2026-07-12,755.74,583.68,172.06,8.88,8,1,2,2,1,1,2,1,1,0.183558,0.183558,3808,26.79
2026-07-13,0.0,0.0,0.0,0.0,11,0,0,0,0,0,0,0,0,0.0489,0.0489,5734,34.15
2026-07-14,566.35,566.35,0.0,8.56,8,1,2,2,0,1,2,0,1,0.154646,0.154646,3746,26.53
2026-07-15,0.0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,0.093183,0.093183,4569,29.86
2026-07-16,0.0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,0.038294,0.038294,3345,24.8
2026-07-17,0.0,0.0,0.0,2.31,5,0,1,0,0,1,0,0,0,0.134684,0.134684,2181,19.18
2026-07-18,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0.083875,0.083875,7478,39.95
2026-07-19,0.0,0.0,0.0,0.0,15,0,0,0,0,0,0,0,0,0.067369,0.067369,8489,43.04
2026-07-20,2660.87,2257.94,402.93,40.83,14,1,10,8,1,7,9,1,7,0.190837,0.190837,7938,41.38
2026-07-21,0.0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,0,0.095324,0.095324,6333,36.22
2026-07-22,1507.46,1232.12,275.34,20.91,11,1,5,5,1,4,5,1,4,0.167177,0.167177,5713,34.08
2026-07-23,0.0,0.0,0.0,0.0,11,0,0,0,0,0,0,0,0,0.087172,0.087172,5806,34.41
2026-07-24,0.0,0.0,0.0,0.0,16,0,0,0,0,0,0,0,0,0.089897,0.089897,9315,45.45
2026-07-25,172.38,172.38,0.0,1.7,5,1,1,1,0,1,1,0,1,0.155156,0.155156,1966,18.01
2026-07-26,1307.9,1057.76,250.14,17.62,10,1,4,4,1,3,4,1,3,0.179645,0.179645,5258,32.45
2026-07-27,0.0,0.0,0.0,0.0,11,0,0,0,0,0,0,0,0,0.043592,0.043592,5742,34.18
2026-07-28,0.0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,0.055848,0.055848,3897,27.16
2026-07-29,3379.94,2907.62,472.32,53.79,15,2,13,10,2,10,12,2,10,0.176715,0.176715,9108,44.86
2026-07-30,0.0,0.0,0.0,0.0,14,0,0,0,0,0,0,0,0,0.084492,0.084492,8406,42.79
2026-07-31,0.0,0.0,0.0,0.0,18,0,0,0,0,0,0,0,0,0.111955,0.111955,11098,50.37
2026-08-01,0.0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,0.090161,0.090161,5405,32.98
2026-08-02,0.0,0.0,0.0,0.0,15,0,0,0,0,0,0,0,0,0.041177,0.041177,8538,43.19
2026-08-03,318.09,318.09,0.0,4.17,6,1,1,1,0,1,1,0,1,0.149314,0.149314,2739,22.0
2026-08-04,0.0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,0,0.083688,0.083688,6448,36.61
2026-08-05,660.9,660.9,0.0,10.28,8,0,2,3,0,2,2,0,2,0.143028,0.143028,4073,27.89
2026-08-06,1186.96,1186.96,0.0,20.06,11,0,5,5,0,4,5,0,4,0.143526,0.143526,5598,33.67
2026-08-07,2313.88,2313.88,0.0,41.93,14,2,10,8,0,8,10,0,8,0.158952,0.158952,8045,41.7
2026-08-08,0.0,0.0,0.0,0.0,19,0,0,0,0,0,0,0,0,0.062253,0.062253,15257,60.67
2026-08-09,4948.0,4340.52,607.48,83.03,18,2,19,14,2,14,18,2,14,0.178182,0.178182,11323,50.96
2026-08-10,457.71,336.17,121.54,4.49,6,1,1,1,1,1,1,1,1,0.196474,0.196474,2823,22.4
2026-08-11,1149.24,1149.24,0.0,19.34,11,1,5,4,0,3,5,0,3,0.150488,0.150488,5501,33.33
2026-08-12,0.0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,0.070153,0.070153,4697,30.35
