date,ad_spend,sku_orders,cost_per_order,gross_revenue,roi,currency
2025-12-05,0.0,1,0.0,0.0,0.0,THB
2025-12-06,3332.8,30,111.09,10995.92,3.2993,THB
2025-12-07,0.0,1,0.0,0.0,0.0,THB
2025-12-08,0.0,1,0.0,0.0,0.0,THB
2025-12-09,0.0,1,0.0,0.0,0.0,THB
2025-12-10,0.0,1,0.0,0.0,0.0,THB
2025-12-11,0.0,1,0.0,0.0,0.0,THB
2025-12-12,0.0,1,0.0,0.0,0.0,THB
2025-12-13,0.0,1,0.0,0.0,0.0,THB
2025-12-14,0.0,1,0.0,0.0,0.0,THB
2025-12-15,3488.94,32,109.03,11629.83,3.3333,THB
2025-12-16,0.0,1,0.0,0.0,0.0,THB
2025-12-17,0.0,1,0.0,0.0,0.0,THB
2025-12-18,0.0,1,0.0,0.0,0.0,THB
2025-12-19,0.0,1,0.0,0.0,0.0,THB
2025-12-20,0.0,1,0.0,0.0,0.0,THB
2025-12-21,0.0,1,0.0,0.0,0.0,THB
2025-12-22,0.0,1,0.0,0.0,0.0,THB
2025-12-23,0.0,1,0.0,0.0,0.0,THB
2025-12-24,0.0,1,0.0,0.0,0.0,THB
2025-12-25,0.0,1,0.0,0.0,0.0,THB
2025-12-26,0.0,1,0.0,0.0,0.0,THB
2025-12-27,0.0,1,0.0,0.0,0.0,THB
2025-12-28,0.0,1,0.0,0.0,0.0,THB
2025-12-29,0.0,1,0.0,0.0,0.0,THB
2025-12-30,1950.89,13,150.07,5708.5,2.9261,THB
2025-12-31,0.0,1,0.0,0.0,0.0,THB
2026-01-01,0.0,1,0.0,0.0,0.0,THB
2026-01-02,0.0,1,0.0,0.0,0.0,THB
2026-01-03,0.0,1,0.0,0.0,0.0,THB
2026-01-04,0.0,1,0.0,0.0,0.0,THB
2026-01-05,0.0,1,0.0,0.0,0.0,THB
2026-01-06,0.0,1,0.0,0.0,0.0,THB
2026-01-07,0.0,1,0.0,0.0,0.0,THB
2026-01-08,3281.76,29,113.16,10790.11,3.2879,THB
2026-01-09,0.0,1,0.0,0.0,0.0,THB
2026-01-10,2013.26,14,143.8,5932.68,2.9468,THB
2026-01-11,0.0,1,0.0,0.0,0.0,THB
2026-01-12,0.0,1,0.0,0.0,0.0,THB
2026-01-13,0.0,1,0.0,0.0,0.0,THB
2026-01-14,0.0,1,0.0,0.0,0.0,THB
2026-01-15,0.0,1,0.0,0.0,0.0,THB
2026-01-16,3532.15,32,110.38,11806.42,3.3426,THB
2026-01-17,0.0,1,0.0,0.0,0.0,THB
2026-01-18,0.0,1,0.0,0.0,0.0,THB
2026-01-19,0.0,1,0.0,0.0,0.0,THB
2026-01-20,0.0,1,0.0,0.0,0.0,THB
2026-01-21,0.0,1,0.0,0.0,0.0,THB
2026-01-22,0.0,1,0.0,0.0,0.0,THB
2026-01-23,0.0,1,0.0,0.0,0.0,THB
2026-01-24,0.0,1,0.0,0.0,0.0,THB
2026-01-25,0.0,1,0.0,0.0,0.0,THB
2026-01-26,0.0,1,0.0,0.0,0.0,THB
2026-01-27,0.0,1,0.0,0.0,0.0,THB
2026-01-28,0.0,1,0.0,0.0,0.0,THB
2026-01-29,0.0,1,0.0,0.0,0.0,THB
2026-01-30,0.0,1,0.0,0.0,0.0,THB
2026-01-31,0.0,1,0.0,0.0,0.0,THB
2026-02-01,0.0,1,0.0,0.0,0.0,THB
2026-02-02,0.0,1,0.0,0.0,0.0,THB
2026-02-03,0.0,1,0.0,0.0,0.0,THB
2026-02-04,0.0,1,0.0,0.0,0.0,THB
2026-02-05,0.0,1,0.0,0.0,0.0,THB
2026-02-06,0.0,1,0.0,0.0,0.0,THB
2026-02-07,2390.87,18,132.83,7322.14,3.0625,THB
2026-02-08,0.0,1,0.0,0.0,0.0,THB
2026-02-09,4878.84,52,93.82,17532.94,3.5937,THB
2026-02-10,0.0,1,0.0,0.0,0.0,THB
2026-02-11,0.0,1,0.0,0.0,0.0,THB
2026-02-12,0.0,1,0.0,0.0,0.0,THB
2026-02-13,0.0,1,0.0,0.0,0.0,THB
2026-02-14,3571.15,33,108.22,11966.18,3.3508,THB
2026-02-15,0.0,1,0.0,0.0,0.0,THB
2026-02-16,0.0,1,0.0,0.0,0.0,THB
2026-02-17,0.0,1,0.0,0.0,0.0,THB
2026-02-18,0.0,1,0.0,0.0,0.0,THB
2026-02-19,0.0,1,0.0,0.0,0.0,THB
2026-02-20,0.0,1,0.0,0.0,0.0,THB
2026-02-21,2831.74,23,123.12,9007.65,3.181,THB
2026-02-22,0.0,1,0.0,0.0,0.0,THB
2026-02-23,0.0,1,0.0,0.0,0.0,THB
2026-02-24,0.0,1,0.0,0.0,0.0,THB
2026-02-25,0.0,1,0.0,0.0,0.0,THB
2026-02-26,0.0,1,0.0,0.0,0.0,THB
2026-02-27,0.0,1,0.0,0.0,0.0,THB
2026-02-28,0.0,1,0.0,0.0,0.0,THB
2026-03-01,3972.3,38,104.53,13631.94,3.4317,THB
2026-03-02,0.0,1,0.0,0.0,0.0,THB
2026-03-03,0.0,1,0.0,0.0,0.0,THB
2026-03-04,0.0,1,0.0,0.0,0.0,THB
2026-03-05,0.0,1,0.0,0.0,0.0,THB
2026-03-06,0.0,1,0.0,0.0,0.0,THB
2026-03-07,3285.72,29,113.3,10806.06,3.2888,THB
2026-03-08,0.0,1,0.0,0.0,0.0,THB
2026-03-09,0.0,1,0.0,0.0,0.0,THB
2026-03-10,0.0,1,0.0,0.0,0.0,THB
2026-03-11,0.0,1,0.0,0.0,0.0,THB
2026-03-12,0.0,1,0.0,0.0,0.0,THB
2026-03-13,0.0,1,0.0,0.0,0.0,THB
2026-03-14,0.0,1,0.0,0.0,0.0,THB
2026-03-15,0.0,1,0.0,0.0,0.0,THB
2026-03-16,0.0,1,0.0,0.0,0.0,THB
2026-03-17,0.0,1,0.0,0.0,0.0,THB
2026-03-18,0.0,1,0.0,0.0,0.0,THB
2026-03-19,0.0,1,0.0,0.0,0.0,THB
2026-03-20,0.0,1,0.0,0.0,0.0,THB
2026-03-21,4678.3,49,95.48,16654.75,3.56,THB
2026-03-22,2467.08,19,129.85,7608.9,3.0842,THB
2026-03-23,0.0,1,0.0,0.0,0.0,THB
2026-03-24,0.0,1,0.0,0.0,0.0,THB
2026-03-25,0.0,1,0.0,0.0,0.0,THB
2026-03-26,0.0,1,0.0,0.0,0.0,THB
2026-03-27,0.0,1,0.0,0.0,0.0,THB
2026-03-28,2080.36,14,148.6,6175.63,2.9685,THB
2026-03-29,0.0,1,0.0,0.0,0.0,THB
2026-03-30,0.0,1,0.0,0.0,0.0,THB
2026-03-31,3047.99,26,117.23,9856.82,3.2339,THB
2026-04-01,0.0,1,0.0,0.0,0.0,THB
2026-04-02,2770.31,22,125.92,8769.01,3.1654,THB
2026-04-03,0.0,1,0.0,0.0,0.0,THB
2026-04-04,0.0,1,0.0,0.0,0.0,THB
2026-04-05,0.0,1,0.0,0.0,0.0,THB
2026-04-06,0.0,1,0.0,0.0,0.0,THB
2026-04-07,0.0,1,0.0,0.0,0.0,THB
2026-04-08,0.0,1,0.0,0.0,0.0,THB
2026-04-09,0.0,1,0.0,0.0,0.0,THB
2026-04-10,5438.32,52,104.58,20025.3,3.6823,THB
2026-04-11,0.0,1,0.0,0.0,0.0,THB
2026-04-12,0.0,1,0.0,0.0,0.0,THB
2026-04-13,0.0,1,0.0,0.0,0.0,THB
2026-04-14,0.0,1,0.0,0.0,0.0,THB
2026-04-15,0.0,1,0.0,0.0,0.0,THB
2026-04-16,0.0,1,0.0,0.0,0.0,THB
2026-04-17,0.0,1,0.0,0.0,0.0,THB
2026-04-18,0.0,1,0.0,0.0,0.0,THB
2026-04-19,0.0,1,0.0,0.0,0.0,THB
2026-04-20,0.0,1,0.0,0.0,0.0,THB
2026-04-21,0.0,1,0.0,0.0,0.0,THB
2026-04-22,0.0,1,0.0,0.0,0.0,THB
2026-04-23,0.0,1,0.0,0.0,0.0,THB
2026-04-24,0.0,1,0.0,0.0,0.0,THB
2026-04-25,0.0,1,0.0,0.0,0.0,THB
2026-04-26,2781.94,23,120.95,8814.12,3.1683,THB
2026-04-27,0.0,1,0.0,0.0,0.0,THB
2026-04-28,0.0,1,0.0,0.0,0.0,THB
2026-04-29,0.0,1,0.0,0.0,0.0,THB
2026-04-30,0.0,1,0.0,0.0,0.0,THB
2026-05-01,0.0,1,0.0,0.0,0.0,THB
2026-05-02,0.0,1,0.0,0.0,0.0,THB
2026-05-03,0.0,1,0.0,0.0,0.0,THB
2026-05-04,0.0,1,0.0,0.0,0.0,THB
2026-05-05,2477.26,19,130.38,7647.34,3.087,THB
2026-05-06,0.0,1,0.0,0.0,0.0,THB
2026-05-07,0.0,1,0.0,0.0,0.0,THB
2026-05-08,0.0,1,0.0,0.0,0.0,THB
2026-05-09,3486.72,32,108.96,11620.78,3.3329,THB
2026-05-10,0.0,1,0.0,0.0,0.0,THB
2026-05-11,0.0,1,0.0,0.0,0.0,THB
2026-05-12,0.0,1,0.0,0.0,0.0,THB
2026-05-13,0.0,1,0.0,0.0,0.0,THB
2026-05-14,0.0,1,0.0,0.0,0.0,THB
2026-05-15,0.0,1,0.0,0.0,0.0,THB
2026-05-16,0.0,1,0.0,0.0,0.0,THB
2026-05-17,0.0,1,0.0,0.0,0.0,THB
2026-05-18,0.0,1,0.0,0.0,0.0,THB
2026-05-19,0.0,1,0.0,0.0,0.0,THB
2026-05-20,0.0,1,0.0,0.0,0.0,THB
2026-05-21,0.0,1,0.0,0.0,0.0,THB
2026-05-22,3195.97,28,114.14,10445.81,3.2684,THB
2026-05-23,2710.41,22,123.2,8537.47,3.1499,THB
2026-05-24,0.0,1,0.0,0.0,0.0,THB
2026-05-25,0.0,1,0.0,0.0,0.0,THB
2026-05-26,0.0,1,0.0,0.0,0.0,THB
2026-05-27,0.0,1,0.0,0.0,0.0,THB
2026-05-28,0.0,1,0.0,0.0,0.0,THB
2026-05-29,0.0,1,0.0,0.0,0.0,THB
2026-05-30,0.0,1,0.0,0.0,0.0,THB
2026-05-31,4453.22,46,96.81,15679.1,3.5208,THB
2026-06-01,0.0,1,0.0,0.0,0.0,THB
2026-06-02,0.0,1,0.0,0.0,0.0,THB
2026-06-03,0.0,1,0.0,0.0,0.0,THB
2026-06-04,0.0,1,0.0,0.0,0.0,THB
2026-06-05,0.0,1,0.0,0.0,0.0,THB
2026-06-06,0.0,1,0.0,0.0,0.0,THB
2026-06-07,0.0,1,0.0,0.0,0.0,THB
2026-06-08,0.0,1,0.0,0.0,0.0,THB
2026-06-09,0.0,1,0.0,0.0,0.0,THB
2026-06-10,4281.75,43,99.58,14943.23,3.49,THB
2026-06-11,0.0,1,0.0,0.0,0.0,THB
2026-06-12,0.0,1,0.0,0.0,0.0,THB
2026-06-13,0.0,1,0.0,0.0,0.0,THB
2026-06-14,0.0,1,0.0,0.0,0.0,THB
2026-06-15,0.0,1,0.0,0.0,0.0,THB
2026-06-16,0.0,1,0.0,0.0,0.0,THB
2026-06-17,0.0,1,0.0,0.0,0.0,THB
2026-06-18,0.0,1,0.0,0.0,0.0,THB
2026-06-19,3986.8,39,102.23,13692.91,3.4346,THB
2026-06-20,0.0,1,0.0,0.0,0.0,THB
2026-06-21,3895.43,37,105.28,13309.72,3.4168,THB
2026-06-22,0.0,1,0.0,0.0,0.0,THB
2026-06-23,0.0,1,0.0,0.0,0.0,THB
2026-06-24,0.0,1,0.0,0.0,0.0,THB
2026-06-25,0.0,1,0.0,0.0,0.0,THB
2026-06-26,0.0,1,0.0,0.0,0.0,THB
2026-06-27,0.0,1,0.0,0.0,0.0,THB
2026-06-28,0.0,1,0.0,0.0,0.0,THB
2026-06-29,0.0,1,0.0,0.0,0.0,THB
2026-06-30,0.0,1,0.0,0.0,0.0,THB
2026-07-01,0.0,1,0.0,0.0,0.0,THB
2026-07-02,0.0,1,0.0,0.0,0.0,THB
2026-07-03,0.0,1,0.0,0.0,0.0,THB
2026-07-04,0.0,1,0.0,0.0,0.0,THB
2026-07-05,0.0,1,0.0,0.0,0.0,THB
2026-07-06,0.0,1,0.0,0.0,0.0,THB
2026-07-07,0.0,1,0.0,0.0,0.0,THB
2026-07-08,0.0,1,0.0,0.0,0.0,THB
2026-07-09,0.0,1,0.0,0.0,0.0,THB
2026-07-10,0.0,1,0.0,0.0,0.0,THB
2026-07-11,0.0,1,0.0,0.0,0.0,THB
2026-07-12,0.0,1,0.0,0.0,0.0,THB
2026-07-13,0.0,1,0.0,0.0,0.0,THB
2026-07-14,2087.2,14,149.09,6200.5,2.9707,THB
2026-07-15,0.0,1,0.0,0.0,0.0,THB
2026-07-16,0.0,1,0.0,0.0,0.0,THB
2026-07-17,0.0,1,0.0,0.0,0.0,THB
2026-07-18,0.0,1,0.0,0.0,0.0,THB
2026-07-19,0.0,1,0.0,0.0,0.0,THB
2026-07-20,0.0,1,0.0,0.0,0.0,THB
2026-07-21,0.0,1,0.0,0.0,0.0,THB
2026-07-22,0.0,1,0.0,0.0,0.0,THB
2026-07-23,3902.24,37,105.47,13338.18,3.4181,THB
2026-07-24,0.0,1,0.0,0.0,0.0,THB
2026-07-25,0.0,1,0.0,0.0,0.0,THB
2026-07-26,0.0,1,0.0,0.0,0.0,THB
2026-07-27,0.0,1,0.0,0.0,0.0,THB
2026-07-28,0.0,1,0.0,0.0,0.0,THB
2026-07-29,0.0,1,0.0,0.0,0.0,THB
2026-07-30,0.0,1,0.0,0.0,0.0,THB
2026-07-31,0.0,1,0.0,0.0,0.0,THB
2026-08-01,0.0,1,0.0,0.0,0.0,THB
2026-08-02,2338.35,17,137.55,7125.75,3.0473,THB
2026-08-03,0.0,1,0.0,0.0,0.0,THB
2026-08-04,0.0,1,0.0,0.0,0.0,THB
2026-08-05,0.0,1,0.0,0.0,0.0,THB
2026-08-06,0.0,1,0.0,0.0,0.0,THB
2026-08-07,0.0,1,0.0,0.0,0.0,THB
2026-08-08,0.0,1,0.0,0.0,0.0,THB
2026-08-09,0.0,1,0.0,0.0,0.0,THB
2026-08-10,0.0,1,0.0,0.0,0.0,THB
2026-08-11,3530.73,32,110.34,11800.6,3.3423,THB
2026-08-12,0.0,1,0.0,0.0,0.0,THB
2026-08-13,4762.21,50,95.24,17021.21,3.5742,THB
