date,gmv,orders,customers,units_sold,refund_amount,sku_orders,revenue,page_views,visitors,conversion_rate,product_impressions,unique_product_impressions,product_clicks,unique_product_clicks,aov,live_creator_gmv,video_affiliate_gmv
2026-01-15,3851.32,13,13,14,405.3,13,4447.67,461,306,0.040397,9582,0,421,0,295.95,0.0,2578.02
2026-01-16,17010.66,48,44,49,1388.92,48,19490.63,1039,670,0.077532,26590,13671,1024,681,474.29,0.0,13445.09
2026-01-17,1565.58,6,6,6,191.86,6,1816.71,282,191,0.0179,5163,2821,245,177,222.32,0.0,917.34
2026-01-18,1042.45,4,4,4,136.76,4,1212.32,226,154,0.00774,3905,2155,192,140,195.35,0.0,575.07
2026-01-19,6198.2,20,20,21,601.48,20,7139.89,598,394,0.052292,13288,0,560,0,344.24,0.0,4451.11
2026-01-20,8312.67,26,25,27,767.23,26,9560.72,702,460,0.05963,16257,8512,667,454,377.86,0.0,6234.01
2026-01-21,18449.75,53,50,55,1573.15,53,21902.72,1127,725,0.08129,29483,15101,1120,741,497.46,0.0,13445.09
2026-01-22,4249.72,14,14,15,439.8,14,4905.18,487,323,0.042858,10253,0,446,0,305.35,0.0,2886.37
2026-01-23,9360.36,29,28,30,846.57,29,10758.95,749,489,0.062598,17639,9208,716,486,392.37,0.0,7143.83
2026-01-24,18449.75,53,50,57,1615.51,53,21902.72,1147,738,0.082092,30140,15425,1142,754,502.55,0.0,13445.09
2026-01-25,7108.97,23,22,24,673.9,23,8183.08,645,423,0.05572,14600,7675,607,416,359.55,0.0,5209.57
2026-01-26,6341.06,20,20,22,612.96,20,7303.57,606,399,0.052862,13498,7116,567,390,346.74,0.0,4569.05
2026-01-27,2879.86,10,10,11,318.41,10,3330.94,393,263,0.033132,7848,4221,354,250,269.84,268.18,1846.68
2026-01-28,672.49,2,3,3,102.73,2,783.94,177,122,0.0,2890,1613,148,109,169.93,87.02,347.55
2026-01-29,8502.16,26,25,28,781.7,26,9777.5,711,465,0.060194,16511,8640,676,460,380.58,0.0,6397.37
2026-01-30,6949.26,22,22,23,661.33,22,8000.2,637,418,0.055151,14374,7561,599,411,356.97,542.39,5075.48
2026-01-31,3229.66,11,12,12,350.2,11,3733.25,419,279,0.035997,8491,4554,379,266,279.85,0.0,2106.38
2026-02-01,5350.15,18,18,19,532.38,18,6167.81,552,364,0.048614,12010,6359,512,354,328.52,0.0,3759.51
2026-02-02,2759.89,10,10,11,307.35,10,3192.89,384,257,0.032068,7622,4104,345,244,266.22,0.0,1758.65
2026-02-03,1638.13,6,6,7,199.23,6,1900.43,289,195,0.019032,5327,2906,252,181,225.55,0.0,966.31
2026-02-04,7401.13,23,23,25,696.79,23,8517.57,659,432,0.056726,15010,7882,622,425,364.18,570.38,5456.03
2026-02-05,1497.33,5,6,6,184.88,5,1737.92,275,186,0.016786,5008,2739,239,172,219.19,0.0,871.57
2026-02-06,15750.46,45,42,46,1303.1,45,18054.06,996,643,0.075608,25220,0,978,0,462.85,0.0,12980.68
2026-02-07,5694.42,19,18,20,560.64,19,6562.52,571,377,0.050173,12536,6627,532,367,335.09,0.0,4038.45
2026-02-08,18449.75,53,50,59,1899.35,53,21902.72,1781,1340,0.110478,65757,0,1728,0,546.34,0.0,13445.09
2026-02-09,14737.21,42,40,44,1233.24,42,16898.55,960,621,0.073945,24094,12433,940,628,453.18,0.0,12026.97
2026-02-10,18449.75,53,50,59,1899.35,53,21902.72,1549,985,0.095838,43976,22193,1587,1029,546.34,1988.73,13445.09
2026-02-11,2546.68,9,9,10,287.5,9,2947.5,368,246,0.030059,7212,3891,328,233,259.5,0.0,1603.61
2026-02-12,2026.73,7,8,8,237.81,7,2348.57,325,218,0.024351,6165,3346,286,205,241.34,202.42,1233.81
2026-02-13,3203.91,11,11,12,347.88,11,3703.63,417,278,0.035797,8444,4530,377,265,279.14,292.06,2087.11
2026-02-14,1408.72,5,6,6,175.73,5,1635.62,266,180,0.015262,4802,2630,230,166,214.98,0.0,812.62
2026-02-15,4402.22,15,15,16,452.86,15,5080.26,496,329,0.043739,10504,0,456,0,308.79,0.0,3005.57
2026-02-16,5230.06,17,17,18,522.45,17,6030.08,545,360,0.048047,11824,6265,506,350,326.16,0.0,3662.82
2026-02-17,14919.09,43,40,44,1245.84,43,17105.99,967,625,0.074252,24298,12534,947,632,454.95,0.0,12197.46
2026-02-18,5238.5,17,17,18,523.15,17,6039.77,546,360,0.048087,11838,0,506,0,326.33,0.0,0.0
2026-02-19,9070.64,28,27,29,824.79,28,10427.68,737,481,0.061812,17262,0,703,0,388.48,0.0,6890.65
2026-02-20,6219.77,20,20,21,603.22,20,7164.6,599,394,0.052379,13320,7026,561,386,344.62,0.0,4468.89
2026-02-21,5232.71,17,17,18,522.67,17,6033.13,545,360,0.048059,11829,6267,506,350,326.21,0.0,3664.95
2026-02-22,9198.07,28,27,29,834.38,28,10573.39,742,485,0.06216,17428,0,709,0,390.2,0.0,7001.86
2026-02-23,0.0,0,0,0,194.32,0,1844.54,284,192,0.018282,5218,0,248,0,223.4,0.0,0.0
2026-02-24,17315.55,49,45,50,1409.52,49,19838.1,1049,676,0.077976,26916,13833,1035,687,476.97,0.0,13445.09
2026-02-25,3057.57,11,11,12,334.64,11,3535.35,407,271,0.034628,8177,4392,367,258,275.03,0.0,1978.06
2026-02-26,3252.76,11,12,12,352.28,11,3759.8,421,280,0.036175,8533,0,380,0,280.49,0.0,2123.67
2026-02-27,0.0,0,0,0,917.57,0,11850.64,790,515,0.065027,18856,0,759,0,404.67,0.0,0.0
2026-02-28,5100.48,17,17,18,511.69,17,5881.47,538,355,0.047419,11622,6161,498,345,323.57,0.0,3558.86
2026-03-01,721.44,3,3,3,102.73,3,840.68,184,127,0.0,3033,1690,154,114,173.77,88.31,376.77
2026-03-02,738.23,3,3,3,102.73,3,860.13,187,128,0.0,3081,1716,156,115,175.05,0.0,386.87
2026-03-03,13453.5,39,37,40,1143.52,39,15434.01,914,592,0.071667,22631,0,890,0,440.26,0.0,10832.61
2026-03-04,3363.62,12,12,13,362.22,12,3887.24,428,285,0.037013,8731,4678,388,272,283.49,0.0,2206.95
2026-03-05,874.18,3,4,4,118.09,3,1017.6,205,140,0.003343,3461,1918,173,127,184.72,0.0,469.79
2026-03-06,2595.58,9,10,10,292.07,9,3003.78,372,249,0.030534,7307,0,332,0,261.08,0.0,1639.0
2026-03-07,15272.9,44,41,45,1270.27,44,17509.5,979,633,0.074838,24692,12730,960,640,458.34,1017.24,12530.01
2026-03-08,5673.34,19,18,20,558.92,19,6538.35,570,376,0.05008,12504,6611,531,366,334.7,0.0,4021.3
2026-03-09,5238.51,17,17,18,523.15,17,6039.78,546,360,0.048087,11838,6271,506,350,326.33,432.74,3669.62
2026-03-10,6989.31,22,22,23,664.48,22,8046.06,639,419,0.055295,14431,7589,601,412,357.62,0.0,5109.06
2026-03-11,696.34,2,3,3,102.73,2,811.59,181,124,0.0,2960,1651,151,112,171.83,0.0,361.75
2026-03-12,3072.91,11,11,12,336.03,11,3552.99,408,272,0.034753,8206,0,368,0,275.46,0.0,1989.45
2026-03-13,1074.22,4,4,4,140.22,4,1249.06,229,156,0.00849,3986,2199,196,143,197.23,0.0,595.24
2026-03-14,18449.75,52,48,53,1493.6,52,21267.06,1089,702,0.079724,28241,14488,1079,715,487.67,0.0,13445.09
2026-03-15,4182.04,14,14,15,433.98,14,4827.48,482,320,0.042457,10140,5403,442,308,303.8,0.0,2833.68
2026-03-16,3904.36,13,13,14,409.93,13,4508.59,465,309,0.040739,9673,5163,424,296,297.24,0.0,2618.81
2026-03-17,1562.75,6,6,6,191.58,6,1813.44,282,190,0.017855,5157,0,245,0,222.19,0.0,915.43
2026-03-18,6153.75,20,20,21,597.9,20,7088.96,596,392,0.052112,13222,6976,557,383,343.45,0.0,4414.49
2026-03-19,3587.18,12,13,13,382.09,12,4144.19,444,295,0.038621,9126,4881,403,283,289.35,0.0,2376.13
2026-03-20,9543.67,29,28,30,860.29,29,10968.53,757,494,0.063083,17875,0,725,0,394.8,0.0,7304.62
2026-03-21,18449.75,53,50,59,1890.75,53,21902.72,1273,815,0.086839,34340,17490,1279,840,533.76,0.0,13445.09
2026-03-22,12067.8,36,34,37,1045.01,36,13852.29,861,559,0.068949,21003,10893,834,561,425.33,0.0,9562.17
2026-03-23,3515.45,12,12,13,375.74,12,4061.76,439,292,0.038116,9000,4817,398,279,287.49,0.0,2321.67
2026-03-24,845.88,3,3,3,114.89,3,984.84,201,138,0.002521,3383,1877,170,125,182.79,0.0,452.36
2026-03-25,4490.5,15,15,16,460.38,15,5181.59,502,332,0.044235,10649,5663,461,321,310.74,0.0,3074.84
2026-03-26,18449.75,53,50,59,1899.35,53,21902.72,1405,897,0.091369,38892,19717,1426,930,546.34,0.0,13445.09
2026-03-27,4030.78,14,14,15,420.91,14,4653.79,473,314,0.041536,9887,5273,433,302,300.26,0.0,2716.36
2026-03-28,1051.57,4,4,4,137.75,4,1222.87,227,154,0.007958,3929,2168,193,141,195.9,0.0,580.85
2026-03-29,1139.08,4,5,5,147.24,4,1324.06,237,161,0.009954,4150,2285,203,148,200.94,0.0,636.69
2026-03-30,1705.47,6,7,7,206.02,6,1978.13,295,199,0.020039,5476,2985,258,186,228.45,0.0,1012.05
2026-03-31,14782.89,42,40,44,1236.4,42,16950.65,962,622,0.074023,24145,12459,941,629,453.63,0.0,12069.76
2026-04-01,486.3,2,2,2,102.73,2,586.49,121,84,0.0,1789,1016,97,74,163.59,0.0,233.61
2026-04-02,796.12,3,3,3,109.22,3,927.2,195,133,0.001007,3245,1803,164,120,179.3,95.6,421.92
2026-04-03,4949.87,16,16,17,499.12,16,5708.71,529,350,0.04667,11385,0,489,0,320.51,0.0,3438.51
2026-04-04,1912.4,7,7,8,226.6,7,2216.78,314,212,0.0229,5924,3220,277,198,236.92,0.0,1154.25
2026-04-05,642.43,2,3,3,102.73,2,749.08,173,119,0.0,2801,0,144,0,167.48,0.0,329.75
2026-04-06,4854.79,16,16,17,491.16,16,5599.63,523,346,0.046185,11235,5963,483,335,318.54,0.0,3362.82
2026-04-07,7941.17,25,24,26,738.69,25,9135.66,685,449,0.058487,15754,8258,649,443,372.42,0.0,5915.33
2026-04-08,8939.61,28,27,29,814.9,28,10277.84,731,478,0.061448,17090,8932,697,473,386.69,0.0,6776.54
2026-04-09,2389.44,9,9,9,272.67,9,2766.45,355,238,0.028466,6903,0,316,0,254.3,0.0,1490.48
2026-04-10,2901.1,10,11,11,320.35,10,3355.37,395,264,0.033315,7888,0,355,0,270.47,0.0,1862.32
2026-04-11,4961.74,16,16,17,500.12,16,5722.32,530,350,0.04673,11404,6050,490,339,320.75,414.37,3447.98
2026-04-12,1096.36,4,4,4,142.62,4,1274.66,232,158,0.008999,4043,2228,198,144,198.51,0.0,609.35
2026-04-13,889.37,3,4,4,119.8,3,1035.19,207,141,0.003773,3502,1940,175,128,185.73,104.51,479.18
2026-04-14,0.0,0,0,0,102.73,0,742.6,0,0,0.0,2784,0,0,0,167.01,0.0,0.0
2026-04-15,13578.91,39,37,41,1152.35,39,15577.12,918,595,0.071899,22776,11778,895,599,441.56,0.0,10948.57
2026-04-16,9787.0,30,29,31,878.43,30,11246.68,768,501,0.063712,18187,9483,736,498,397.97,0.0,7518.75
2026-04-17,12924.09,38,36,39,1106.1,38,14829.82,894,580,0.070663,22016,11399,869,583,434.69,0.0,10344.84
2026-04-18,6726.92,22,21,23,643.73,22,7745.57,626,411,0.054339,14057,7400,588,403,353.3,0.0,4889.55
2026-04-19,6426.02,21,20,22,619.76,21,7400.9,610,401,0.053195,13622,7179,572,393,348.21,509.5,4639.38
2026-04-20,3333.17,12,12,12,359.49,12,3852.25,426,284,0.036786,8677,4650,386,271,282.67,0.0,2184.04
2026-04-21,2740.81,10,10,10,305.58,10,3170.94,383,256,0.031895,7586,4085,343,243,265.63,0.0,1744.7
2026-04-22,0.0,0,0,0,410.06,0,4510.33,465,309,0.040749,9675,0,424,0,297.28,0.0,0.0
2026-04-23,0.0,0,0,0,362.21,0,3887.21,428,285,0.037013,8731,0,388,0,283.49,0.0,0.0
2026-04-24,6270.77,20,20,21,607.32,20,7223.03,602,396,0.052583,13395,0,564,0,345.51,0.0,4510.97
2026-04-25,0.0,0,0,0,188.62,0,1780.0,279,189,0.017387,5091,0,242,0,220.88,0.0,0.0
2026-04-26,5080.45,17,17,18,510.02,17,5858.49,537,355,0.047321,11591,0,497,0,323.17,0.0,3542.82
2026-04-27,13997.52,40,38,42,1181.72,40,16054.75,934,605,0.072658,23256,12017,911,610,445.83,0.0,11336.79
2026-04-28,18449.75,53,50,59,1899.35,53,21902.72,1386,885,0.090745,38231,19394,1405,0,546.34,0.0,13445.09
2026-04-29,3265.03,11,12,12,353.38,11,3773.9,421,281,0.036269,8555,4587,381,268,280.82,0.0,2132.87
2026-04-30,18449.75,53,50,59,1899.35,53,21902.72,1302,833,0.087887,35344,0,1312,0,540.9,0.0,13445.09
2026-05-01,2390.1,9,9,9,272.73,9,2767.2,355,238,0.028473,6905,3731,316,225,254.32,0.0,1490.95
2026-05-02,1497.91,5,6,6,184.94,5,1738.6,275,186,0.016796,5009,2739,239,172,219.22,0.0,871.96
2026-05-03,1230.84,4,5,5,157.05,4,1430.12,247,168,0.01189,4377,2406,212,154,205.95,0.0,695.94
2026-05-04,4993.13,17,17,18,502.74,17,5758.33,532,351,0.046888,11454,6075,492,341,321.39,0.0,3473.03
2026-05-05,3928.45,13,14,14,412.03,13,4536.26,466,310,0.040893,9714,5184,426,297,297.82,0.0,2637.36
2026-05-06,1613.46,6,6,6,196.73,6,1871.97,287,194,0.018653,5271,2877,250,180,224.46,0.0,949.62
2026-05-07,13036.51,38,36,39,1114.07,38,14958.13,898,582,0.07088,22147,11464,873,586,435.88,0.0,10448.18
2026-05-08,0.0,0,0,0,831.23,0,10525.5,740,484,0.062046,17373,0,707,0,389.64,0.0,0.0
2026-05-09,2258.48,8,8,9,260.2,8,2615.61,344,231,0.027057,6641,3594,306,218,249.78,0.0,1397.09
2026-05-10,9321.3,29,27,30,843.64,29,10714.29,748,488,0.062493,17588,9182,714,485,391.85,0.0,7109.62
2026-05-11,1628.5,6,6,7,198.26,6,1889.32,288,195,0.018885,5305,2895,251,181,225.12,169.87,959.79
2026-05-12,7256.88,23,22,24,685.51,23,8352.43,652,428,0.056234,14808,7780,615,421,361.91,0.0,5334.16
2026-05-13,18449.75,53,50,56,1589.12,53,21902.72,1135,730,0.081595,29731,15223,1129,746,499.39,1262.17,13445.09
2026-05-14,1306.65,5,5,5,165.06,5,1517.71,255,173,0.013383,4560,0,220,0,209.9,0.0,745.38
2026-05-15,8941.07,28,27,29,815.01,28,10279.5,731,478,0.061452,17092,8933,697,473,386.71,0.0,6777.8
2026-05-16,1090.73,4,4,4,142.01,4,1268.16,231,157,0.008871,4028,2221,198,144,198.19,0.0,605.76
2026-05-17,501.37,2,2,2,102.73,2,586.49,151,104,0.0,2363,0,124,0,163.59,0.0,247.98
2026-05-18,6679.02,21,21,23,639.93,21,7690.71,623,410,0.05416,13988,7365,585,401,352.5,525.47,4849.61
2026-05-19,18449.75,53,50,59,1862.01,53,21902.72,1260,807,0.086377,33907,17277,1265,831,530.64,0.0,13445.09
2026-05-20,4460.96,15,15,16,457.86,15,5147.69,500,331,0.04407,10600,5639,460,320,310.09,0.0,3051.64
2026-05-21,2441.99,9,9,9,277.64,9,2826.96,359,241,0.02901,7007,0,320,0,256.06,0.0,1528.17
2026-05-22,2904.93,10,11,11,320.7,10,3359.77,395,264,0.033348,7895,4246,355,251,270.59,0.0,1865.14
2026-05-23,17478.73,49,45,50,1420.52,49,20024.07,1054,680,0.078211,27090,13919,1041,691,478.39,0.0,13445.09
2026-05-24,4299.27,15,15,15,444.05,15,4962.08,490,325,0.043148,10335,0,450,0,306.48,0.0,2925.04
2026-05-25,2953.52,10,11,11,325.15,10,3415.66,399,266,0.033763,7985,4292,359,253,272.02,273.65,1900.99
2026-05-26,5733.26,19,19,20,563.81,19,6607.04,573,378,0.050343,12595,6657,534,368,335.82,0.0,4070.08
2026-05-27,2876.27,10,10,11,318.08,10,3326.8,393,263,0.033101,7841,4218,353,249,269.74,0.0,1844.03
2026-05-28,3968.43,14,14,14,415.5,14,4582.18,469,311,0.041146,9782,5219,428,299,298.78,0.0,2668.19
2026-05-29,2394.36,9,9,9,273.14,9,2772.12,356,238,0.028517,6913,0,317,0,254.47,0.0,1494.01
2026-05-30,1197.02,4,5,5,153.45,4,1391.03,243,165,0.011194,4294,2362,209,152,204.13,0.0,674.02
2026-05-31,8816.07,27,26,28,805.55,27,10136.55,725,474,0.0611,16927,8850,691,470,384.98,0.0,6669.17
2026-06-01,10826.87,32,31,34,955.13,32,12435.0,811,528,0.066236,19494,10139,781,527,410.93,0.0,8442.56
2026-06-02,9712.22,30,28,31,872.87,30,11161.2,765,499,0.06352,18091,9435,732,496,397.0,708.66,7452.86
2026-06-03,6735.08,22,21,23,644.38,22,7754.92,626,411,0.054369,14068,7406,588,403,353.44,0.0,4896.36
2026-06-04,5698.88,19,18,20,561.01,19,6567.63,571,377,0.050193,12543,6631,532,367,335.18,0.0,4042.09
2026-06-05,5850.57,19,19,20,573.37,19,6741.5,580,382,0.050849,12771,6747,541,373,337.98,0.0,4165.8
2026-06-06,12584.14,37,35,38,1081.93,37,14441.77,881,572,0.069997,21616,11199,855,574,431.02,0.0,10033.17
2026-06-07,1012.02,4,4,4,133.42,4,1177.12,222,151,0.007,3827,2114,189,138,193.52,0.0,555.83
2026-06-08,4982.83,17,17,18,501.88,17,5746.52,531,351,0.046836,11438,6067,491,340,321.18,0.0,3464.81
2026-06-09,5746.92,19,19,20,564.93,19,6622.7,574,378,0.050402,12615,0,535,0,336.07,0.0,4081.21
2026-06-10,3066.4,11,11,12,335.44,11,3545.5,407,272,0.0347,8194,4400,367,259,275.28,0.0,1984.62
2026-06-11,12133.82,36,34,37,1049.75,36,13927.66,864,561,0.069086,21082,10933,837,562,426.07,0.0,9622.23
2026-06-12,10655.89,32,31,33,942.61,32,12239.65,804,524,0.065838,19282,10032,774,523,408.86,0.0,8289.73
2026-06-13,16713.21,47,44,48,1368.77,47,19151.6,1029,664,0.077091,26270,13513,1013,674,471.64,0.0,13445.09
2026-06-14,5210.45,17,17,18,520.82,17,6007.59,544,359,0.047953,11794,6249,504,349,325.77,0.0,3647.06
2026-06-15,10928.68,33,31,34,962.56,33,12551.3,816,531,0.06647,19619,0,786,0,412.15,0.0,8533.72
2026-06-16,1732.39,6,7,7,208.72,6,2009.18,298,201,0.02043,5535,3016,261,187,229.59,0.0,1030.41
2026-06-17,6934.37,22,22,23,660.15,22,7983.15,636,418,0.055098,14353,7550,599,410,356.73,0.0,5062.99
2026-06-18,3294.54,11,12,12,356.03,11,3807.83,423,282,0.036494,8608,4614,383,269,281.63,0.0,2155.01
2026-06-19,5514.67,18,18,19,545.93,18,6356.44,561,370,0.049371,12263,6488,522,360,331.7,0.0,3892.49
2026-06-20,9923.71,30,29,31,888.6,30,11402.95,774,505,0.064059,18361,9571,742,502,399.72,0.0,7639.42
2026-06-21,18449.75,53,50,59,1899.35,53,21902.72,1363,871,0.089983,37439,19007,1379,901,546.34,0.0,13445.09
2026-06-22,17265.79,48,45,50,1406.16,48,19781.4,1047,675,0.077904,26863,13807,1033,686,476.54,0.0,13445.09
2026-06-23,1818.59,7,7,7,217.32,7,2108.61,306,206,0.021644,5723,3114,268,192,233.16,185.59,1089.49
2026-06-24,5360.12,18,18,19,533.2,18,6179.24,553,365,0.048661,12026,6367,513,355,328.72,0.0,3767.55
2026-06-25,4149.58,14,14,15,431.18,14,4790.21,480,319,0.042262,10086,5375,440,307,303.05,0.0,2808.45
2026-06-26,1800.19,7,7,7,215.49,7,2087.39,304,205,0.021389,5683,3093,267,191,232.41,0.0,1076.85
2026-06-27,16508.98,47,43,48,1354.89,47,18918.8,1022,660,0.076784,26049,13403,1006,669,469.81,0.0,13445.09
