payment_id,creator_token,payment_amount,post_date,settlement_account_token,payment_cycle,payment_status,payment_type,source_reference_token
PAY-0000027,CRT-00067,0.0,2026-05-21,SYNBANK-758975,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000027
PAY-0000028,CRT-00052,682.0,2026-04-24,SYNBANK-589633,MONTH_END,REVIEW,OTHER_SERVICE,SRCREF-0000028
PAY-0000029,CRT-00047,917.15,2026-04-14,SYNBANK-525054,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000029
PAY-0000030,CRT-00063,0.0,2026-05-14,SYNBANK-713195,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000030
PAY-0000031,CRT-00044,1966.1,2026-04-10,SYNBANK-499027,MONTH_END,PAID,CREATOR_CONTENT,SRCREF-0000031
PAY-0000032,CRT-00035,682.0,2026-03-25,SYNBANK-394801,MONTH_END,PAID,LIVE_HOST,SRCREF-0000032
PAY-0000033,CRT-00022,682.0,2026-03-01,SYNBANK-241055,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000033
PAY-0000034,CRT-00038,981.49,2026-03-31,SYNBANK-430060,MONTH_END,PENDING,LIVE_HOST,SRCREF-0000034
PAY-0000035,CRT-00055,1848.97,2026-04-29,SYNBANK-621502,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000035
PAY-0000036,CRT-00058,1206.27,2026-05-04,SYNBANK-647748,MONTH_END,PAID,CREATOR_CONTENT,SRCREF-0000036
PAY-0000037,CRT-00064,0.0,2026-05-14,SYNBANK-716752,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000037
PAY-0000038,CRT-00050,2340.98,2026-04-20,SYNBANK-559675,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000038
PAY-0000039,CRT-00028,0.0,2026-03-11,SYNBANK-307551,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000039
PAY-0000040,CRT-00071,0.0,2026-05-28,SYNBANK-803900,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000040
PAY-0000041,CRT-00034,4128.74,2026-03-24,SYNBANK-385640,MONTH_END,REVIEW,OTHER_SERVICE,SRCREF-0000041
PAY-0000042,CRT-00036,1551.52,2026-03-27,SYNBANK-406786,MONTH_END,PENDING,LIVE_HOST,SRCREF-0000042
PAY-0000043,CRT-00036,952.21,2026-03-27,SYNBANK-408274,MONTH_END,PENDING,OTHER_SERVICE,SRCREF-0000043
PAY-0000044,CRT-00084,1013.52,2026-06-20,SYNBANK-950602,MONTH_END,PENDING,LIVE_HOST,SRCREF-0000044
PAY-0000045,CRT-00081,0.0,2026-06-15,SYNBANK-918192,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000045
PAY-0000046,CRT-00048,883.05,2026-04-17,SYNBANK-541897,MONTH_END,PENDING,LIVE_HOST,SRCREF-0000046
PAY-0000047,CRT-00048,682.0,2026-04-17,SYNBANK-541917,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000047
PAY-0000048,CRT-00032,3212.35,2026-03-20,SYNBANK-362172,MONTH_END,PENDING,OTHER_SERVICE,SRCREF-0000048
PAY-0000049,CRT-00059,869.95,2026-05-06,SYNBANK-660369,MONTH_END,PENDING,LIVE_HOST,SRCREF-0000049
PAY-0000050,CRT-00012,695.6,2026-02-11,SYNBANK-127786,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000050
PAY-0000051,CRT-00041,1377.93,2026-04-05,SYNBANK-463885,MONTH_END,PAID,LIVE_HOST,SRCREF-0000051
PAY-0000052,CRT-00024,3074.47,2026-03-06,SYNBANK-270404,MONTH_END,PAID,LIVE_HOST,SRCREF-0000052
PAY-0000053,CRT-00073,3213.91,2026-06-01,SYNBANK-828617,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000053
PAY-0000054,CRT-00015,2584.31,2026-02-17,SYNBANK-161830,MONTH_END,PENDING,LIVE_HOST,SRCREF-0000054
PAY-0000055,CRT-00039,1830.06,2026-03-31,SYNBANK-434546,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000055
PAY-0000056,CRT-00086,1490.29,2026-06-23,SYNBANK-971642,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000056
PAY-0000057,CRT-00006,0.0,2026-02-02,SYNBANK-064325,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000057
PAY-0000058,CRT-00029,0.0,2026-03-14,SYNBANK-324316,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000058
PAY-0000059,CRT-00077,733.15,2026-06-08,SYNBANK-873161,MONTH_END,PAID,CREATOR_CONTENT,SRCREF-0000059
PAY-0000060,CRT-00009,3001.32,2026-02-06,SYNBANK-093150,MONTH_END,REVIEW,OTHER_SERVICE,SRCREF-0000060
PAY-0000061,CRT-00020,16410.18,2026-02-25,SYNBANK-216372,MONTH_END,PAID,LIVE_HOST,SRCREF-0000061
PAY-0000062,CRT-00048,755.8,2026-04-17,SYNBANK-540397,MONTH_END,PENDING,LIVE_HOST,SRCREF-0000062
PAY-0000063,CRT-00074,0.0,2026-06-02,SYNBANK-834750,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000063
PAY-0000064,CRT-00062,0.0,2026-05-12,SYNBANK-703742,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000064
PAY-0000065,CRT-00035,682.0,2026-03-24,SYNBANK-390986,MONTH_END,PAID,CREATOR_CONTENT,SRCREF-0000065
PAY-0000066,CRT-00042,682.0,2026-04-06,SYNBANK-474121,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000066
PAY-0000067,CRT-00083,0.0,2026-06-17,SYNBANK-933915,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000067
PAY-0000068,CRT-00071,2233.35,2026-05-27,SYNBANK-801019,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000068
PAY-0000069,CRT-00012,4180.98,2026-02-11,SYNBANK-126412,MONTH_END,PENDING,LIVE_HOST,SRCREF-0000069
PAY-0000070,CRT-00031,0.0,2026-03-18,SYNBANK-348482,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000070
PAY-0000071,CRT-00083,0.0,2026-06-17,SYNBANK-931961,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000071
PAY-0000072,CRT-00057,0.0,2026-05-03,SYNBANK-647413,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000072
PAY-0000073,CRT-00041,1994.27,2026-04-04,SYNBANK-457676,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000073
PAY-0000074,CRT-00002,1835.9,2026-01-25,SYNBANK-015888,MONTH_END,PENDING,LIVE_HOST,SRCREF-0000074
PAY-0000075,CRT-00044,1036.8,2026-04-09,SYNBANK-492631,MONTH_END,PENDING,OTHER_SERVICE,SRCREF-0000075
PAY-0000076,CRT-00031,682.0,2026-03-18,SYNBANK-349096,MONTH_END,PENDING,OTHER_SERVICE,SRCREF-0000076
PAY-0000077,CRT-00081,0.0,2026-06-13,SYNBANK-909785,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000077
PAY-0000078,CRT-00019,1961.74,2026-02-24,SYNBANK-206697,MONTH_END,REVIEW,OTHER_SERVICE,SRCREF-0000078
PAY-0000079,CRT-00044,1126.52,2026-04-09,SYNBANK-492943,MONTH_END,PAID,CREATOR_CONTENT,SRCREF-0000079
PAY-0000080,CRT-00020,0.0,2026-02-26,SYNBANK-219517,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000080
PAY-0000081,CRT-00037,1005.34,2026-03-27,SYNBANK-409307,MONTH_END,PENDING,LIVE_HOST,SRCREF-0000081
PAY-0000082,CRT-00088,0.0,2026-06-27,SYNBANK-994653,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000082
PAY-0000083,CRT-00022,2053.26,2026-03-01,SYNBANK-242529,MONTH_END,PENDING,OTHER_SERVICE,SRCREF-0000083
PAY-0000084,CRT-00078,682.0,2026-06-08,SYNBANK-877580,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000084
PAY-0000085,CRT-00040,0.0,2026-04-02,SYNBANK-443847,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000085
PAY-0000086,CRT-00081,1698.38,2026-06-14,SYNBANK-913515,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000086
PAY-0000087,CRT-00086,0.0,2026-06-23,SYNBANK-974295,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000087
PAY-0000088,CRT-00069,3380.18,2026-05-25,SYNBANK-782752,MONTH_END,PENDING,LIVE_HOST,SRCREF-0000088
PAY-0000089,CRT-00012,6370.27,2026-02-12,SYNBANK-131039,MONTH_END,REVIEW,OTHER_SERVICE,SRCREF-0000089
PAY-0000090,CRT-00013,948.49,2026-02-13,SYNBANK-137874,MONTH_END,PENDING,LIVE_HOST,SRCREF-0000090
PAY-0000091,CRT-00063,803.93,2026-05-14,SYNBANK-715716,MONTH_END,REVIEW,OTHER_SERVICE,SRCREF-0000091
PAY-0000092,CRT-00070,1120.01,2026-05-26,SYNBANK-793396,MONTH_END,PENDING,OTHER_SERVICE,SRCREF-0000092
PAY-0000093,CRT-00002,0.0,2026-01-25,SYNBANK-018831,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000093
PAY-0000094,CRT-00044,0.0,2026-04-10,SYNBANK-499824,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000094
PAY-0000095,CRT-00035,1596.96,2026-03-25,SYNBANK-391840,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000095
PAY-0000096,CRT-00083,3410.32,2026-06-17,SYNBANK-935445,MONTH_END,PAID,CREATOR_CONTENT,SRCREF-0000096
PAY-0000097,CRT-00061,0.0,2026-05-09,SYNBANK-682312,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000097
PAY-0000098,CRT-00077,0.0,2026-06-07,SYNBANK-866677,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000098
PAY-0000099,CRT-00052,1810.41,2026-04-23,SYNBANK-581957,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000099
PAY-0000100,CRT-00029,1597.54,2026-03-15,SYNBANK-328673,MONTH_END,PENDING,LIVE_HOST,SRCREF-0000100
PAY-0000101,CRT-00008,0.0,2026-02-04,SYNBANK-079729,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000101
PAY-0000102,CRT-00059,0.0,2026-05-06,SYNBANK-660548,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000102
PAY-0000103,CRT-00044,3798.53,2026-04-09,SYNBANK-488984,MONTH_END,PAID,LIVE_HOST,SRCREF-0000103
PAY-0000104,CRT-00061,1082.73,2026-05-10,SYNBANK-689497,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000104
PAY-0000105,CRT-00037,0.0,2026-03-27,SYNBANK-409943,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000105
PAY-0000106,CRT-00034,0.0,2026-03-23,SYNBANK-382536,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000106
PAY-0000107,CRT-00074,1568.22,2026-06-01,SYNBANK-832358,MONTH_END,PAID,LIVE_HOST,SRCREF-0000107
PAY-0000108,CRT-00072,682.0,2026-05-30,SYNBANK-816913,MONTH_END,PENDING,OTHER_SERVICE,SRCREF-0000108
PAY-0000109,CRT-00061,682.0,2026-05-10,SYNBANK-687591,MONTH_END,PENDING,LIVE_HOST,SRCREF-0000109
PAY-0000110,CRT-00028,0.0,2026-03-12,SYNBANK-309896,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000110
PAY-0000111,CRT-00088,1160.15,2026-06-27,SYNBANK-998868,MONTH_END,PENDING,LIVE_HOST,SRCREF-0000111
PAY-0000112,CRT-00038,682.0,2026-03-30,SYNBANK-427051,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000112
PAY-0000113,CRT-00003,0.0,2026-01-26,SYNBANK-025550,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000113
PAY-0000114,CRT-00027,3468.66,2026-03-11,SYNBANK-305575,MONTH_END,REVIEW,OTHER_SERVICE,SRCREF-0000114
PAY-0000115,CRT-00032,1693.83,2026-03-19,SYNBANK-358046,MONTH_END,PAID,CREATOR_CONTENT,SRCREF-0000115
PAY-0000116,CRT-00001,1598.83,2026-01-23,SYNBANK-000697,MONTH_END,REVIEW,OTHER_SERVICE,SRCREF-0000116
PAY-0000117,CRT-00057,0.0,2026-05-02,SYNBANK-639891,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000117
PAY-0000118,CRT-00053,682.0,2026-04-25,SYNBANK-594599,MONTH_END,PAID,LIVE_HOST,SRCREF-0000118
PAY-0000119,CRT-00027,0.0,2026-03-11,SYNBANK-302566,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000119
PAY-0000120,CRT-00086,682.0,2026-06-23,SYNBANK-971681,MONTH_END,PAID,CREATOR_CONTENT,SRCREF-0000120
PAY-0000121,CRT-00076,3995.71,2026-06-05,SYNBANK-853207,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000121
PAY-0000122,CRT-00064,1358.28,2026-05-15,SYNBANK-721692,MONTH_END,PENDING,LIVE_HOST,SRCREF-0000122
PAY-0000123,CRT-00088,1292.37,2026-06-27,SYNBANK-997133,MONTH_END,PAID,LIVE_HOST,SRCREF-0000123
PAY-0000124,CRT-00072,0.0,2026-05-30,SYNBANK-816366,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000124
PAY-0000125,CRT-00041,1796.48,2026-04-05,SYNBANK-465019,MONTH_END,PENDING,LIVE_HOST,SRCREF-0000125
PAY-0000126,CRT-00011,1215.48,2026-02-10,SYNBANK-115677,MONTH_END,PENDING,LIVE_HOST,SRCREF-0000126
PAY-0000127,CRT-00026,0.0,2026-03-10,SYNBANK-294993,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000127
PAY-0000128,CRT-00020,4909.48,2026-02-26,SYNBANK-224351,MONTH_END,PAID,CREATOR_CONTENT,SRCREF-0000128
PAY-0000129,CRT-00057,0.0,2026-05-03,SYNBANK-642017,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000129
PAY-0000130,CRT-00049,1197.84,2026-04-18,SYNBANK-549458,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000130
PAY-0000131,CRT-00056,682.0,2026-05-02,SYNBANK-635708,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000131
PAY-0000132,CRT-00041,1430.09,2026-04-04,SYNBANK-457478,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000132
PAY-0000133,CRT-00035,5597.22,2026-03-24,SYNBANK-390675,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000133
PAY-0000134,CRT-00009,0.0,2026-02-06,SYNBANK-093216,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000134
PAY-0000135,CRT-00006,682.0,2026-02-01,SYNBANK-058362,MONTH_END,PAID,LIVE_HOST,SRCREF-0000135
PAY-0000136,CRT-00033,682.0,2026-03-21,SYNBANK-366046,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000136
PAY-0000137,CRT-00062,0.0,2026-05-11,SYNBANK-696092,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000137
PAY-0000138,CRT-00079,3387.76,2026-06-11,SYNBANK-896253,MONTH_END,PENDING,LIVE_HOST,SRCREF-0000138
PAY-0000139,CRT-00006,682.0,2026-02-01,SYNBANK-063638,MONTH_END,PENDING,LIVE_HOST,SRCREF-0000139
PAY-0000140,CRT-00005,682.0,2026-01-31,SYNBANK-054349,MONTH_END,REVIEW,OTHER_SERVICE,SRCREF-0000140
PAY-0000141,CRT-00037,0.0,2026-03-28,SYNBANK-411586,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000141
PAY-0000142,CRT-00020,770.83,2026-02-26,SYNBANK-219336,MONTH_END,PENDING,LIVE_HOST,SRCREF-0000142
PAY-0000143,CRT-00024,0.0,2026-03-05,SYNBANK-268005,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000143
PAY-0000144,CRT-00023,1513.16,2026-03-04,SYNBANK-259733,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000144
PAY-0000145,CRT-00072,2160.65,2026-05-30,SYNBANK-815275,MONTH_END,PAID,CREATOR_CONTENT,SRCREF-0000145
PAY-0000146,CRT-00029,2354.03,2026-03-15,SYNBANK-329069,MONTH_END,PAID,CREATOR_CONTENT,SRCREF-0000146
PAY-0000147,CRT-00051,0.0,2026-04-23,SYNBANK-577989,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000147
PAY-0000148,CRT-00074,0.0,2026-06-02,SYNBANK-834164,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000148
PAY-0000149,CRT-00003,1537.22,2026-01-27,SYNBANK-030507,MONTH_END,PENDING,OTHER_SERVICE,SRCREF-0000149
PAY-0000150,CRT-00080,682.0,2026-06-13,SYNBANK-907909,MONTH_END,PAID,LIVE_HOST,SRCREF-0000150
PAY-0000151,CRT-00031,682.0,2026-03-17,SYNBANK-341555,MONTH_END,PENDING,OTHER_SERVICE,SRCREF-0000151
PAY-0000152,CRT-00081,0.0,2026-06-13,SYNBANK-910015,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000152
PAY-0000153,CRT-00056,0.0,2026-05-01,SYNBANK-631071,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000153
PAY-0000154,CRT-00027,0.0,2026-03-11,SYNBANK-305126,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000154
PAY-0000155,CRT-00056,0.0,2026-04-30,SYNBANK-627106,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000155
PAY-0000156,CRT-00087,1916.1,2026-06-25,SYNBANK-984885,MONTH_END,PENDING,LIVE_HOST,SRCREF-0000156
PAY-0000157,CRT-00047,1853.67,2026-04-14,SYNBANK-524240,MONTH_END,REVIEW,OTHER_SERVICE,SRCREF-0000157
PAY-0000158,CRT-00048,1152.54,2026-04-16,SYNBANK-535128,MONTH_END,PAID,LIVE_HOST,SRCREF-0000158
PAY-0000159,CRT-00031,1000.3,2026-03-18,SYNBANK-348404,MONTH_END,PAID,LIVE_HOST,SRCREF-0000159
PAY-0000160,CRT-00025,0.0,2026-03-06,SYNBANK-275019,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000160
PAY-0000161,CRT-00066,0.0,2026-05-19,SYNBANK-746370,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000161
PAY-0000162,CRT-00071,0.0,2026-05-27,SYNBANK-796447,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000162
PAY-0000163,CRT-00056,0.0,2026-05-02,SYNBANK-635549,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000163
PAY-0000164,CRT-00023,0.0,2026-03-04,SYNBANK-259470,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000164
PAY-0000165,CRT-00029,3256.52,2026-03-14,SYNBANK-322106,MONTH_END,PAID,CREATOR_CONTENT,SRCREF-0000165
PAY-0000166,CRT-00083,0.0,2026-06-17,SYNBANK-933339,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000166
PAY-0000167,CRT-00087,1135.43,2026-06-25,SYNBANK-986208,MONTH_END,PAID,LIVE_HOST,SRCREF-0000167
PAY-0000168,CRT-00039,0.0,2026-04-01,SYNBANK-439021,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000168
PAY-0000169,CRT-00060,905.89,2026-05-07,SYNBANK-670967,MONTH_END,PENDING,LIVE_HOST,SRCREF-0000169
PAY-0000170,CRT-00017,682.0,2026-02-20,SYNBANK-184219,MONTH_END,PAID,LIVE_HOST,SRCREF-0000170
PAY-0000171,CRT-00059,682.0,2026-05-05,SYNBANK-659894,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000171
PAY-0000172,CRT-00044,1544.26,2026-04-10,SYNBANK-497870,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000172
PAY-0000173,CRT-00051,1298.14,2026-04-22,SYNBANK-570857,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000173
PAY-0000174,CRT-00011,682.0,2026-02-11,SYNBANK-122028,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000174
PAY-0000175,CRT-00069,3093.13,2026-05-23,SYNBANK-772885,MONTH_END,PAID,LIVE_HOST,SRCREF-0000175
PAY-0000176,CRT-00071,0.0,2026-05-28,SYNBANK-803717,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000176
PAY-0000177,CRT-00020,0.0,2026-02-27,SYNBANK-227262,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000177
PAY-0000178,CRT-00087,2426.36,2026-06-24,SYNBANK-977450,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000178
PAY-0000179,CRT-00083,686.15,2026-06-17,SYNBANK-934415,MONTH_END,REVIEW,OTHER_SERVICE,SRCREF-0000179
PAY-0000180,CRT-00075,2024.22,2026-06-03,SYNBANK-843476,MONTH_END,PAID,LIVE_HOST,SRCREF-0000180
PAY-0000181,CRT-00057,4218.0,2026-05-03,SYNBANK-646248,MONTH_END,REVIEW,OTHER_SERVICE,SRCREF-0000181
PAY-0000182,CRT-00086,0.0,2026-06-22,SYNBANK-966542,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000182
PAY-0000183,CRT-00088,0.0,2026-06-27,SYNBANK-996680,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000183
PAY-0000184,CRT-00083,682.0,2026-06-18,SYNBANK-942212,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000184
PAY-0000185,CRT-00029,0.0,2026-03-13,SYNBANK-319227,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000185
PAY-0000186,CRT-00020,1906.22,2026-02-25,SYNBANK-215925,MONTH_END,PENDING,OTHER_SERVICE,SRCREF-0000186
PAY-0000187,CRT-00087,4844.23,2026-06-25,SYNBANK-983076,MONTH_END,PAID,CREATOR_CONTENT,SRCREF-0000187
PAY-0000188,CRT-00005,1423.27,2026-01-30,SYNBANK-046748,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000188
PAY-0000189,CRT-00055,0.0,2026-04-29,SYNBANK-619769,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000189
PAY-0000190,CRT-00043,1043.32,2026-04-08,SYNBANK-481199,MONTH_END,PAID,LIVE_HOST,SRCREF-0000190
PAY-0000191,CRT-00018,0.0,2026-02-23,SYNBANK-202818,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000191
PAY-0000192,CRT-00045,0.0,2026-04-12,SYNBANK-507540,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000192
PAY-0000193,CRT-00035,1055.93,2026-03-25,SYNBANK-396054,MONTH_END,PENDING,OTHER_SERVICE,SRCREF-0000193
PAY-0000194,CRT-00004,0.0,2026-01-29,SYNBANK-038656,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000194
PAY-0000195,CRT-00056,1035.86,2026-04-30,SYNBANK-625444,MONTH_END,PAID,LIVE_HOST,SRCREF-0000195
PAY-0000196,CRT-00008,1307.69,2026-02-05,SYNBANK-087790,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000196
PAY-0000197,CRT-00036,0.0,2026-03-26,SYNBANK-403186,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000197
PAY-0000198,CRT-00034,682.0,2026-03-23,SYNBANK-380175,MONTH_END,PAID,LIVE_HOST,SRCREF-0000198
PAY-0000199,CRT-00083,2330.44,2026-06-17,SYNBANK-933702,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000199
PAY-0000200,CRT-00074,0.0,2026-06-02,SYNBANK-838652,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000200
PAY-0000201,CRT-00021,2499.59,2026-03-01,SYNBANK-238278,MONTH_END,REVIEW,OTHER_SERVICE,SRCREF-0000201
PAY-0000202,CRT-00014,1917.79,2026-02-16,SYNBANK-155516,DAY_16,PAID,CREATOR_CONTENT,SRCREF-0000202
PAY-0000203,CRT-00086,1699.35,2026-06-23,SYNBANK-970582,MONTH_END,PENDING,LIVE_HOST,SRCREF-0000203
